,Unnamed: 0,id,segment_id,label_topic,aspect,opinion,sentiment
191,,17.0,15.0,2.0,downforce,improved,pos
192,,17.0,15.0,2.0,rear apron,diffuser style,neu
193,,17.0,15.0,2.0,trim,side skirt,neu
194,,17.0,15.0,2.0,intakes,larger,pos
195,54.0,17.0,16.0,0.0,engine,pretty beefed up numbers,pos
196,55.0,17.0,17.0,6.0,M performance version,plus move,pos
197,56.0,17.0,18.0,4.0,dynamic handling package,prolific,pos
198,,17.0,18.0,4.0,steering,variable,pos
199,,17.0,18.0,4.0,steering,sport,pos
200,,17.0,18.0,4.0,brakes,sport,pos
201,,17.0,18.0,4.0,damper control,dynamic,pos
202,,17.0,18.0,4.0,ride quality,improved,pos
203,57.0,17.0,19.0,9.0,-,-,-
204,58.0,17.0,20.0,5.0,-,-,-
205,59.0,17.0,21.0,1.0,Android auto,wireless,pos
206,,17.0,21.0,1.0,Android auto,like,pos
207,60.0,17.0,22.0,7.0,-,-,-
208,61.0,17.0,23.0,6.0,drive,really satisfying,pos
209,,17.0,23.0,6.0,X3,luxurious,pos
210,62.0,18.0,1.0,6.0,look,straight out of an ad sponsored sci fi film,pos
211,,18.0,1.0,6.0,technologies,24 thinking,neu
212,,18.0,1.0,6.0,weight,lightweight,pos
213,,18.0,1.0,6.0,powertrain,sophisticated,pos
214,63.0,18.0,2.0,9.0,formula,oven guard,neu
215,,18.0,2.0,9.0,doors,vertical opening,pos
216,,18.0,2.0,9.0,doors,scissor,neu
217,,18.0,2.0,9.0,doors,progressive,pos
218,64.0,18.0,3.0,2.0,look,futuristic,pos
219,,18.0,3.0,2.0,front apron port,reduce drag,pos
220,,18.0,3.0,2.0,hood vent,functional,pos
221,,18.0,3.0,2.0,rear balance,just for show,neg
222,65.0,18.0,4.0,2.0,current design,most contemporary,pos
223,,18.0,4.0,2.0,accents,blue,neu
224,,18.0,4.0,2.0,accents,clear contrast,neu
225,,18.0,4.0,2.0,materials,high quality,pos
226,,18.0,4.0,2.0,front seats,aesthetic shell type,pos
227,,18.0,4.0,2.0,glass,chemically hardened,pos
228,,18.0,4.0,2.0,glass,further emphasize the eye,pos
229,,18.0,4.0,2.0,weight,lightweight,pos
230,66.0,18.0,5.0,3.0,practical,not surprisingly most,pos
231,67.0,18.0,6.0,9.0,rear seats,aren't suitable,neg
232,,18.0,6.0,9.0,cargo space,small cubby hole,neg
233,68.0,18.0,7.0,9.0,-,-,-
234,69.0,18.0,8.0,7.0,front seats,weight conscious,neu
235,,18.0,8.0,7.0,front seats,only six way adjustable,neg
236,,18.0,8.0,7.0,front seats,no lumbar support,neg
237,70.0,18.0,9.0,4.0,accelerates,as BMW should,pos
238,,18.0,9.0,4.0,handles,as BMW should,pos
239,,18.0,9.0,4.0,high speeds,exceptionally composed,pos
240,,18.0,9.0,4.0,corners,carves with a surgeon precision,pos
241,,18.0,9.0,4.0,stereo system,truly unique,pos
242,,18.0,9.0,4.0,electric assisstant,no criticism regarding feedback,pos
243,,18.0,9.0,4.0,electric steering,cracked the code,pos
244,,18.0,9.0,4.0,steering,electromechanical,pos
245,,18.0,9.0,4.0,steering,so responsive,pos
246,,18.0,9.0,4.0,steering,effortless,pos
247,,18.0,9.0,4.0,steering,hydraulically actuated,neu
248,71.0,18.0,10.0,0.0,exhaust note,tune,pos
249,,18.0,10.0,0.0,engine,better efficiency,pos
250,,18.0,10.0,0.0,drive system,hyper intelligent,pos
251,,18.0,10.0,0.0,transmission,lightweight,pos
252,,18.0,10.0,0.0,weight,lighter,pos
253,72.0,18.0,11.0,7.0,-,-,-
254,73.0,18.0,12.0,9.0,sound system,premium,pos
255,,18.0,12.0,9.0,cruise control,adaptive,pos
256,,18.0,12.0,9.0,windshield wipers,rain sensing,pos
257,74.0,18.0,13.0,2.0,leather,perforated,pos
258,,18.0,13.0,2.0,leather,exclusive colors,pos
259,,18.0,13.0,2.0,seatbelt straps,blue,neu
260,,18.0,13.0,2.0,seatbelt straps,cosmetic variety,pos
261,75.0,18.0,14.0,7.0,price point,no shortage of alternatives,neu
262,76.0,18.0,15.0,6.0,A8,not for everyone,neg
263,77.0,19.0,1.0,6.0,-,-,-
264,78.0,19.0,2.0,2.0,body structure,aluminium intensive,neu
265,,19.0,2.0,2.0,body structure,three inches wider,pos
266,,19.0,2.0,2.0,exhaust tips,quad,neu
267,,19.0,2.0,2.0,car,fender adornments,pos
268,79.0,19.0,3.0,0.0,chasis,modified,pos
269,,19.0,3.0,0.0,car,racy,pos
270,,19.0,3.0,0.0,engine,really special,pos
271,,19.0,3.0,0.0,power,no lack,pos
272,,19.0,3.0,0.0,power,useable,pos
273,80.0,19.0,4.0,0.0,torque,enough to pull you out,pos
274,,19.0,4.0,0.0,brakes,still feel really good,pos
275,,19.0,4.0,0.0,brakes,no signs of fading,pos
276,,19.0,4.0,0.0,brakes,a little squeaking,neg
277,,19.0,4.0,0.0,drive,magical,pos
278,,19.0,4.0,0.0,turn,no delay,pos
279,,19.0,4.0,0.0,throttle,extremely predictable,pos
280,81.0,19.0,5.0,0.0,-,-,-
281,82.0,19.0,6.0,0.0,driving experience,really pleasent,pos
282,,19.0,6.0,0.0,sound,cabin fairly quiet,pos
283,83.0,19.0,7.0,3.0,power seats,comfortable,pos
284,,19.0,7.0,3.0,power seats,supportive,pos
285,84.0,19.0,8.0,4.0,steering wheel,offers more ability,pos
286,85.0,19.0,9.0,3.0,comfort,most impressive,pos
287,,19.0,9.0,3.0,ride,comfortable,pos
288,,19.0,9.0,3.0,race track,capable,pos
289,86.0,19.0,10.0,4.0,transmission,unrefined nature,neg
290,,19.0,10.0,4.0,transmission,cold,neg
291,,19.0,10.0,4.0,speed,absolutely brilliant,pos
292,,19.0,10.0,4.0,gear change,zero lag time,pos
293,,19.0,10.0,4.0,throttle,feel a little bit of partial engagement,pos
294,,19.0,10.0,4.0,gear change,pretty neat,pos
295,,19.0,10.0,4.0,manual driving,quiet taken,pos
296,,19.0,10.0,4.0,manual driving,responsive,pos
297,,19.0,10.0,4.0,clutch,light,pos
298,,19.0,10.0,4.0,clutch,easy to use,pos
299,,19.0,10.0,4.0,steering,really good,pos
300,87.0,19.0,11.0,6.0,M two,more refined nature,pos
301,,19.0,11.0,6.0,M two,return to glory,pos
302,88.0,20.0,1.0,6.0,vehicle,coupe like,neu
303,89.0,20.0,2.0,2.0,car,not proper coop,neg
304,,20.0,2.0,2.0,car,comparitively sporty,pos
305,,20.0,2.0,2.0,X two,lower,neu
306,,20.0,2.0,2.0,X two,less lengthy,neu
307,90.0,20.0,3.0,3.0,interior space,suffer,neg
308,,20.0,3.0,3.0,car,condensed form,neu
309,,20.0,3.0,3.0,seating position,preferred,pos
310,,20.0,3.0,3.0,seating position,knees don't touch,pos
311,,20.0,3.0,3.0,cutout design,thanks,pos
312,,20.0,3.0,3.0,front seat,little bit high,neu
313,,20.0,3.0,3.0,fron seat,slide my feet underneath,pos
314,,20.0,3.0,3.0,back seats,recline a little bit,pos
315,,20.0,3.0,3.0,back seats,more comfortable,pos
316,,20.0,3.0,3.0,headliner,not bad,neu
317,,20.0,3.0,3.0,middle spot,not like for extended trip,neg
318,,20.0,3.0,3.0,roof line,dipping,neg
319,,20.0,3.0,3.0,back seats,don't mind ducking,neg
320,,20.0,3.0,3.0,backseat,more than endurable,neg
321,91.0,20.0,4.0,9.0,underfloor storage,super deep,pos
322,,20.0,4.0,9.0,boot,sizeable square space,pos
323,,20.0,4.0,9.0,boot lip,high,neg
324,92.0,20.0,5.0,3.0,rear seats,not lowered from cargo area,neg
325,,20.0,5.0,3.0,steering,wish was lower,neg
326,,20.0,5.0,3.0,rear seats,can be lowered,pos
327,93.0,20.0,6.0,2.0,feels,real BMW,pos
328,,20.0,6.0,2.0,materials,pleasing,pos
329,,20.0,6.0,2.0,layout,stylish,pos
330,,20.0,6.0,2.0,upholstery,nice,pos
331,,20.0,6.0,2.0,upholstery,nice faux leather,pos
332,,20.0,6.0,2.0,seat,10 way power adjustable,pos
333,,20.0,6.0,2.0,side bolsters,fancy,pos
334,94.0,20.0,7.0,1.0,Apple Carplay price,offensive,neg
335,95.0,20.0,8.0,8.0,Apple Carplay,wireless,pos
336,96.0,20.0,9.0,2.0,veering,too superficial,neg
337,,20.0,9.0,2.0,look,cool,pos
338,,20.0,9.0,2.0,BMW badge,tempted to remove,neu
339,97.0,20.0,10.0,4.0,vibe,squat,pos
340,,20.0,10.0,4.0,vibe,athletic,pos
341,,20.0,10.0,4.0,driving,athletic,pos
342,,20.0,10.0,4.0,corner handling,can carry serious speed,pos
343,98.0,20.0,11.0,4.0,steering,a little imprecise,neg
344,,20.0,11.0,4.0,brake pedal,demands finesse,neg
345,,20.0,11.0,4.0,brake pedal,touchy,neg
346,,20.0,11.0,4.0,drive,generally pleasure,pos
347,99.0,20.0,12.0,5.0,roof line,stylish,pos
348,,20.0,12.0,5.0,blind spot,massive,neg
349,100.0,20.0,13.0,9.0,-,-,-
350,101.0,20.0,14.0,5.0,visibility,issues,neg
351,,20.0,14.0,5.0,sports suspension,ride quality skews to firmer side,pos
352,,20.0,14.0,5.0,driving assisstance package,happy note,pos
353,102.0,20.0,15.0,4.0,ride comfort,top priority,pos
354,,20.0,15.0,4.0,dampers,adjustable,pos
355,,20.0,15.0,4.0,ICO pro mode,efficiency enhancing,pos
356,,20.0,15.0,4.0,dynamic cruise control,handy,pos
357,,20.0,15.0,4.0,drive,front wheel standard,neu
358,103.0,20.0,16.0,0.0,shift lever,mechanical,neu
359,,20.0,16.0,0.0,shift lever,blessedly simple,pos
360,,20.0,16.0,0.0,electronic shifter,comparitively tricky,neg
361,,20.0,16.0,0.0,automatic engine start stop system,intrusive,neu
362,,20.0,16.0,0.0,automatic engine start stop system,help save you,pos
363,,20.0,16.0,0.0,off switch,conveniently placed,pos
364,,20.0,16.0,0.0,engine,refined operation,pos
365,,20.0,16.0,0.0,acceleration,brisk,pos
366,,20.0,16.0,0.0,turbo lag,off the lag,pos
367,,20.0,16.0,0.0,fuel economy,good,pos
368,104.0,20.0,17.0,7.0,price,ain't cheap,neg
369,,20.0,17.0,7.0,fuel,recommends premium,neu
370,105.0,20.0,18.0,6.0,M6 port,loaded,pos
371,,20.0,18.0,6.0,drive,all wheel,neu
372,,20.0,18.0,6.0,Mercedes-Benz G g l,more powerful,pos
373,,20.0,18.0,6.0,BMW X3,decently equipped,neu
374,106.0,20.0,19.0,7.0,-,-,-
375,107.0,20.0,20.0,2.0,x two,swaps practicaly to up style,neu
376,108.0,21.0,1.0,6.0,size,smallest,neu
377,,21.0,1.0,6.0,price,cheapest,pos
378,,21.0,1.0,6.0,proportions,sub compact,neu
379,,21.0,1.0,6.0,type,SUV,neu
380,109.0,21.0,2.0,9.0,size,small,neu
381,,21.0,2.0,9.0,cargo area,not small,pos
382,,21.0,2.0,9.0,trunk,conveniently square,pos
383,,21.0,2.0,9.0,underfloor storage area,handy,pos
384,,21.0,2.0,9.0,rear seats,20 40 split,pos
385,,21.0,2.0,9.0,rear seats,handy,pos
386,,21.0,2.0,9.0,backseats,drop,pos
387,,21.0,2.0,9.0,power release,optional,neu
388,,21.0,2.0,9.0,cargo hold,fairly flat,pos
389,,21.0,2.0,9.0,cargo hold,surprisingly vast,pos
390,110.0,21.0,3.0,3.0,storage nooks,throughout,pos
391,,21.0,3.0,3.0,front seat set,impressive,pos
392,,21.0,3.0,3.0,leg room,great,pos
393,,21.0,3.0,3.0,footspace,excellent,pos
394,,21.0,3.0,3.0,headroom,similarly good,pos
395,,21.0,3.0,3.0,middle,hump,neg
396,,21.0,3.0,3.0,middle seat,perfectly inhabitable,pos
397,111.0,21.0,4.0,3.0,centre armrest,adjustable,pos
398,,21.0,4.0,3.0,centre armrest,comfortable height,pos
399,,21.0,4.0,3.0,centre armrest,touch of storage base,pos
400,,21.0,4.0,3.0,second row seat,sliding,pos
401,,21.0,4.0,3.0,second row seat,reclining,pos
402,,21.0,4.0,3.0,comfort,even better,pos
403,112.0,21.0,5.0,2.0,X1,proper BMW,pos
404,,21.0,5.0,2.0,plastic,high quality,pos
405,,21.0,5.0,2.0,materials,soft,pos
406,,21.0,5.0,2.0,cabin layout,stylish,pos
407,113.0,21.0,6.0,4.0,X1,smaller,neu
408,,21.0,6.0,4.0,X1,cheaper,pos
409,,21.0,6.0,4.0,steering,under slack,neg
410,,21.0,6.0,4.0,corners,adept,pos
411,,21.0,6.0,4.0,traffic,adept slogging through,pos
412,,21.0,6.0,4.0,move,sporty,pos
413,,21.0,6.0,4.0,move,pleasing,pos
414,,21.0,6.0,4.0,drive,like BMW,neu
415,114.0,21.0,7.0,4.0,X1,definitely not the most fun BMW,neg
416,,21.0,7.0,4.0,drive,pretty thrilling,pos
417,,21.0,7.0,4.0,SUV,small,neu
418,,21.0,7.0,4.0,SUV,luxury,pos
419,,21.0,7.0,4.0,type,SUV,neu
420,115.0,21.0,8.0,0.0,power,fairly well,pos
421,116.0,21.0,9.0,0.0,car,winning combination,pos
422,,21.0,9.0,0.0,acceleration,swift,pos
423,,21.0,9.0,0.0,operation,refined,pos
424,,21.0,9.0,0.0,fuel economy,good,pos
425,117.0,21.0,10.0,0.0,accleration,engine takes a moment to spool up,pos
426,,21.0,10.0,0.0,automatic engine start stop system,engine restarts to be jarring,neg
427,,21.0,10.0,0.0,powerful,plenty,pos
428,,21.0,10.0,0.0,drive,rear wheel,neu
429,,21.0,10.0,0.0,all wheel drive,raises base price,neg
430,,21.0,10.0,0.0,all wheel drive,pluses when traction suffers,pos
431,118.0,21.0,11.0,4.0,drive modes,multiple,pos
432,,21.0,11.0,4.0,X1,can be customized,pos
433,,21.0,11.0,4.0,sport mode,quicker throttle response,pos
434,,21.0,11.0,4.0,sport mode,heavy steering,pos
435,,21.0,11.0,4.0,ICO pro mode,efficiency enhancing,pos
436,,21.0,11.0,4.0,coasting,sounds fun,pos
437,119.0,21.0,12.0,1.0,seats,eight way power,neu
438,,21.0,12.0,1.0,lift gate,power,neu
439,120.0,21.0,13.0,6.0,Mercedes-Benz G . L . A,seductive,pos
440,,21.0,13.0,6.0,Audi Q3,sophisticated,pos
441,,21.0,13.0,6.0,Lincoln M . K . C,well equipped,pos
442,121.0,21.0,14.0,9.0,backup camera,optional,neu
443,122.0,21.0,15.0,1.0,roof,moon,pos
444,,21.0,15.0,1.0,roof,panoramic,pos
445,,21.0,15.0,1.0,front seats,leather,pos
446,,21.0,15.0,1.0,front seats,heated,pos
447,123.0,21.0,16.0,5.0,-,-,-
448,124.0,21.0,17.0,7.0,option packages,go nutty,pos
449,125.0,21.0,18.0,6.0,X1,very much BMW,pos
450,,21.0,18.0,6.0,X1,smaller,neu
451,,21.0,18.0,6.0,parkability,appreciate,pos
452,126.0,22.0,1.0,6.0,-,-,-
453,127.0,22.0,2.0,6.0,BMW I A8,much racier,pos
454,,22.0,2.0,6.0,BMW I A8 price,more expensive,neg
455,,22.0,2.0,6.0,car,electric,neu
456,128.0,22.0,3.0,2.0,BMW badge,all important,pos
457,,22.0,3.0,2.0,plastic,reinforced,neu
458,129.0,22.0,4.0,0.0,-,-,-
459,130.0,22.0,5.0,7.0,-,-,-
460,131.0,22.0,6.0,0.0,engine,tiny,neu
461,,22.0,6.0,0.0,total range,double,pos
462,,22.0,6.0,0.0,pure electric range,little bit reduced,neg
463,,22.0,6.0,0.0,engine,adds weight,neg
464,132.0,22.0,7.0,4.0,drive,like a BMW,pos
465,,22.0,7.0,4.0,steering,variable assisst,pos
466,,22.0,7.0,4.0,steering,quick ratio,pos
467,,22.0,7.0,4.0,steering,nimble sense,pos
468,,22.0,7.0,4.0,steering,nicely supported,pos
469,,22.0,7.0,4.0,handling limit,higher than expected,pos
470,,22.0,7.0,4.0,body roll,a bit more,neg
471,,22.0,7.0,4.0,car,tall,pos
472,,22.0,7.0,4.0,car,electric,pos
473,,22.0,7.0,4.0,drive,wierdly fun,pos
474,133.0,22.0,8.0,0.0,BMW I three,celebrates hard,pos
475,,22.0,8.0,0.0,engine,keeps pulling,pos
476,,22.0,8.0,0.0,pull,nice,pos
477,134.0,22.0,9.0,0.0,power recovery,really aggressive,neu
478,,22.0,9.0,0.0,electric motor,really strange,neg
479,135.0,22.0,10.0,4.0,deceleration,shame,neg
480,,22.0,10.0,4.0,brake,feel almost normal,neu
481,136.0,22.0,11.0,2.0,windows,big,pos
482,,22.0,11.0,2.0,turning circle,tight,neu
483,,22.0,11.0,2.0,length,short,neu
484,137.0,22.0,12.0,9.0,optional backup camera,easy to maneuver,pos
485,,22.0,12.0,9.0,parking sensors,easy to maneuver,pos
486,138.0,22.0,13.0,4.0,suspension,skillfully manages tarmac inconsistencies,pos
487,139.0,22.0,14.0,2.0,car,electric,pos
488,140.0,22.0,15.0,0.0,-,-,-
