,Unnamed: 0,aspect,base_category,MAIN_CATEGORY
31,31,apple carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
32,32,modern startup technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
33,33,wood trim effect,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
34,34,mud,road terrain,HANDLING / DYNAMICS
35,35,back seat control,seats,INTERIOR / COMFORT / ERGONOMICS
36,36,arm,seats,INTERIOR / COMFORT / ERGONOMICS
37,37,rear passenger space,passenger space,INTERIOR / COMFORT / ERGONOMICS
38,38,comfort suspension corner handling,driving dynamics / handling,HANDLING / DYNAMICS
39,39,inside enhancements,interior,INTERIOR / COMFORT / ERGONOMICS
40,40,apple carplay,connectivity / integration,TECHNOLOGY / ELECTRONICS / SOFTWARE
41,41,cargo room,boot / cargo,FUNCTIONAL / UTILITY FEATURES
42,42,rotate,driving dynamics / handling,HANDLING / DYNAMICS
43,43,tires,wheels & tyres,HANDLING / DYNAMICS
44,44,drive train technology,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
45,45,virtual cockpit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
46,46,cargo volume,boot / cargo,FUNCTIONAL / UTILITY FEATURES
47,47,second row,passenger space,INTERIOR / COMFORT / ERGONOMICS
48,48,knee room,passenger space,INTERIOR / COMFORT / ERGONOMICS
49,49,competition pack,packages / trims / variants,GENERAL INFORMATION
50,50,soft pillow,seats,INTERIOR / COMFORT / ERGONOMICS
51,51,a6 weight,weight,DISTANCE / MEASUREMENT /  COST
52,52,few pieces of plastic,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
53,53,process,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
54,54,extra bracing,chassis / structural,STRUCTURAL
55,55,v10 twin turbo charge,engine / power train,POWERTRAIN / PERFORMANCE
56,56,reversing assistant,driver assistance,SAFETY
57,57,seven speed automatic transmission,transmission,POWERTRAIN / PERFORMANCE
58,58,load,boot / cargo,FUNCTIONAL / UTILITY FEATURES
59,59,road imperfections,road terrain,HANDLING / DYNAMICS
60,60,taste,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
61,61,hybrid engine,engine / power train,POWERTRAIN / PERFORMANCE
62,62,automatic acceleration,acceleration,POWERTRAIN / PERFORMANCE
63,63,roof rains,roof,EXTERIOR / STYLING / DESIGN
64,64,carbon ceramics,brake,HANDLING / DYNAMICS
65,65,reductive sport end suspension,suspension,HANDLING / DYNAMICS
66,66,potential performance,performance,POWERTRAIN / PERFORMANCE
67,67,driver distraction,drive,POWERTRAIN / PERFORMANCE
68,68,lighting animations,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
69,69,contouring,seats,INTERIOR / COMFORT / ERGONOMICS
70,70,aspects,generic description & miscellaneous,GENERAL INFORMATION
71,71,character lines,design,EMOTIONAL / SENSORY / VISUAL
72,72,bolsters,seats,INTERIOR / COMFORT / ERGONOMICS
73,73,fold down rear seats,seats,INTERIOR / COMFORT / ERGONOMICS
74,74,buy,value / cost,DISTANCE / MEASUREMENT /  COST
75,75,head,front section,EXTERIOR / STYLING / DESIGN
76,76,adults in back,passenger space,INTERIOR / COMFORT / ERGONOMICS
77,77,red cable hybrid engine,engine / power train,POWERTRAIN / PERFORMANCE
78,78,magic body control,body class,EXTERIOR / STYLING / DESIGN
79,79,air suspension,suspension,HANDLING / DYNAMICS
80,80,exhaust volume,exhaust,POWERTRAIN / PERFORMANCE
81,81,fitting a child seat,seats,INTERIOR / COMFORT / ERGONOMICS
82,82,a5 seats,seats,INTERIOR / COMFORT / ERGONOMICS
83,83,top down display,roof,EXTERIOR / STYLING / DESIGN
84,84,bmw three series new,model / generic car terms,GENERAL INFORMATION
85,85,tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
86,86,boxes,boot / cargo,FUNCTIONAL / UTILITY FEATURES
87,87,noise flow,audio,EMOTIONAL / SENSORY / VISUAL
88,88,m3,model / generic car terms,GENERAL INFORMATION
89,89,entry level,packages / trims / variants,GENERAL INFORMATION
90,90,storage drawer,storage & utility,FUNCTIONAL / UTILITY FEATURES
91,91,sporty suspension,suspension,HANDLING / DYNAMICS
92,92,seat belts,safety,SAFETY
93,93,metallic flack,exterior materials & finish,EXTERIOR / STYLING / DESIGN
94,94,technology price,value / cost,DISTANCE / MEASUREMENT /  COST
95,95,rev counter,engine / power train,POWERTRAIN / PERFORMANCE
96,96,qa8,model / generic car terms,GENERAL INFORMATION
97,97,car,generic description & miscellaneous,GENERAL INFORMATION
98,98,storage underneath,storage & utility,FUNCTIONAL / UTILITY FEATURES
99,99,content,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
100,100,performance figures,performance,POWERTRAIN / PERFORMANCE
101,101,cabriole price entry point,value / cost,DISTANCE / MEASUREMENT /  COST
102,102,looks,design,EMOTIONAL / SENSORY / VISUAL
103,103,bmw 3 40 i  engine,engine / power train,POWERTRAIN / PERFORMANCE
104,104,s4,model / generic car terms,GENERAL INFORMATION
105,105,rear following front,driving dynamics / handling,HANDLING / DYNAMICS
106,106,behaving,driving dynamics / handling,HANDLING / DYNAMICS
107,107,aero bits price,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
108,108,prices,value / cost,DISTANCE / MEASUREMENT /  COST
109,109,structural rigidity,chassis / structural,STRUCTURAL
110,110,sophistication,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
111,111,boot underfloor area,boot / cargo,FUNCTIONAL / UTILITY FEATURES
112,112,front face,front section,EXTERIOR / STYLING / DESIGN
113,113,shift operation,transmission,POWERTRAIN / PERFORMANCE
114,114,materials,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
115,115,storage bits,storage & utility,FUNCTIONAL / UTILITY FEATURES
116,116,beam span,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
117,117,car feels,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
118,118,electric motor,engine / power train,POWERTRAIN / PERFORMANCE
119,119,rear headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
120,120,air bags,safety,SAFETY
121,121,panoramic glass freeze,roof,EXTERIOR / STYLING / DESIGN
122,122,off switch,physical controls,INTERIOR / COMFORT / ERGONOMICS
123,123,head room,passenger space,INTERIOR / COMFORT / ERGONOMICS
124,124,exhaust,exhaust,POWERTRAIN / PERFORMANCE
125,125,frame,build quality / construction,STRUCTURAL
126,126,launch control process,acceleration,POWERTRAIN / PERFORMANCE
127,127,wind whistles,audio,EMOTIONAL / SENSORY / VISUAL
128,128,air breather,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
129,129,carrying stuff,boot / cargo,FUNCTIONAL / UTILITY FEATURES
130,130,sand dunes,road terrain,HANDLING / DYNAMICS
131,131,surround cameras,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
132,132,display unit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
133,133,new battery pack,fuel / energy / charging,POWERTRAIN / PERFORMANCE
134,134,rear seatbacks,seats,INTERIOR / COMFORT / ERGONOMICS
135,135,navigation system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
136,136,c e400,model / generic car terms,GENERAL INFORMATION
137,137,bmw i three,model / generic car terms,GENERAL INFORMATION
138,138,blind spot,safety,SAFETY
139,139,ferry three,passenger space,INTERIOR / COMFORT / ERGONOMICS
140,140,surround view parking,visibility & view,SAFETY
141,141,everything,functionality & features,FUNCTIONAL / UTILITY FEATURES
142,142,support adjustments,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
143,143,right on the road,road terrain,HANDLING / DYNAMICS
144,144,long distances,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
145,145,tyres,wheels & tyres,HANDLING / DYNAMICS
146,146,over six foot people,passenger space,INTERIOR / COMFORT / ERGONOMICS
147,147,ability,performance,POWERTRAIN / PERFORMANCE
148,148,volvo xc60 room,passenger space,INTERIOR / COMFORT / ERGONOMICS
149,149,woods,road terrain,HANDLING / DYNAMICS
150,150,a7 practicality,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
151,151,backpacks,storage & utility,FUNCTIONAL / UTILITY FEATURES
152,152,upholstery,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
153,153,x6,model / generic car terms,GENERAL INFORMATION
154,154,driving position,drive,POWERTRAIN / PERFORMANCE
155,155,back headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
156,156,grill,grill,EXTERIOR / STYLING / DESIGN
157,157,towbar,storage & utility,FUNCTIONAL / UTILITY FEATURES
158,158,value for money,value / cost,DISTANCE / MEASUREMENT /  COST
159,159,horns,audio,EMOTIONAL / SENSORY / VISUAL
160,160,orange peel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
161,161,elements,design,EMOTIONAL / SENSORY / VISUAL
162,162,whole package,packages / trims / variants,GENERAL INFORMATION
163,163,2.1 litre turbo diesel four cylinder,engine / power train,POWERTRAIN / PERFORMANCE
164,164,satellite system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
165,165,out,body class,EXTERIOR / STYLING / DESIGN
166,166,exterior,exterior materials & finish,EXTERIOR / STYLING / DESIGN
167,167,carrying five once,passenger space,INTERIOR / COMFORT / ERGONOMICS
168,168,normal driving speed,drive,POWERTRAIN / PERFORMANCE
169,169,few things,generic description & miscellaneous,GENERAL INFORMATION
170,170,six speed manual,transmission,POWERTRAIN / PERFORMANCE
171,171,0 to 60 spread,acceleration,POWERTRAIN / PERFORMANCE
172,172,glove boxes,storage & utility,FUNCTIONAL / UTILITY FEATURES
173,173,does everything,functionality & features,FUNCTIONAL / UTILITY FEATURES
174,174,load cover,boot / cargo,FUNCTIONAL / UTILITY FEATURES
175,175,driving,drive,POWERTRAIN / PERFORMANCE
176,176,rear window shades,interior,INTERIOR / COMFORT / ERGONOMICS
177,177,edges,design,EMOTIONAL / SENSORY / VISUAL
178,178,highway efficiency,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
179,179,outside dimensions,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
180,180,storage space,passenger space,INTERIOR / COMFORT / ERGONOMICS
181,181,striping,design,EMOTIONAL / SENSORY / VISUAL
182,182,back get in,doors,EXTERIOR / STYLING / DESIGN
183,183,badges,exterior materials & finish,EXTERIOR / STYLING / DESIGN
184,184,audi r8,model / generic car terms,GENERAL INFORMATION
185,185,a4 driving position,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
186,186,1.5 l engine,engine / power train,POWERTRAIN / PERFORMANCE
187,187,back seats down,seats,INTERIOR / COMFORT / ERGONOMICS
188,188,vocal,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
189,189,gt -r,model / generic car terms,GENERAL INFORMATION
190,190,estate cars,body type,EXTERIOR / STYLING / DESIGN
191,191,gauge setup,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
192,192,coasting,driving dynamics / handling,HANDLING / DYNAMICS
193,193,amg a4 g5,model / generic car terms,GENERAL INFORMATION
194,194,start,engine / power train,POWERTRAIN / PERFORMANCE
195,195,boot height,boot / cargo,FUNCTIONAL / UTILITY FEATURES
196,196,signature on every windscreen,windscreen / wipers,SAFETY
197,197,latest version,packages / trims / variants,GENERAL INFORMATION
198,198,power band,engine / power train,POWERTRAIN / PERFORMANCE
199,199,downhill,road terrain,HANDLING / DYNAMICS
200,200,haunches,body class,EXTERIOR / STYLING / DESIGN
201,201,rear window,rear section,EXTERIOR / STYLING / DESIGN
202,202,sensations,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
203,203,smaller people,passenger space,INTERIOR / COMFORT / ERGONOMICS
204,204,turbulence,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
205,205,comfort level,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
206,206,learn to drive,drive,POWERTRAIN / PERFORMANCE
207,207,external panel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
208,208,four people,passenger space,INTERIOR / COMFORT / ERGONOMICS
209,209,mirrors,mirrors,SAFETY
210,210,stop,brake,HANDLING / DYNAMICS
211,211,protection,safety,SAFETY
212,212,vent,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
213,213,sailing mode,driving dynamics / handling,HANDLING / DYNAMICS
214,214,current design,design,EMOTIONAL / SENSORY / VISUAL
215,215,interface operation,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
216,216,money,value / cost,DISTANCE / MEASUREMENT /  COST
217,217,first generation drive,drive,POWERTRAIN / PERFORMANCE
218,218,storage jets,storage & utility,FUNCTIONAL / UTILITY FEATURES
219,219,electric car,fuel / energy / charging,POWERTRAIN / PERFORMANCE
220,220,backrest,seats,INTERIOR / COMFORT / ERGONOMICS
221,221,s5 sport back launch,acceleration,POWERTRAIN / PERFORMANCE
222,222,light,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
223,223,off roader,road terrain,HANDLING / DYNAMICS
224,224,material selection,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
225,225,long term reliability,value / cost,DISTANCE / MEASUREMENT /  COST
226,226,a8 reversing,driver assistance,SAFETY
227,227,tech features,functionality & features,FUNCTIONAL / UTILITY FEATURES
228,228,stop start system,engine / power train,POWERTRAIN / PERFORMANCE
229,229,front armrest,seats,INTERIOR / COMFORT / ERGONOMICS
230,230,engine start button,engine / power train,POWERTRAIN / PERFORMANCE
231,231,pricewise,value / cost,DISTANCE / MEASUREMENT /  COST
232,232,contrast,design,EMOTIONAL / SENSORY / VISUAL
233,233,digital dash,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
234,234,driver satisfaction,drive,POWERTRAIN / PERFORMANCE
235,235,offroad sound,audio,EMOTIONAL / SENSORY / VISUAL
236,236,get in the back,doors,EXTERIOR / STYLING / DESIGN
237,237,dash angles,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
238,238,manual sport mode,transmission,POWERTRAIN / PERFORMANCE
239,239,front bottom,front section,EXTERIOR / STYLING / DESIGN
240,240,back,rear section,EXTERIOR / STYLING / DESIGN
241,241,weirdness,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
242,242,shocks,driving dynamics / handling,HANDLING / DYNAMICS
243,243,fuel consumption,fuel / energy / charging,POWERTRAIN / PERFORMANCE
244,244,swiping zoom manoeuvres,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
245,245,s line indicators,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
246,246,emergency services button,functionality & features,FUNCTIONAL / UTILITY FEATURES
247,247,specifications,options & specifications,GENERAL INFORMATION
248,248,most laid back position,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
249,249,handles,doors,EXTERIOR / STYLING / DESIGN
250,250,tops,roof,EXTERIOR / STYLING / DESIGN
251,251,tail lamps,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
252,252,car tire pot,wheels & tyres,HANDLING / DYNAMICS
253,253,sedan,body type,EXTERIOR / STYLING / DESIGN
254,254,mercedes c 63 or a bmw m3,performance,POWERTRAIN / PERFORMANCE
255,255,automatic gear,transmission,POWERTRAIN / PERFORMANCE
256,256,scuff plates,exterior materials & finish,EXTERIOR / STYLING / DESIGN
257,257,door design,design,EMOTIONAL / SENSORY / VISUAL
258,258,road,road terrain,HANDLING / DYNAMICS
259,259,profiles,design,EMOTIONAL / SENSORY / VISUAL
260,260,rear wheel drive,drive,POWERTRAIN / PERFORMANCE
261,261,air breathers,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
262,262,left hand drive steering wheel,steering,HANDLING / DYNAMICS
263,263,stereo volume control,audio,EMOTIONAL / SENSORY / VISUAL
264,264,offroad travel,road terrain,HANDLING / DYNAMICS
265,265,canyon,road terrain,HANDLING / DYNAMICS
266,266,potholes,road terrain,HANDLING / DYNAMICS
267,267,dynamics,driving dynamics / handling,HANDLING / DYNAMICS
268,268,wheel arches,exterior materials & finish,EXTERIOR / STYLING / DESIGN
269,269,rs5,model / generic car terms,GENERAL INFORMATION
270,270,steering column,steering,HANDLING / DYNAMICS
271,271,gt three wet road,driving dynamics / handling,HANDLING / DYNAMICS
272,272,efficiency,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
273,273,back roofline,roof,EXTERIOR / STYLING / DESIGN
274,274,rear wheels,drive,POWERTRAIN / PERFORMANCE
275,275,roof rails,roof,EXTERIOR / STYLING / DESIGN
276,276,look over shoulder,design,EMOTIONAL / SENSORY / VISUAL
277,277,expense,value / cost,DISTANCE / MEASUREMENT /  COST
278,278,storage pack,storage & utility,FUNCTIONAL / UTILITY FEATURES
279,279,turbos,engine / power train,POWERTRAIN / PERFORMANCE
280,280,carbon trim price,value / cost,DISTANCE / MEASUREMENT /  COST
281,281,gearboxes,transmission,POWERTRAIN / PERFORMANCE
282,282,crackles,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
283,283,electronic system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
284,284,turns in,cornering,HANDLING / DYNAMICS
285,285,automatic gear selector,transmission,POWERTRAIN / PERFORMANCE
286,286,hatchback tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
287,287,wheel look change,design,EMOTIONAL / SENSORY / VISUAL
288,288,dynamic gearbox shift,transmission,POWERTRAIN / PERFORMANCE
289,289,obstacles,road terrain,HANDLING / DYNAMICS
290,290,quattro system petrol,traction / stability,HANDLING / DYNAMICS
291,291,rs5 color,exterior materials & finish,EXTERIOR / STYLING / DESIGN
292,292,spaces,passenger space,INTERIOR / COMFORT / ERGONOMICS
293,293,g l e 63,model / generic car terms,GENERAL INFORMATION
294,294,seatbelt butler,seats,INTERIOR / COMFORT / ERGONOMICS
295,295,black box on white red,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
296,296,storage areas,storage & utility,FUNCTIONAL / UTILITY FEATURES
297,297,under floor support,chassis / structural,STRUCTURAL
298,298,front apron port,front section,EXTERIOR / STYLING / DESIGN
299,299,torque uplift,engine / power train,POWERTRAIN / PERFORMANCE
300,300,back view,visibility & view,SAFETY
301,301,dynamic downshift,transmission,POWERTRAIN / PERFORMANCE
302,302,motorways,engine / power train,POWERTRAIN / PERFORMANCE
303,303,a4 ultra,model / generic car terms,GENERAL INFORMATION
304,304,cooling ducts,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
305,305,big bulky child safe,safety,SAFETY
306,306,tail light color,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
307,307,backend,rear section,EXTERIOR / STYLING / DESIGN
308,308,audi g5,model / generic car terms,GENERAL INFORMATION
309,309,structural integrity,build quality / construction,STRUCTURAL
310,310,seat adjustment,seats,INTERIOR / COMFORT / ERGONOMICS
311,311,wood veneer,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
312,312,steering wheel in parking,steering,HANDLING / DYNAMICS
313,313,speed on,acceleration,POWERTRAIN / PERFORMANCE
314,314,cruiser,driver assistance,SAFETY
315,315,street limit,road terrain,HANDLING / DYNAMICS
316,316,interior quality,interior,INTERIOR / COMFORT / ERGONOMICS
317,317,air bladders,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
318,318,360 degree camera system,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
319,319,offset pedals,physical controls,INTERIOR / COMFORT / ERGONOMICS
320,320,open the bonnet,bonnet,EXTERIOR / STYLING / DESIGN
321,321,voice control system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
322,322,integrated laser lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
323,323,rear peasant blocker,visibility & view,SAFETY
324,324,attitude,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
325,325,high speed motorways,engine / power train,POWERTRAIN / PERFORMANCE
326,326,command,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
327,327,race,performance,POWERTRAIN / PERFORMANCE
328,328,front passenger seat,seats,INTERIOR / COMFORT / ERGONOMICS
329,329,level,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
330,330,tire looks,design,EMOTIONAL / SENSORY / VISUAL
331,331,comfort mode ride,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
332,332,water porting,fuel / energy / charging,POWERTRAIN / PERFORMANCE
333,333,cushion,seats,INTERIOR / COMFORT / ERGONOMICS
334,334,audi q5,model / generic car terms,GENERAL INFORMATION
335,335,central locking,keys & lock,SAFETY
336,336,m 7 60,model / generic car terms,GENERAL INFORMATION
337,337,cruising ability,driver assistance,SAFETY
338,338,petrol tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
339,339,pillows,seats,INTERIOR / COMFORT / ERGONOMICS
340,340,central locking sound,audio,EMOTIONAL / SENSORY / VISUAL
341,341,premium plus trim level,packages / trims / variants,GENERAL INFORMATION
342,342,new audi rs three,model / generic car terms,GENERAL INFORMATION
343,343,lift,boot / cargo,FUNCTIONAL / UTILITY FEATURES
344,344,fake sound,audio,EMOTIONAL / SENSORY / VISUAL
345,345,side vents,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
346,346,six cylinder car,engine / power train,POWERTRAIN / PERFORMANCE
347,347,cargo area,boot / cargo,FUNCTIONAL / UTILITY FEATURES
348,348,roofline,roof,EXTERIOR / STYLING / DESIGN
349,349,s5 sport back torque,engine / power train,POWERTRAIN / PERFORMANCE
350,350,touch,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
351,351,damper suspension,suspension,HANDLING / DYNAMICS
352,352,f40 i x dr,model / generic car terms,GENERAL INFORMATION
353,353,cruising around,driver assistance,SAFETY
354,354,interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
355,355,upgraded sound system,audio,EMOTIONAL / SENSORY / VISUAL
356,356,pedal field,brake,HANDLING / DYNAMICS
357,357,standing quarter,acceleration,POWERTRAIN / PERFORMANCE
358,358,value,value / cost,DISTANCE / MEASUREMENT /  COST
359,359,0 to 60,acceleration,POWERTRAIN / PERFORMANCE
360,360,volume knob,physical controls,INTERIOR / COMFORT / ERGONOMICS
361,361,rear passenger door bins,passenger space,INTERIOR / COMFORT / ERGONOMICS
362,362,nameplate,generic description & miscellaneous,GENERAL INFORMATION
363,363,audio system,audio,EMOTIONAL / SENSORY / VISUAL
364,364,steering control,steering,HANDLING / DYNAMICS
365,365,efficiency system,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
366,366,front track,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
367,367,launch,acceleration,POWERTRAIN / PERFORMANCE
368,368,i drive system,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
369,369,connection to front axle,driving dynamics / handling,HANDLING / DYNAMICS
370,370,six series gt,model / generic car terms,GENERAL INFORMATION
371,371,ceiling,roof,EXTERIOR / STYLING / DESIGN
372,372,stance,design,EMOTIONAL / SENSORY / VISUAL
373,373,v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
374,374,overhangs,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
375,375,three people in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
376,376,controls,physical controls,INTERIOR / COMFORT / ERGONOMICS
377,377,rear view,visibility & view,SAFETY
378,378,fold seats down,seats,INTERIOR / COMFORT / ERGONOMICS
379,379,turn,cornering,HANDLING / DYNAMICS
380,380,uphill drive,drive,POWERTRAIN / PERFORMANCE
381,381,front area,front section,EXTERIOR / STYLING / DESIGN
382,382,underfloor compartment,storage & utility,FUNCTIONAL / UTILITY FEATURES
383,383,chassis,chassis / structural,STRUCTURAL
384,384,back trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
385,385,wood,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
386,386,rocks,road terrain,HANDLING / DYNAMICS
387,387,back knee room,passenger space,INTERIOR / COMFORT / ERGONOMICS
388,388,gauge display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
389,389,speed transmission shifts,transmission,POWERTRAIN / PERFORMANCE
390,390,body kit,body class,EXTERIOR / STYLING / DESIGN
391,391,main entertainment screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
392,392,offroad mode,road terrain,HANDLING / DYNAMICS
393,393,sports plus,driving dynamics / handling,HANDLING / DYNAMICS
394,394,manoeuvring speeds,steering,HANDLING / DYNAMICS
395,395,velocity,performance,POWERTRAIN / PERFORMANCE
396,396,steering system,steering,HANDLING / DYNAMICS
397,397,center seat,seats,INTERIOR / COMFORT / ERGONOMICS
398,398,kneeroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
399,399,diesel version,fuel / energy / charging,POWERTRAIN / PERFORMANCE
400,400,coat hook,storage & utility,FUNCTIONAL / UTILITY FEATURES
401,401,steel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
402,402,screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
403,403,visibility,visibility & view,SAFETY
404,404,front end grip,traction / stability,HANDLING / DYNAMICS
405,405,feels,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
406,406,swivel wheel,wheels & tyres,HANDLING / DYNAMICS
407,407,visibility,visibility & view,SAFETY
408,408,hybrid system,fuel / energy / charging,POWERTRAIN / PERFORMANCE
409,409,mode,driving dynamics / handling,HANDLING / DYNAMICS
410,410,digital space,passenger space,INTERIOR / COMFORT / ERGONOMICS
411,411,storage nooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
412,412,plenty of things,generic description & miscellaneous,GENERAL INFORMATION
