values,categories,sub_category,main_category,Functional_Group,High_Level_Category,Functional_Group1,High_Level_Category1,base_category
corner exiting traction,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
Audi Badge,,,,Other,,Other,,Generic Car Terms
surfaces,,,,Other,,Other,,Road Terrain
drive,,,,Other,,Other,,
storage spaces,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
going round,,,,Other,,Other,,Road Terrain
space in backseats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
Land rover Discovery sport,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Other,,brake
visibility at the front,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
dry,,,,Other,,Other,,Road Terrain
map view,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Navigation / Mapping
normal driving,,,,Other,,Other,,
auto mode,,,,Other,,Other,,
A4 boot,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
storage space,,,,Other,,Other,,boot_cargo
platform,,,,Other,,Other,,
front face,,,,Other,,Other,,
side wall,,,,Other,,Other,,
torque uplift,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,engine/ power train
ski hatch,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,
pricewise,,,,Other,,Other,,Road Terrain
black stitching,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
V10 engine,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
tops,,,,Other,,Other,,
universal garage door opener,,,,Other,,Body & Exterior,,Doors
car wash,,,,Other,,Other,,
leather upgrade cost,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Value / Cost
rocks,,,,Other,,Other,,Road Terrain
rear spoiler,,,,Other,,Body & Exterior,,
buying,,,,Other,,Other,,
manual gearboxes,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
storage pouch,,,,Other,,Other,,boot_cargo
A8,,,,Other,,Other,,
plastic,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
motor noise,,,,Other,,Other,,audio
orange peel,,,,Other,,Other,,
handbrake,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
air 18,,,,Other,,Other,,
cup holders,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
handles,,,,Other,,Other,,
second row seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
suspension choice,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
s c car,,,,Other,,Other,,
standard engine power,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
city driving,,,,Other,,Other,,Road Terrain
display screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
luxury spectrum,,,,Other,,Other,,
heads up display,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
driving position,,,,Other,,Other,,
door handle,,,,Other,,Body & Exterior,,Doors
open the bonnet,,,,Other,,Body & Exterior,,
coat hooks,,,,Other,,Other,,boot_cargo
heavy cornering,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
salute,,,,Other,,Other,,
snow,,,,Other,,Other,,Road Terrain
lettering,,,,Other,,Other,,
vibe,,,,Other,,Other,,
could be space,,,,Other,,Other,,passenger space - could be space
lowering backseats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
drive feel,,,,Other,,Other,,
radio system,,,,Other,,Other,,
wind,,,,Other,,Other,,
undulations of the road,,,,Other,,Other,,Road Terrain
parking assistant Plus,,,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Parking
parking sensors,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Parking
electric control for steering will,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
side,,,,Other,,Other,,
back wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
front,,,,Other,,Other,,
coat off,,,,Other,,Other,,
dynamic package,,,,Other,,Handling & Dynamics,,
vehicle lowest setting,,,,Other,,Other,,
high speed mobile internet,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Connectivity / Integration
voice control system,,,,Other,,Other,,Voice & Commands
boots,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
user interface,,,,Other,,Infotainment & Display,,Software / Interaction
Lincoln M . K . C,,,,Other,,Other,,Generic Car Terms
change direction,,,,Other,,Other,,
detail,,,,Other,,Other,,
sporting suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
rear wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
wheel,,,,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tires,EXTERIOR_LIGHTING,Wheels & Tyres
twin turbo petrol horsepower,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
split gate height,,,,Other,,Other,,boot_cargo
elements,,,,Other,,Other,,
Rev. Counter,,,,Other,,Other,,
backseat environment,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
plugin hybrid,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
saloon,,,,Other,,Other,,
fuel,,,,Other,,Other,,Fuel / Energy / Charging
cupholders,,,,Other,,Other,,Storage & Utility
hold assist price,,,,Other,,Other,,Road Terrain
sound proofing,,,,Other,,Body & Exterior,,roof
keyless entry,,,,Other,,Other,,
third generation,,,,Other,,Other,,
offroad,,,,Other,,Other,,Road Terrain
off road,,,,Other,,Other,,Road Terrain
netted areas,,,,Other,,Other,,
efficiency mode,,,,Other,,Other,,Fuel / Energy / Charging
manual,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
drive train flooring,,,,Other,,Transmission & Drivetrain,,
badge,,,,Other,,Other,,
sense,,,,Other,,Other,,
mountains,,,,Other,,Other,,
air purification system with perfume,,,,Other,,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
power,,,,Other,,Other,,engine/ power train
energy,,,,Other,,Other,,Fuel / Energy / Charging
highway efficiency,,,,Other,,Other,,Road Terrain
C 250 D,,,,Other,,Other,,Generic Car Terms
look over shoulder,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
reversign camera,,,,Other,,Miscellaneous Features,,
Audi A6,,,,Other,,Other,,Generic Car Terms
trunk shape,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
silver screen,,,,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Displays / Instrumentation
X3,,,,Other,,Other,,
changing gears using paddles,,,,Transmission,POWERTRAIN_PERFORMANCE,Other,,transmission
steering wheel shape,,,,Handling,POWERTRAIN_PERFORMANCE,Wheels & Tires,EXTERIOR_LIGHTING,steering
battery size,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
no control for rear window,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
C class,,,,Other,,Other,,
exhaust tips,,,,Other,,Other,,
gear shifts,,,,Other,,Transmission & Drivetrain,,transmission
equipment,,,,Other,,Other,,
front toe handle,,,,Other,,Other,,
footroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - footroom
incredibly tight street,,,,Other,,Other,,Road Terrain
fixed covers,,,,Other,,Other,,
rail,,,,Other,,Other,,
battery location,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
pillar,,,,Other,,Other,,
diesel model fuel tank,,,,Engine,POWERTRAIN_PERFORMANCE,Other,,Fuel / Energy / Charging
window line,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
maximum cargo space,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
audio systems,,Audio & Entertainment,Technology,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
turbos,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,
family seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
verdict,,,,Other,,Other,,
anti-roll bars,,,,Other,,Handling & Dynamics,,
slippery track,,,,Other,,Other,,Road Terrain
carbon trim price,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Road Terrain
offroad driving,,,,Other,,Other,,Road Terrain
tailgated,,,,Other,,Other,,
map,,,,Other,,Other,,
smoke,,,,Other,,Other,,
exhaust clip,,,,Other,,Other,,
virtual cockpit instrument ,,,,Other,,Other,,Displays / Instrumentation
accents,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,
throttle,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
tailpipes,,,,Other,,Other,,
front seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
standard system,,,,Other,,Other,,
pockets in backseat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
front center,,,,Other,,Other,,
events,,,,Other,,Other,,
price,,,,Other,,Other,,Road Terrain
settings,,,,Other,,Other,,Software / Interaction
details,,,,Other,,Other,,
tie down tethers,,,,Other,,Other,,boot_cargo
upshift,,,,Other,,Other,,transmission
wagon load,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
local,,,,Other,,Other,,
gear changes,,,,Other,,Other,,transmission
audio,,,,Audio Systems,TECHNOLOGY_INFOTAINMENT,Other,,audio
high pressure oil system,,,,Other,,Other,,
remote key operations,,,,Other,,Other,,Driver_Assistance
climb,,,,Other,,Other,,
automatic engine start stop system,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
nine speed automatic,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
middle seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
side collision avoidance system,,,,Other,,Other,,Safety
0 to 60 spread,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
upgraded command system,,Infotainment Software & Interaction,Technology,Infotainment,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Software / Interaction
digital dollars,,,,Other,,Other,,Value / Cost
hold assist system,,,,Other,,Other,,
ring system,,,,Other,,Other,,
legroom,,,,Passenger Space,INTERIOR_SPACE_COMFORT,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - legroom
aesthetics,,,,Other,,Other,,
motorway,,,,Other,,Other,,Road Terrain
QA8,,,,Other,,Other,,Generic Car Terms
dynamics,,,,Other,,Handling & Dynamics,,
sport steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
front seat set,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
traditional sedan,,,,Body Style,EXTERIOR_LIGHTING,Body & Exterior,,
window ledge,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,lighting
virtual cockpit ,,Displays & Instrumentation,Technology,Other,,Other,,Displays / Instrumentation
door mirror controller,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Doors
sight,,,,Other,,Other,,
back window,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
operating window,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
USB charging ports,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
any given road,,,,Other,,Other,,Road Terrain
door bin,,,,Other,,Storage,INTERIOR_SPACE_COMFORT,Storage & Utility
capacity,,,,Other,,Other,,
electronic,,,,Other,,Other,,
power trade,,,,Other,,Other,,engine/ power train
cabinets,,,,Other,,Other,,
cars,,,,Other,,Other,,
gear selector,,,,Other,,Transmission & Drivetrain,,transmission
take off,,,,Other,,Other,,
option packages,,,,Other,,Other,,
brake temperature,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
eight speed automatic transmission,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
hatchback tailgate,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
lower section,,,,Other,,Other,,boot_cargo
load space,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
flipping down the second row seats,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
corner in wet weather,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Road Terrain
F40 5 a.m. G,,,,Other,,Other,,Generic Car Terms
carrying three in the back,,,,Other,,Other,,
surround view parking,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Parking
oversteer,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
delay,,,,Other,,Other,,
charging the battery,,,,Other,,Engine & Performance,,Fuel / Energy / Charging
ground clearence,,,,Other,,Other,,
storage jets,,,,Other,,Other,,boot_cargo
tray storage,,,,Storage,INTERIOR_SPACE_COMFORT,Storage,INTERIOR_SPACE_COMFORT,boot_cargo
laser lights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
tech features,,,,Other,,Other,,Software / Interaction
fitting a child seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
navigation system,,Navigation & Mapping,Technology,Navigation,TECHNOLOGY_INFOTAINMENT,Infotainment & Display,,Navigation / Mapping
coasting,,,,Other,,Handling & Dynamics,,
seat release,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
carbon fibre trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
visibility,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Visibility & View
Momentum99 fuel,,,,Other,,Other,,Fuel / Energy / Charging
fix covers,,,,Other,,Other,,
Audi Q5,,,,Other,,Other,,Generic Car Terms
assist,,,,Other,,Other,,
menus,,,,Other,,Other,,Software / Interaction
drive long way,,,,Other,,Other,,
silhouette,,,,Other,,Other,,
A7 practicalty,,,,Other,,Other,,Storage & Utility
backseat for people over 6 4,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
center stack,,,,Other,,Miscellaneous Features,,Software / Interaction
cornering,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
paddles,,,,Transmission,POWERTRAIN_PERFORMANCE,Other,,
folders,,,,Other,,Other,,
side bolsters,,,,Other,,Other,,
back digital climate control,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Climate / Temperature Control
engine start stop system,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
racket,,,,Other,,Other,,
electrically operated steering column,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
rear executive seat package,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
moonroof,,,,Other,,Body & Exterior,,roof
economy,,,,Other,,Other,,
turn in,,,,Other,,Other,,Cornering / Grip
Trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
steering system,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
out,,,,Other,,Other,,
backseat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
unfamiliar back roads,,,,Other,,Other,,
Wifi connectivity,,,,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity,TECHNOLOGY_INFOTAINMENT,Connectivity / Integration
gear selector knob,,,,Other,,Transmission & Drivetrain,,transmission
servicing,,,,Other,,Other,,Value / Cost
Audi R8,,,,Other,,Other,,Generic Car Terms
shacks,,,,Other,,Other,,
sport suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
systems,,,,Other,,Other,,
hybrid,,,,Other,,Engine & Performance,,
extra bracing,,,,Other,,Other,,Road Terrain
parking center switch,,,,Other,,Other,,Parking
boot lip,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
head unit,,,,Other,,Infotainment & Display,,Displays / Instrumentation
integrated laser lights,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
new technology,,,,Other,,Other,,Software / Interaction
equipped,,,,Other,,Other,,
extra bits of trim,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
camera review,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Cameras
center arm,,,,Other,,Other,,seats
residual value,,,,Other,,Other,,Value / Cost
tour curve,,,,Other,,Other,,Road Terrain
automatic gear selector,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
three people in the back,,,,Other,,Other,,
comfrot mode ride,,,,Other,,Other,,
rear seat legroom,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
dynamic steering,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,steering
cargo space,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
ending,,,,Other,,Other,,
highway,,,,Other,,Other,,Road Terrain
top down air,,,,Other,,Other,,
feel,,,,Other,,Other,,
street limit,,,,Other,,Other,,Road Terrain
back seating,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
Audi grills,,,,Other,,Other,,Generic Car Terms
protection,,,,Airbags & Crash Protection,SAFETY_DRIVER_ASSISTANCE,Other,,Safety
rear space,,,,Other,,Passenger Space,INTERIOR_SPACE_COMFORT,passenger space - rear space
panoramic glass freeze,,,,Other,,Visibility,INTERIOR_SPACE_COMFORT,roof
hatchback,,,,Boot_Cargo,INTERIOR_SPACE_COMFORT,Boot_Cargo,INTERIOR_SPACE_COMFORT,
pillows,,,,Other,,Other,,
wood trim effect,,,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,Wheels & Tyres
carrying three in back,,,,Other,,Other,,
detail lights,,,,Other,,Other,,lighting
security,,,,Other,,Other,,Safety
straight driving,,,,Other,,Other,,Road Terrain
auto driving,,,,Other,,Other,,Driver_Assistance
engine versions,,,,Engine,POWERTRAIN_PERFORMANCE,Engine & Performance,,engine/ power train
Audi A7,,,,Other,,Other,,Generic Car Terms
phone cradle,,,,Other,,Other,,Connectivity / Integration
dash angles,,,,Other,,Miscellaneous Features,,Displays / Instrumentation
image,,,,Other,,Other,,
design feature,,,,Other,,Other,,
no underfloor storage,,,,Other,,Boot_Cargo,INTERIOR_SPACE_COMFORT,boot_cargo
driver seat heat dissipation,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
rollover,,,,Other,,Other,,Safety
dynamic damper control,,,,Other,,Handling & Dynamics,,Suspension
rpm band,,,,Other,,Other,,engine/ power train
driving cars,,,,Other,,Other,,
fold down receipts,,,,Other,,Other,,
overall look,,,,Other,,Other,,
turn off option,,,,Other,,Other,,
360 degree camera system,,,,Other,,Driver Assistance,TECHNOLOGY_INFOTAINMENT,Cameras
magic body control,,,,Other,,Body & Exterior,,
nine speed automatic transmission,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
automatic acceleration,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,Acceleration
footprint,,,,Other,,Other,,
lighting,,,,Other,,Lighting,EXTERIOR_LIGHTING,lighting
head,,,,Other,,Other,,
numbness,,,,Other,,Other,,
base price,,,,Other,,Other,,Road Terrain
sound level,,,,Other,,Other,,audio
dynamic clutch,,,,Other,,Handling & Dynamics,,
crystal knob,,,,Other,,Other,,Physical Controls
Volvo XC60 offroad,,,,Other,,Other,,Road Terrain
headrom,,,,Other,,Other,,
rough road,,,,Other,,Other,,Road Terrain
satellite system,,,,Other,,Other,,Navigation / Mapping
dry condition,,,,Other,,Other,,Road Terrain
intense,,,,Other,,Other,,
carrying stuff,,,,Other,,Other,,boot_cargo
material on the glove box,,,,Other,,Interior Trim & Materials,INTERIOR_SPACE_COMFORT,boot_cargo
tracks,,,,Other,,Other,,Road Terrain
middle seat footroom,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
carplay connectivity,,,,Other,,Other,,Connectivity / Integration
front ways,,,,Other,,Other,,
experience,,,,Other,,Other,,
rear passenger space,,,,Other,,Passenger Space,INTERIOR_SPACE_COMFORT,seats
command,,,,Other,,Other,,
bumper sticks,,,,Other,,Body & Exterior,,Road Terrain
number keypad,,,,Other,,Other,,Physical Controls
folds in back seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
corner grip,,,,Handling,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Cornering / Grip
acceleration in efficiency mode,,,,Other,,Handling & Dynamics,,Fuel / Energy / Charging
long drives,,,,Other,,Other,,
LEDs,,,,Lighting,EXTERIOR_LIGHTING,Lighting,EXTERIOR_LIGHTING,lighting
flat upshift,,,,Other,,Other,,transmission
TT,,,,Other,,Other,,
parallel parking,,,,Other,,Other,,Parking
ecosystem,,,,Other,,Other,,
class,,,,Other,,Other,,
switches and dials,,Infotainment Software & Interaction,Technology,Other,,Other,,Physical Controls
sports standard,,,,Other,,Other,,
rear bumper,,,,Other,,Body & Exterior,,Road Terrain
stripe,,,,Other,,Other,,
rear,,,,Other,,Other,,
electronically controlled dampers,,,,Suspension,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,lighting
G l E 63,,,,Other,,Other,,Generic Car Terms
sand dunes,,,,Other,,Other,,Road Terrain
sit,,,,Other,,Other,,
steering reflexes,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
charging,,,,Other,,Other,,Fuel / Energy / Charging
foot brake,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Handling & Dynamics,,brake
automatic tailgate,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,
gear change sound,,,,Other,,Other,,transmission
grips,,,,Other,,Other,,
front discs,,,,Brakes,SAFETY_DRIVER_ASSISTANCE,Wheels & Tires,EXTERIOR_LIGHTING,brake
A5 cooper,,,,Other,,Other,,Generic Car Terms
glass,,,,Other,,Other,,
practicalities,,,,Other,,Other,,Storage & Utility
front seat,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
electric steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
at speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
seating position,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
new G class,,,,Other,,Other,,Generic Car Terms
average speed,,,,Acceleration,POWERTRAIN_PERFORMANCE,Handling & Dynamics,,Acceleration
video chip,,Displays & Instrumentation,Technology,Other,,Other,,Displays / Instrumentation
A4 dual clutch,,,,Transmission,POWERTRAIN_PERFORMANCE,Transmission & Drivetrain,,transmission
power band,,,,Other,,Other,,engine/ power train
cushion,,,,Seats,INTERIOR_SPACE_COMFORT,Seats,INTERIOR_SPACE_COMFORT,seats
wind noise,,,,Other,,Other,,
windows,,,,Visibility,INTERIOR_SPACE_COMFORT,Visibility,INTERIOR_SPACE_COMFORT,Windows / Glass
off roader,,,,Other,,Other,,Road Terrain
steering,,,,Handling,POWERTRAIN_PERFORMANCE,Other,,steering
box,,,,Other,,Other,,boot_cargo
types of suspension,,,,Comfort Features,INTERIOR_SPACE_COMFORT,Comfort Features,INTERIOR_SPACE_COMFORT,Suspension
