,aspect,base_category
299,torque uplift,engine/ power train
300,back view,visibility & view
301,dynamic downshift,transmission
302,motorways,engine/ power train
303,a4 ultra,model / generic car terms
304,cooling ducts,aerodynamics / airflow
305,big bulky child safe,safety
306,tail light color,Design
307,backend,climate / temperature control
308,audi g5,model / generic car terms
309,structural integrity,build quality / construction
310,seat adjustment,Comfort & Ergonomics
311,wood veneer,interior materials & trim / finish
312,steering wheel in parking,steering
313,speed on,acceleration
314,cruiser,driver assistance
315,street limit,road terrain
316,interior quality,interior
317,air bladders,aerodynamics / airflow
318,360 degree camera system,cameras
319,offset pedals,brake
320,open the bonnet,bonnet
321,voice control system,voice & commands
322,integrated laser lights,lighting
323,rear peasant blocker,visibility & view
324,attitude,model / generic car terms
325,high speed motorways,engine/ power train
326,command,voice & commands
327,race,climate / temperature control
328,front passenger seat,seats
329,level,
330,tire looks,Design
331,comfort mode ride,Comfort & Ergonomics
332,water porting,Fuel / Energy / Charging
333,cushion,seats
334,audi q5,model / generic car terms
335,central locking,keys & lock
336,m 7 60,model / generic car terms
337,cruising ability,driver assistance
338,petrol tank,fuel / energy / charging
339,pillows,seats
340,central locking sound,audio
341,premium plus trim level,Design
342,new audi rs three,model / generic car terms
343,lift,
344,fake sound,audio
345,side vents,aerodynamics / airflow
346,six cylinder car,engine/ power train
347,cargo area,boot/cargo
348,roofline,roof
349,s5 sport back torque,body type
350,touch,gesture / motion controls
351,damper suspension,suspension
352,f40 i x dr,model / generic car terms
353,cruising around,driver assistance
354,interface,climate / temperature control
355,upgraded sound system,audio
356,pedal field,brake
357,standing quarter,acceleration
358,value,value / cost
359,0 to 60,acceleration
360,volume knob,physical controls
361,rear passenger door bins,passenger space
362,nameplate,model / generic car terms
363,audio system,model / generic car terms
364,steering control,steering
365,efficiency system,Distance / Efficiency / Mileage
366,front track,climate / temperature control
367,launch,acceleration
368,i drive system,drive
369,connection to front axle,driving dynamics / handling
370,six series gt,model / generic car terms
371,ceiling,roof
372,stance,Design
373,v8 engine,engine / power train
374,overhangs,aerodynamics / airflow
375,three people in the back,climate / temperature control
376,controls,
377,rear view,visibility & view
378,fold seats down,seats
379,turn,cornering
380,uphill drive,drive
381,front area,
382,underfloor compartment,storage & utility
383,chassis,chassis / structural
384,back trim,Design
385,wood,interior materials & trim / finish
386,rocks,road terrain
387,back knee room,climate / temperature control
388,twin courts,
389,gauge display,displays / instrumentation
390,speed transmission shifts,transmission
391,body kit,body class
392,main entertainment screen,displays / instrumentation
393,offroad mode,road terrain
394,sports plus,Driving Dynamics / Handling
395,manoeuvring speeds,steering
396,velocity,performance
397,steering system,steering
398,center seat,seats
399,kneeroom,passenger space
400,diesel version,fuel / energy / charging
401,coat hook,Comfort & Ergonomics
402,steel,exterior materials & finish
403,screen,displays / instrumentation
404,visibility,visibility & view
405,front end grip,cornering / grip
406,feels,Emotional & Sensory Experience
407,swivel wheel,wheels & tyres
408,visibility,visibility & view
409,hybrid system,fuel / energy / charging
410,mode,Driving Dynamics / Handling
411,digital space,climate / temperature control
412,storage nooks,storage & utility
413,plenty of things,
414,heat pump,climate / temperature control
415,paddle shifter,transmission
416,propulsion,engine/ power train
417,paddle shift gearbox,transmission
418,junctions in efficiency mode,fuel / energy / charging
419,key,keys & lock
420,a3 looks,Design
421,rs6 everyday performance,model / generic car terms
422,drive long way,drive
423,on track performance,climate / temperature control
424,below body structure,body class
425,car interaction,climate / temperature control
426,tv chair,displays / instrumentation
427,purple ambient lighting,lighting
428,virtual 360 degree cameras,cameras
429,experience,emotional & sensory experience
430,goodies,Functional Features
431,exteriors,exterior materials & finish
432,magic sky control,roof
433,adult occupant protection in the crash test .,safety
434,small,
435,speed,acceleration
436,top up,roof
437,hooks,Comfort & Ergonomics
438,control,
439,long haul,Distance / Efficiency / Mileage
440,stereo system,audio
441,buttons,model / generic car terms
442,brightness,lighting
443,serious offroad,road terrain
444,driving modes,drive
445,laser beam headlights,lighting
446,car start,model / generic car terms
447,cover storage,storage & utility
448,high speed,acceleration
449,fittings,model / generic car terms
450,carbon fibre trim,Design
451,q3,model / generic car terms
452,surfacing treatment,Design
453,false floor,boot/cargo
454,stitching,interior materials & trim / finish
455,spirit,Emotional & Sensory Experience
456,oil,fuel / energy / charging
457,graphic,displays / instrumentation
458,footspace,climate / temperature control
459,take off,acceleration
460,lower section,boot/cargo
461,exhaust noise (dynamic mode),exhaust
462,long distance,Design
463,stability control,traction / stability
464,space in backseats,climate / temperature control
465,m 135,model / generic car terms
466,over six foot,passenger space
467,beeping,audio
468,cruise,driver assistance
469,rs6,model / generic car terms
470,boot spoiler,fuel / energy / charging
471,ventilation controls,aerodynamics / airflow
472,playing music,audio
473,headlights,lighting
474,fixed covers,exterior materials & finish
475,moon roof shade,roof
476,engine notes,engine / power train
477,thirdrow seats,seats
478,door open,doors
479,cubby space,climate / temperature control
480,third row space,climate / temperature control
481,s line,packages / trims / variants
482,radio,audio
483,getting back,model / generic car terms
484,releases,model / generic car terms
485,manual transmission,transmission
486,lights,lighting
487,carrying rear passengers,passenger space
488,ingredients,
489,menus,software / interaction
490,reversing with assistant,driver assistance
491,electricity,fuel / energy / charging
492,front discs,brake
493,boot volume,boot/cargo
494,front seats sound,seats
495,concierge service,road terrain
496,brake callipers,aerodynamics / airflow
497,speeding,acceleration
498,crossover,body type
499,aura,Emotional & Sensory Experience
500,steering reflexes,steering
501,camera system,cameras
502,underline support,
503,zero petrol use,fuel / energy / charging
504,going round,road terrain
505,surfaces,climate / temperature control
506,two litre diesel engine,engine / power train
507,surface,climate / temperature control
508,traffic updates,navigation / mapping
509,digital gauge,displays / instrumentation
510,leg room second row,passenger space
511,discount,brake
512,boot floor,boot/cargo
513,a8,model / generic car terms
514,driving sensation,drive
515,cabin layout,interior
516,front seating,seats
517,travelling,
518,temperature,climate / temperature control
519,anti friction turbo bearings,engine / power train
520,isolation,
521,normal wheel base version,chassis / structural
522,windows,aerodynamics / airflow
523,model x,model / generic car terms
524,parkability,parking
525,standard entertainment screen,displays / instrumentation
526,energy,fuel / energy / charging
527,engine stop start feature,Functionality & Features
528,audio systems,model / generic car terms
529,electric adjustment (steering),Comfort & Ergonomics
530,head restraints,seats
531,sound level,audio
532,battery,model / generic car terms
533,graphics,displays / instrumentation
534,architecture platform,chassis / structural
535,four wheel drive system,drive
536,parking assistant plus,driver assistance
537,second row roof,roof
538,quattro engine,engine / power train
539,carsick people,model / generic car terms
540,rs5 looks,Design
541,seating tunnel,seats
542,audi a7,model / generic car terms
543,departure angle,
544,gestures,gesture / motion controls
545,rear wheel steering,steering
546,new engine,engine / power train
547,offroading,road terrain
548,going faster,acceleration
549,voice recognition,road terrain
550,marina leather,interior materials & trim / finish
551,dynamic mode,Driving Dynamics / Handling
552,standard engine power,engine / power train
553,bmw a8 plug in hybrid,fuel / energy / charging
554,audi presence,model / generic car terms
555,slabs,model / generic car terms
556,get in and out,doors
557,indicators,displays / instrumentation
558,boot overall capacity,climate / temperature control
559,find the right gear,transmission
560,throttle (sport),model / generic car terms
561,audi a one s line,model / generic car terms
562,surround view cameras,visibility & view
563,driving assistance package,Design
564,false floor storage,storage & utility
565,nintendo entertainment system,software / interaction
566,fuel efficient,fuel / energy / charging
567,rev counter,engine/ power train
568,usb,connectivity / integration
569,upgrades,
570,every material,interior materials & trim / finish
571,3 50 d price,road terrain
572,gated shifter,transmission
573,air purification system with perfume,aerodynamics / airflow
574,reversing assistant,driver assistance
575,bluetooth,connectivity / integration
576,down the door bins,storage & utility
577,bowers and wilkins diamond surround sound system,audio
578,charging points,fuel / energy / charging
579,remote control,
580,room,passenger space
581,overall quality,model / generic car terms
582,automatic performance,performance
583,stronic transmission,transmission
584,digital screens,displays / instrumentation
585,third row seats,seats
586,back tire,climate / temperature control
587,sport suspension,suspension
588,rear leg room,passenger space
589,no load lift,boot/cargo
590,over six foot tall,passenger space
591,satnav screen,displays / instrumentation
592,interior light pattern,model / generic car terms
593,throttle,model / generic car terms
594,family seat,seats
595,digital controls,displays / instrumentation
596,mercedes-benz accents,Design
597,v six,engine/ power train
598,glovebox size,boot/cargo
599,plastic head,exterior materials & finish
600,grill,grill
601,wheel arch,wheels & tyres
602,rear seat control,seats
603,back legroom,climate / temperature control
604,bmw backseat,model / generic car terms
605,sl,model / generic car terms
606,engine starting,engine / power train
607,paddle shifters,transmission
608,tired,wheels & tyres
609,sporting suspension,Functionality & Features
610,practical side,Functionality & Features
611,automatic box,boot/cargo
612,goes over bumps,road terrain
613,space saver,climate / temperature control
614,cabin noise,interior
615,side collision avoidance system,safety
616,trip,
617,speakers,audio
618,lighting colors,Design
619,steering controls,steering
620,around the bend,driving dynamics / handling
621,launch control system,acceleration
622,running costs,value / cost
623,dynamic steering,steering
624,pulls,acceleration
625,economics,value / cost
626,towing capacity,climate / temperature control
627,laser headlights,lighting
628,a4 dual clutch,transmission
629,comfort mode,Comfort & Ergonomics
630,bmw technology,Technology
631,c 250 d,model / generic car terms
632,drive at speed,drive
633,vehicle lowest setting,model / generic car terms
634,front end look,Design
635,sports exhaust,exhaust
636,window ledges,body class
637,carbon emission,model / generic car terms
638,old v8 engine,engine / power train
639,drawer,storage & utility
640,change,
641,display panel,displays / instrumentation
642,carrying three adults,model / generic car terms
643,bmw x5,model / generic car terms
644,seven speed gear box,transmission
645,moonroof,roof
646,off road,road terrain
647,trunk space,climate / temperature control
648,middle seat footroom,seats
649,operating window,aerodynamics / airflow
650,rear trunk,boot/cargo
651,core,
652,semi autonomous driving system,drive
653,v8 engine,engine / power train
654,video chip,displays / instrumentation
655,sport mode shift,transmission
656,displacement,climate / temperature control
657,center,
658,catches,
659,mercedes badge,Design
660,load lip,aerodynamics / airflow
661,runs,
662,head rest not put up,seats
663,rear quarters,passenger space
664,exterior color,exterior materials & finish
665,middle spot,
666,driving tech,Technology
667,automatic mode,Driving Dynamics / Handling
668,side blades,side section
669,driving on bumps,drive
670,power folding,engine/ power train
671,ecosystem,connectivity / integration
672,gravel road,road terrain
673,voice activation system,climate / temperature control
674,console layer,
675,technology,Technology
676,towing up,
677,ridge,
678,suspension,suspension
679,dump control,suspension
680,sport mode,Driving Dynamics / Handling
681,name,model / generic car terms
682,tire holding,wheels & tyres
683,child seat base,seats
684,autonomous driving system,drive
685,indicator,
686,latest generation,model / generic car terms
687,carriage pull,model / generic car terms
688,seat bench,seats
689,audi s a3,model / generic car terms
690,architecture,chassis / structural
691,0 to 60 run,acceleration
692,trunk capacity,climate / temperature control
693,diesel,fuel / energy / charging
694,car settings,model / generic car terms
695,mid corner,cornering
696,steering wheel controls,steering
697,vents,aerodynamics / airflow
698,automated tailgate,boot/cargo
699,general layout,design
700,ico mode,fuel / energy / charging
701,auto gearbox,transmission
702,performance advantage,performance
703,lift items,boot/cargo
704,cover,
705,at speed,acceleration
706,suspension(sport),suspension
707,side pillars,chassis / structural
708,aesthetics,Design
709,luxury spectrum,emotional & sensory experience
710,central seat,seats
711,lifting things,boot/cargo
712,detailing,design
713,wooden effect,interior materials & trim / finish
714,rear suspension,suspension
715,agility switch,Driving Dynamics / Handling
716,rs7,model / generic car terms
717,boot light,
718,haptic feedback,climate / temperature control
719,reversing camera,driver assistance
720,shifting,transmission
721,curves,body class
722,exhaust tips,exhaust
723,charging panel,fuel / energy / charging
724,windows down,aerodynamics / airflow
725,q7,model / generic car terms
726,four cylinder engine,engine / power train
727,shopping bag hookers,Comfort & Ergonomics
728,headroom (people over six foot),passenger space
729,boot shape,Design
730,understeer,steering
731,engine brace,engine / power train
732,well being spoiled recreation thing,Emotional & Sensory Experience
733,finish,interior materials & trim / finish
734,belt line,exterior materials & finish
735,lobe,
736,footstool,seats
737,virtual cockpit,displays / instrumentation
738,sports package,climate / temperature control
739,r8,model / generic car terms
740,cylinder,engine/ power train
741,a7,model / generic car terms
742,front grill,grill
743,views,visibility & view
744,drive train flooring,drive
745,exhaust clip,exhaust
746,slow road,model / generic car terms
747,seat release,seats
748,acceleration from stop,climate / temperature control
749,emergency service,road terrain
750,formula,performance
751,power seats,seats
752,touchscreen,displays / instrumentation
753,stripe,design
754,dit,
755,display,displays / instrumentation
756,electrification,fuel / energy / charging
757,charging sockets,fuel / energy / charging
758,basic five series,model / generic car terms
759,base car,model / generic car terms
760,feeling,Emotional & Sensory Experience
761,rear wheel,drive
762,petrol models,fuel / energy / charging
763,refinement,emotional & sensory experience
764,c 220,model / generic car terms
765,settings,model / generic car terms
766,rear view camera,visibility & view
767,individual setting,model / generic car terms
768,adjustability,traction / stability
769,places,climate / temperature control
770,flat upshift,transmission
771,reclining,seats
772,front brakes,brake
773,generation,model / generic car terms
774,nets,storage & utility
775,throttle response,model / generic car terms
776,sea level,road terrain
777,fuel economy,fuel / energy / charging
778,adaptive dampers,suspension
779,sport mode suspension,suspension
780,machine,model / generic car terms
781,graphics screen,displays / instrumentation
782,seating,seats
783,built in sundress holder,storage & utility
784,going fast,acceleration
785,gearbox,transmission
786,cargo floor,boot/cargo
787,roll bars,traction / stability
788,kids,
789,back camera,climate / temperature control
790,distance driving,Design
791,mercedes a class,model / generic car terms
792,dynamic package,climate / temperature control
793,launch time,acceleration
794,shifter,transmission
795,bumps,road terrain
796,lettering feature,Functionality & Features
797,set buttons,model / generic car terms
798,mix and match settings,model / generic car terms
799,new look,Design
800,pedal,brake
801,travel,
802,front doors,doors
803,s tronic,model / generic car terms
804,"bmw 3 40 i , drive",model / generic car terms
805,500e,model / generic car terms
806,mercedes-benz gcl,model / generic car terms
807,corner,cornering
808,bmw two series,model / generic car terms
809,cup holder,storage & utility
810,quattro,model / generic car terms
811,sl s amg,model / generic car terms
812,trade off,value / cost
813,energy harvesting,fuel / energy / charging
814,i drive,drive
815,three adults in the back,climate / temperature control
816,mercedes-benz g . l . a,model / generic car terms
817,pickup range,Distance / Efficiency / Mileage
818,glc,model / generic car terms
819,overall,Functional Features
820,ventilated seat option,seats
821,rs three,model / generic car terms
822,steering weight,weight
823,traditional sedan,body type
824,-,
825,cutout design,Design
826,battery size,model / generic car terms
827,phone spot,connectivity / integration
828,positioning of steering wheel,steering
829,stitched button,model / generic car terms
830,audi rs4,model / generic car terms
831,audi,model / generic car terms
832,putting gear,model / generic car terms
833,acoustic windscreen,climate / temperature control
834,door bin back,climate / temperature control
835,four wheel drive traction,drive
836,tech display,Technology
837,dynamic damper control,suspension
838,upgraded command system,software / interaction
839,premium plus package,climate / temperature control
840,sitting position,model / generic car terms
841,appearance,Design
842,stunning,emotional & sensory experience
843,construction technique,Technology
844,exhausts,exhaust
845,s c car,model / generic car terms
846,get in and out -back,climate / temperature control
847,character,climate / temperature control
848,1.6 litre petrol engine,engine / power train
849,equipment,Equipment
850,material on the glove box,boot/cargo
851,steering (sports),steering
852,gear selector,transmission
853,m6,model / generic car terms
854,19 inch wheels,wheels & tyres
855,a4  g5 seating,
856,force,
857,engine choice,engine / power train
858,engine mounts,engine / power train
859,image,design
860,competion choices,road terrain
861,360 degree surround camera,cameras
862,tri color logo,Design
863,wear,
864,mercedes,model / generic car terms
865,mercedes s class coupe a8,body type
866,proportions,Design
867,qualities,Emotional & Sensory Experience
868,tt cornering,cornering / grip
869,touch screen,displays / instrumentation
870,get in back,climate / temperature control
871,engine choices,engine / power train
872,split gate,boot/cargo
873,place,climate / temperature control
874,spend extra on adaptive suspension,suspension
875,limit,
876,steering and lane controlled assistant,steering
877,cup holders,storage & utility
878,normal comfort suspension,Comfort & Ergonomics
879,instrument gearbox,transmission
880,safe,safety
881,gear changes,transmission
882,adaptive suspension,suspension
883,gear shift,transmission
884,trim (inside),Design
885,map view,visibility & view
886,seat pockets,storage & utility
887,wing mirrors,mirrors
888,noise suppression,audio
889,s5,model / generic car terms
890,bc imports,connectivity / integration
891,seat cover,seats
892,upshift,transmission
893,change direction,steering
894,anchor points,
895,sls,model / generic car terms
896,warning,safety
897,manoeuvring at low speed,steering
898,feet,
899,luxury items,emotional & sensory experience
900,magic sky roof,roof
901,load bay,boot/cargo
902,v 10 plus,model / generic car terms
903,boot opening,doors
904,price tag,road terrain
905,tire,wheels & tyres
906,edition,packages / trims / variants
907,descent,road terrain
908,bmw 360 degree surround camera,model / generic car terms
909,fridge,storage & utility
910,fold third row,Comfort & Ergonomics
911,charging,fuel / energy / charging
912,bonnet opening,bonnet
913,bigger bumps,road terrain
914,practicality,Functionality & Features
915,ionic,Fuel / Energy / Charging
916,climate controls action,climate / temperature control
917,noises,audio
918,grab handle,Comfort & Ergonomics
919,dynamic handling package,Driving Dynamics / Handling
920,electric engine,engine / power train
921,back seating,climate / temperature control
922,styling cars,Design
923,audi tt,model / generic car terms
924,automatic engines start stop system,engine / power train
925,dirt road,road terrain
926,seats down,seats
927,packaging,climate / temperature control
928,plugin hybrids,fuel / energy / charging
929,individual mode,Driving Dynamics / Handling
930,base price,road terrain
931,backseat legroom,climate / temperature control
932,performed,
933,hood vent,aerodynamics / airflow
934,torque rating,engine/ power train
935,delay,
936,bmw m6,model / generic car terms
937,control system,software / interaction
938,race track,climate / temperature control
939,premium plus package price,climate / temperature control
940,creases,body class
941,s line ride,drive
942,rear passenger,passenger space
943,getting in the back,doors
944,cummings,
945,dynamic clutch,transmission
946,m5 designation within tachometer,Design
947,offroad height raise,road terrain
948,spaciousness,climate / temperature control
949,road demeanor,road terrain
950,first few miles,Distance / Efficiency / Mileage
951,road holding,road terrain
952,three in the back,climate / temperature control
953,ergonomics,Comfort & Ergonomics
954,entry,doors
955,platform,
956,city noise,audio
957,air intake,aerodynamics / airflow
958,wheels,wheels & tyres
959,dash,displays / instrumentation
960,side skirts,side section
961,acoustic glass,climate / temperature control
962,ipad stall screen,displays / instrumentation
963,roof spoiler,roof
964,back side headspace,climate / temperature control
965,door down head,doors
966,remote gesture control,gesture / motion controls
967,noise levels,audio
968,quilted leather,interior materials & trim / finish
969,tour curve,road terrain
970,entire engine lineup,engine / power train
971,a6 backseats,model / generic car terms
972,s class front seat,model / generic car terms
973,roof panel,roof
974,vehicle,model / generic car terms
975,roof down,roof
976,average speed,acceleration
977,storage,storage & utility
978,middle seat legroom,seats
979,full multi beam led headlights,lighting
980,front wheel drive,drive
981,wheel,wheels & tyres
982,inside looks,Design
983,windscreen signature,windscreen / wipers
984,seatbelt straps,seats
985,center arm,seats
986,lift gate,boot/cargo
987,sand,road terrain
988,gt three bumpy road,model / generic car terms
989,interior color,Design
990,right hand drive steering wheel,steering
991,customization,Functionality & Features
992,three series,model / generic car terms
993,phone cradle,connectivity / integration
994,few bumps,road terrain
995,interior trim,Design
996,sound insulation,audio
997,mile above sea level,Distance / Efficiency / Mileage
998,rear track,climate / temperature control
999,equipped levels,Equipment
1000,tailgate,boot/cargo
1001,air events,aerodynamics / airflow
1002,storage(front passenger seat),storage & utility
1003,car engineering,engine / power train
1004,brake pedal field,brake
1005,general goodness,Functionality & Features
1006,cabins,interior
1007,back seat space,climate / temperature control
1008,windshield  intensity,windscreen / wipers
1009,option list,options & specifications
1010,sport seats,seats
1011,brake discs,brake
1012,command system,voice & commands
1013,roof bars,roof
1014,operation,
1015,model,model / generic car terms
1016,220 c d engine,engine / power train
1017,ground clearance,dimensions & measurements
1018,hands free,voice & commands
1019,front story jacket,climate / temperature control
1020,accelerating in comfort mode,Comfort & Ergonomics
1021,carry three passengers in back,climate / temperature control
1022,new q3,model / generic car terms
1023,modes,Driving Dynamics / Handling
1024,get snow off the car,road terrain
1025,price,road terrain
1026,steering feedback,steering
1027,lip,aerodynamics / airflow
1028,back piano plastic,climate / temperature control
1029,second row sound,audio
1030,wind intakes,aerodynamics / airflow
1031,cabin,interior
1032,smaller bumps,road terrain
1033,sensors,connectivity / integration
1034,spokes,wheels & tyres
1035,top down,roof
1036,color tone,Design
1037,trip computer,displays / instrumentation
1038,door handle,doors
