id,aspect,opinion,sentiment,category,label_topic
25,look,powerful,pos,quality-aesthetic,2
25,wheel arches,more pronounced,pos,quality-aesthetic,2
25,track,wider,neu,handling,4
25,road holding,improved,pos,handling,4
25,suspension,stiffened,pos,handling,4
25,air breather,fake,neg,quality-aesthetic,2
25,-,-,-,unknown,-1
25,wheel arches,squat,pos,quality-aesthetic,2
25,wheel arches,purposeful,pos,quality-aesthetic,2
25,boot spoiler,tidy,pos,quality-aesthetic,2
25,boot spoiler,little,neg,quality-aesthetic,2
25,road holding,improved,pos,handling,4
25,interior,well built,pos,quality-aesthetic,2
25,entertainment system,excellent,pos,user-experience,8
25,seats,M6 port,neu,interior-features,1
25,seats,look really cool,pos,quality-aesthetic,2
25,seats,great job of hugging your body,pos,comfort,3
25,blue and red stitches,lovely,pos,quality-aesthetic,2
25,set buttons,absolutely brilliant,pos,user-experience,8
25,gear selector,looks a bit tacky,pos,quality-aesthetic,2
25,customization,very important,pos,user-experience,8
25,car,dual purpose,pos,general-information,6
25,car,family friendly,pos,general-information,6
25,car,big,pos,general-information,6
25,car,relaxed state,pos,comfort,3
25,car,fast as supercar,pos,performance,0
25,-,-,-,unknown,-1
25,steering,more weight,neu,handling,4
25,exhaust,louder,neu,performance,0
25,-,-,-,unknown,-1
25,-,-,-,unknown,-1
25,engine,high performance,pos,performance,0
25,BMW drivers,bad reputation,neg,general-information,6
25,drivers,the worst,neg,general-information,6
25,drive mode,great set,pos,handling,4
25,car,big old,neu,handling,4
25,handle,well,pos,handling,4
25,super sideways,great thing,pos,handling,4
25,car,fun,pos,handling,4
25,life in tires,too long,pos,exterior-features,9
25,tire,overheated,neg,exterior-features,9
25,tired,delaminated,neg,exterior-features,9
25,X drive system,switchable,neu,performance,0
25,X drive system,hooligan,neu,performance,0
25,car,far quicker,pos,performance,0
25,car,more capable,pos,general-information,6
25,car,incredible machine,pos,general-information,6
26,-,-,-,unknown,-1
26,outside dimensions,long,neu,quality-aesthetic,2
26,build,huge,neu,quality-aesthetic,2
26,proportions,right,pos,quality-aesthetic,2
26,looks,chunky,neg,quality-aesthetic,2
26,looks,too tall,neu,quality-aesthetic,2
26,space,maximize,neu,quality-aesthetic,2
26,room,loads,pos,comfort,3
26,headroom,absolutely acres of,pos,comfort,3
26,back,more spaces,pos,comfort,3
26,room,enough,pos,comfort,3
26,back seats,very impressive,pos,comfort,3
26,seats,comforting,neu,comfort,3
26,seats,recline well,pos,comfort,3
26,storage area,useful,pos,exterior-features,9
26,room,Loads,pos,comfort,3
26,boot,biggest,pos,exterior-features,9
26,boot,massive,pos,exterior-features,9
26,boot shape,Nice,pos,exterior-features,9
26,car,practical,pos,interior-features,1
26,inside,luxurious,pos,quality-aesthetic,2
26,interior,lovely,pos,quality-aesthetic,2
26,soft touch plastics,lovely,pos,quality-aesthetic,2
26,Interior,nicely laid out,pos,quality-aesthetic,2
26,entertainment system,lovely,pos,interior-features,1
26,infotainment system,easiest,pos,user-experience,8
26,cupholders,decent,pos,interior-features,1
26,door bins,large,neu,interior-features,1
26,glovebox size,decent,neu,interior-features,1
26,inside looks,smart,pos,quality-aesthetic,2
26,drive,easy,pos,handling,4
26,visibility,good,pos,safety,5
26,windscreen,huge,pos,safety,5
26,back window,quite large,pos,safety,5
26,car,comfy,pos,comfort,3
26,adaptive dampers,definitely get,pos,handling,4
26,adaptive dampers,not that expensive,neu,cost,7
26,ride,comfy,pos,comfort,3
26,ride,nice,pos,handling,4
26,engine,really fast,pos,performance,0
26,BMW X1,good,pos,handling,4
26,-,-,-,unknown,-1
26,gear selector,huge,pos,interior-features,1
26,car,pretty luxurious,pos,quality-aesthetic,2
26,option list,careful,neu,cost,7
26,parcel shelf,annoying,neg,exterior-features,9
26,boot,clutter up,neg,exterior-features,9
26,diesel engine,too little,neg,performance,0
26,-,-,-,unknown,-1
26,-,-,-,unknown,-1
26,-,-,-,unknown,-1
26,-,-,-,unknown,-1
26,panoramic sunroof,massive,pos,exterior-features,9
26,storage(front passenger seat),easy,pos,interior-features,1
26,SUV,small,neu,general-information,6
26,SUV,premium,neu,general-information,6
27,car,widest,pos,general-information,6
27,boot,really big,pos,exterior-features,9
27,boot,much bigger,pos,exterior-features,9
27,boot,really really useful,pos,exterior-features,9
27,boot,wide opening,pos,exterior-features,9
27,boot,fit quite a lot of stuff,pos,exterior-features,9
27,seat sliding forward,heavy,neg,comfort,3
27,seat pulling back,easy,pos,comfort,3
27,back seats,not that great,neu,comfort,3
27,back,no real storage,neg,interior-features,1
27,front story jacket,way better,pos,interior-features,1
27,-,-,-,unknown,-1
27,neighs,annoying,neg,comfort,3
27,cockpit,driver oriented,pos,interior-features,1
27,quality,really strong,pos,quality-aesthetic,2
27,car,very very much like three series,pos,general-information,6
27,design,little bit boring,neg,quality-aesthetic,2
27,equipment,quite as good,neu,interior-features,1
27,car,better,pos,general-information,6
27,-,-,-,unknown,-1
27,satellite navigation,lovely,pos,user-experience,8
27,windscreen,lovely,pos,user-experience,8
27,I drive,easy to use,pos,user-experience,8
27,I drive,best on the market,pos,user-experience,8
27,glovebox,decent size,pos,interior-features,1
27,door bins,big,pos,interior-features,1
27,places in the front,enough,pos,interior-features,1
27,force,genuinely good,pos,performance,0
27,drive,fun,pos,handling,4
27,feel,like a sports car,pos,handling,4
27,looks,like sports car,pos,quality-aesthetic,2
27,car,almost practical,neu,interior-features,1
27,car,A saloon,neu,general-information,6
27,adaptive suspension,essential,pos,handling,4
27,comfort mode,really really comfortable,pos,comfort,3
27,road noise,shame,neg,comfort,3
27,wind whistle,shame,neg,comfort,3
27,turbo petrol,really quick,pos,performance,0
27,turbo petrol,decent economy,pos,performance,0
27,-,-,-,unknown,-1
27,BMW four Serious,pretty decent,pos,general-information,6
27,BMW four Serious,all rounder,pos,general-information,6
27,look,like sports,neu,quality-aesthetic,2
27,sound,more like a van,neu,performance,0
27,phone cradle,pointless,neg,interior-features,1
27,automatic gearbox,extra cost,neg,cost,7
27,features,cool,pos,user-experience,8
27,centre of gravity,lowest,pos,handling,4
27,central hat,enough room,pos,comfort,3
27,doors,high quality,pos,exterior-features,9
27,seatbelt,automatic,neu,interior-features,1
27,get in the car,creepily,pos,comfort,3
27,-,-,-,unknown,-1
27,adaptive suspension,comfy,pos,comfort,3
27,adaptive suspension,firm,pos,handling,4
27,spend extra on adaptive suspension,very practical,pos,cost,7
27,-,-,-,unknown,-1
27,-,-,-,unknown,-1
27,-,-,-,unknown,-1
27,-,-,-,unknown,-1
28,comforts,desirable,pos,comfort,3
28,car,fun,pos,general-information,6
28,car,surprisingly practical,pos,interior-features,1
28,backseat,much room,pos,comfort,3
28,room,Legendary,pos,comfort,3
28,headroom,plenty,pos,comfort,3
28,middle seat,not very much comfort,neg,comfort,3
28,middle seat,head hitting plastics,neg,comfort,3
28,boot,fit so much stuff,pos,exterior-features,9
28,boot volume,on par,pos,exterior-features,9
28,boot shape,more practical,pos,exterior-features,9
28,boot,not quite as good as,neg,exterior-features,9
28,design,distinctive,pos,quality-aesthetic,2
28,sit,nice,pos,comfort,3
28,sit,low,neu,comfort,3
28,dash angle,towards you,pos,quality-aesthetic,2
28,driving position,spot on,pos,comfort,3
28,build,quality,pos,quality-aesthetic,2
28,dash,like,pos,quality-aesthetic,2
28,build,really good,pos,quality-aesthetic,2
28,inside,feels expensive,pos,quality-aesthetic,2
28,space,not the best,neg,comfort,3
28,space,sufficient,pos,comfort,3
28,space,pretty good,pos,comfort,3
28,equipment,impressive,pos,user-experience,8
28,I drive system,dead easy to use,pos,user-experience,8
28,I drive system,best on the market,pos,user-experience,8
28,features,cool,pos,user-experience,8
28,-,-,-,unknown,-1
28,servicing plan,really good,pos,cost,7
28,mileage,unlimited,pos,cost,7
28,automatic gearbox,more economical,pos,cost,7
28,emergency service,stunning,pos,safety,5
28,-,-,-,unknown,-1
28,high speed mobile internet,good,pos,user-experience,8
28,offset pedals,feel like your feet almost outside the car,pos,user-experience,8
28,entry level petrol engine,lumber,neg,performance,0
28,automatic gear selector,large,pos,user-experience,8
28,automatic gear selector,touch phallic,pos,user-experience,8
28,options,easy to get carried away,neu,cost,7
28,reductive sport end suspension,should definitely spend,pos,cost,7
28,steering,not as nice,neg,handling,4
28,automatic gearbox,brilliant,pos,handling,4
28,auto bends,best in business,pos,handling,4
28,engine,very very quick,pos,performance,0
28,engine,returns good economy,pos,performance,0
28,miles per gallon,not too  bad,neu,performance,0
28,diesel engine,little bit noisy,neg,performance,0
28,three series,more road noise,neu,comfort,3
28,three series,more wind noise,neu,comfort,3
28,visibility,cannot fault,pos,safety,5
28,pillars,quite thin,pos,safety,5
28,view,very good,pos,safety,5
28,view,really handy,pos,safety,5
28,speed on,suffer from a bit of tyre roll,neg,performance,0
28,adaptive suspension,spend extra,neg,cost,7
28,adaptive suspension,handles brilliantly,pos,handling,4
28,drive,great fun,pos,handling,4
28,adaptive suspension,surprisingly practical,pos,handling,4
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,profile,coop like,neu,quality-aesthetic,2
29,room inside,less,neg,comfort,3
29,profile,cooler,pos,quality-aesthetic,2
29,-,-,-,unknown,-1
29,backend,swoopy,pos,quality-aesthetic,2
29,backend capacity,less,neg,exterior-features,9
29,boot,lowered tapered line,neg,exterior-features,9
29,boot lid,problem for heavy items,neg,exterior-features,9
29,boot,very useful,pos,exterior-features,9
29,boot,lots of nice features,pos,exterior-features,9
29,tie down tethers,sturdy,pos,exterior-features,9
29,storage jets,removable,neu,exterior-features,9
29,space,decent,neu,exterior-features,9
29,boot,pretty flat,pos,exterior-features,9
29,roofline,sloping,neg,exterior-features,9
29,backseats,not wide open,neg,comfort,3
29,rearward facing child seats,trickier,neu,interior-features,1
29,get in,dead easy,pos,comfort,3
29,foot room,plenty,pos,comfort,3
29,backseat head room,pretty tight,neg,comfort,3
29,backseat for people over 6 4,cramped,neg,comfort,3
29,window ledges,quite high,neg,comfort,3
29,smaller people,struggle to see,neg,comfort,3
29,seat backs,not very big,neg,comfort,3
29,seat backs,not much room,neg,comfort,3
29,door bins,huge,pos,interior-features,1
29,digital climate control,useful,pos,interior-features,1
29,coat hooks,neat,pos,interior-features,1
29,reading lights,can turn them off individually,pos,interior-features,1
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,seats,sport,neu,interior-features,1
29,seats,lovely,pos,comfort,3
29,screen,wide,pos,comfort,3
29,screen,glorious,pos,user-experience,8
29,traffic updates,good,pos,user-experience,8
29,concierge service,really really good,pos,user-experience,8
29,system,intuitive,pos,user-experience,8
29,system,simple to use,pos,user-experience,8
29,menus,very easy,pos,user-experience,8
29,digital dollars,well worth,pos,user-experience,8
29,digital dollars,look nice,pos,user-experience,8
29,digital dollars,not quite the functionality,neg,user-experience,8
29,design,alright,pos,quality-aesthetic,2
29,design,quite like,pos,quality-aesthetic,2
29,events,feel cheap,neg,quality-aesthetic,2
29,car,solid,pos,quality-aesthetic,2
29,quality,very good,pos,quality-aesthetic,2
29,door bins,big,pos,interior-features,1
29,storage by steering,like,pos,interior-features,1
29,key,big,neu,interior-features,1
29,remote key operations,good,pos,interior-features,1
29,glove box size,a big bag of popcorn,neu,interior-features,1
29,seating position,really good,pos,comfort,3
29,extendable seat base,like,pos,comfort,3
29,under floor support,like,pos,comfort,3
29,steering wheel adjustment,plenty,pos,comfort,3
29,view,very high,pos,comfort,3
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,sun roof,one touch only open it 90% of the way,neg,exterior-features,9
29,engine,quite rattling,neg,performance,0
29,-,-,-,unknown,-1
29,car,like a pig from angry birds,neg,performance,0
29,-,-,-,unknown,-1
29,aerodynamics,improved,pos,exterior-features,9
29,cutaways for covers,fit perfectly,pos,exterior-features,9
29,optional heads up displays,brilliant,pos,interior-features,1
29,weight distribution,perfect,pos,handling,4
29,parking assistant Plus,brilliant,pos,user-experience,8
29,view,good,pos,safety,5
29,car,higher than other cars,pos,general-information,6
29,blind spots,so many,neg,safety,5
29,blind spot,huge,neg,safety,5
29,automatic gearbox,love,pos,handling,4
29,speeding,very smooth,pos,handling,4
29,car feels,sporty,pos,handling,4
29,suspension,firmer,pos,handling,4
29,adaptive suspension,well worth,pos,handling,4
29,corner handle,well,pos,handling,4
29,steering,not quite sharp,neg,handling,4
29,engine,generally pretty good,pos,performance,0
29,performance,enough,neu,performance,0
29,miles per gallon,good enough,neu,performance,0
29,distance driving,quite comfortable,pos,comfort,3
29,tire noise,quite a lot,neg,comfort,3
29,-,-,-,unknown,-1
29,-,-,-,unknown,-1
29,BMW S4,good,pos,general-information,6
29,BMW S4,fun,pos,general-information,6
30,car,combines comfort with sporting,pos,general-information,6
30,back,love,pos,comfort,3
30,headroom,absolutely acres,pos,comfort,3
30,headroom,leading,pos,comfort,3
30,car,good for people over six foot,pos,comfort,3
30,carrying three in the back,not good,neg,comfort,3
30,seats,tighter in the middle,neg,comfort,3
30,front,really really comfy,pos,comfort,3
30,cabin,really nice,pos,interior-features,1
30,cabin,not cheap,pos,quality-aesthetic,2
30,storage,alright,neu,interior-features,1
30,boxes,decent size,pos,interior-features,1
30,spaces,kind a bit short,neg,interior-features,1
30,equipment,really good,pos,interior-features,1
30,satnav,standard,pos,interior-features,1
30,seats,leather,neu,interior-features,1
30,seats,heated,pos,comfort,3
30,climate control,really really good,pos,interior-features,1
30,-,-,-,unknown,-1
30,upgraded professional satnav,lovely,pos,user-experience,8
30,I drive system,slickest,pos,user-experience,8
30,design,stood the test of time,pos,quality-aesthetic,2
30,exteriors,stood the test of time,pos,quality-aesthetic,2
30,boot,decent size,pos,exterior-features,9
30,boot overall capacity,slightly less,neg,exterior-features,9
30,load lip,very low,neu,exterior-features,9
30,boot,practical enough,neu,exterior-features,9
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,pedals,slightly offset,neg,user-experience,8
30,automatic emergency breaking,expensive option,neg,cost,7
30,door bins,really small,neg,interior-features,1
30,lumbar support,expensive option,neg,cost,7
30,-,-,-,unknown,-1
30,-,-,-,unknown,-1
30,adaptive suspension,quite expensive,neg,cost,7
30,adaptive suspension,well-worth,pos,cost,7
30,adaptive suspension,lovely,pos,handling,4
30,drive,lovely,pos,handling,4
30,drive,pretty quiet,pos,comfort,3
30,visibility,generally very good,pos,safety,5
30,engines,strong performers,pos,performance,0
30,petrol engine,more economical,pos,performance,0
30,engine,really good,pos,performance,0
30,diesel engine,little bit more noisy,neg,performance,0
30,manual gearbox,not as nice,neg,handling,4
30,automatic gearbox,favourite on the market,pos,handling,4
30,-,-,-,unknown,-1
30,adaptive suspension,fun,pos,handling,4
30,entertainment system,brilliant,pos,interior-features,1
30,-,-,-,unknown,-1
31,BMW M3,absolute legend,pos,general-information,6
31,-,-,-,unknown,-1
31,handling,more precise,neu,handling,4
31,traction control,more lenient,neu,handling,4
31,-,-,-,unknown,-1
31,car,feels pretty much identical to normal three series,neu,general-information,6
31,quality,good,pos,quality-aesthetic,2
31,car,easy to use,pos,user-experience,8
31,infotainment system,fabulous,pos,interior-features,1
31,infotainment system,best,pos,interior-features,1
31,carbon fibre,not tacky,neg,quality-aesthetic,2
31,back seats,super comfy,pos,comfort,3
31,boot,big enough,neu,exterior-features,9
31,-,-,-,unknown,-1
31,exhaust,louder,neg,performance,0
31,front end grip,really strong,pos,handling,4
31,-,-,-,unknown,-1
31,tire noise,way too loud,neg,comfort,3
31,car,fantastic all round performance,pos,general-information,6
31,car,German,pos,general-information,6
31,car,well-made,pos,quality-aesthetic,2
34,BMW X3,really good all rounder,pos,general-information,6
34,car,economical,pos,cost,7
34,car,desirable,pos,general-information,6
34,car,fun to drive,pos,handling,4
34,off road,well,pos,handling,4
34,car,very practical,pos,interior-features,1
34,get in the back,nice,pos,comfort,3
34,get in back,easy,pos,comfort,3
34,door opening,quite wide,pos,comfort,3
34,get in,not have to swoop down,pos,comfort,3
34,carrying rear passengers,brilliant,pos,comfort,3
34,floor,big,neu,comfort,3
34,floor,humping,neu,comfort,3
34,boot,absolutely massive,pos,exterior-features,9
34,boot,very large,pos,exterior-features,9
34,boot shape,nice,pos,exterior-features,9
34,boot shape,square,pos,exterior-features,9
34,tether points,adjustable,pos,exterior-features,9
34,nets,lots,pos,exterior-features,9
34,straps,lots,pos,exterior-features,9
34,underfloor storage,great,pos,exterior-features,9
34,Parcel Shelf,handy,pos,exterior-features,9
34,design,not so keen,neg,quality-aesthetic,2
34,design,desirable but one of their least attractive models,neg,quality-aesthetic,2
34,looks,not sharp looking,neg,quality-aesthetic,2
34,interior design,bit dated,neg,quality-aesthetic,2
34,car,solid,pos,quality-aesthetic,2
34,car storage,good,pos,interior-features,1
34,equipment,impressive,pos,interior-features,1
34,-,-,-,unknown,-1
34,I drive system,best in business,pos,user-experience,8
34,tech features,cool,pos,user-experience,8
34,-,-,-,unknown,-1
34,-,-,-,unknown,-1
34,-,-,-,unknown,-1
34,-,-,-,unknown,-1
34,everything,great,pos,general-information,6
34,BMW X3,not the most reliable car,neg,general-information,6
34,pedal,so far set to the right,neg,user-experience,8
34,feet,feel outside the door,neg,user-experience,8
34,-,-,-,unknown,-1
34,phone cradle,annoying,neg,interior-features,1
34,phone cradle,look cool,pos,interior-features,1
34,ride quality,absolutely knackered,neg,handling,4
34,adaptive suspension,essential,pos,handling,4
34,suspension,fairly firm,neu,handling,4
34,ride,a little too bumpy,pos,handling,4
34,handling,very well,pos,handling,4
34,handling,surprisingly grippy,neu,handling,4
34,adaptive suspension,best of both worlds,pos,handling,4
34,Tyre roll,quite a lot,neg,comfort,3
34,visibility,pretty good,pos,safety,5
34,blind spot,large,neg,safety,5
34,three litre diesel engine,absolutely storming,pos,performance,0
34,two litre diesel engine,lower powered,neu,performance,0
34,two litre diesel engine,quick enough,pos,performance,0
34,automatic gearbox,brilliant,pos,performance,0
34,-,-,-,unknown,-1
34,inside,dated,neg,quality-aesthetic,2
34,handling right,too firm without adaptive suspension,neg,handling,4
34,handles,well,pos,handling,4
34,-,-,-,unknown,-1
35,-,-,-,unknown,-1
35,-,-,-,unknown,-1
35,boot capacity,1/4 less than normal,neu,exterior-features,9
35,space in backseats,like,pos,comfort,3
35,knee room,loads,pos,comfort,3
35,headroom,loads,pos,comfort,3
35,backseats,cannot recline,neg,comfort,3
35,floor,flat,pos,comfort,3
35,backseats,absolutely fine,pos,comfort,3
35,-,-,-,unknown,-1
35,front,as spacious as the rear,neu,comfort,3
35,inside,dull,neg,quality-aesthetic,2
35,car,aged,neg,quality-aesthetic,2
35,material,soft touch,pos,quality-aesthetic,2
35,material,very high quality,pos,quality-aesthetic,2
35,car,feels very very expensive,pos,quality-aesthetic,2
35,storage spaces,very good,pos,interior-features,1
35,door bins,huge,pos,interior-features,1
35,door bins,fit easily,pos,interior-features,1
35,equipment,pretty good,pos,interior-features,1
35,leather seats,electrically  heated,pos,comfort,3
35,satnav,premium,pos,interior-features,1
35,system,professional,pos,interior-features,1
35,screen,wide,pos,interior-features,1
35,satnav,lovely,pos,interior-features,1
35,I drive,one of the best,pos,user-experience,8
35,I drive,absolutely love,pos,user-experience,8
35,-,-,-,unknown,-1
35,drive,really really nice,pos,handling,4
35,adaptive suspension comfort mode,nice,pos,comfort,3
35,adaptive suspension comfort mode,relaxing,pos,comfort,3
35,sports mode,improves the grip,pos,handling,4
35,handling,very well,pos,handling,4
35,handling,really well,pos,handling,4
35,hybrid model,lot of weight,neu,performance,0
35,corner handling,feels cumbersome,neg,handling,4
35,hybrid system,problem,neg,performance,0
35,automatic gearbox,quicker,pos,handling,4
35,X5,noisy,neg,comfort,3
35,X5,quite loud,neg,comfort,3
35,Tyre roll,a lot,neg,comfort,3
35,wind whistle,annoying,neg,comfort,3
35,visibility,comforting,pos,safety,5
35,back window,large,pos,safety,5
35,camera angle,wide,pos,safety,5
35,pillars,not obtrusive,pos,safety,5
35,blind spot,not too much,pos,safety,5
35,X5,good to drive,pos,handling,4
35,-,-,-,unknown,-1
35,phone Cradle,annoying,neg,interior-features,1
35,-,-,-,unknown,-1
35,-,-,-,unknown,-1
35,Parcel Shelf,heavy,neg,exterior-features,9
35,Parcel Shelf,not standard,neg,exterior-features,9
35,wide tires,pretty,pos,exterior-features,9
35,-,-,-,unknown,-1
35,traffic data,super accurate,pos,interior-features,1
35,-,-,-,unknown,-1
35,Automatic canister,prevent a skid,pos,handling,4
35,-,-,-,unknown,-1
35,BMW X5,quite interesting,pos,general-information,6
35,hybrid version,completely silent at low speed,pos,comfort,3
35,models,quite noisy a high speed,pos,comfort,3
35,interior,little bit dated,neg,quality-aesthetic,2
35,car,hugely practical,pos,interior-features,1
35,diesel,hugely practical,pos,performance,0
35,drive,very good,pos,handling,4
35,-,-,-,unknown,-1
35,-,-,-,unknown,-1
35,-,-,-,unknown,-1
36,-,-,-,unknown,-1
36,grill,absolutely huge,pos,quality-aesthetic,2
36,grill,distinctive,pos,quality-aesthetic,2
36,grill,like Bugs Bunny’s teeth,neg,quality-aesthetic,2
36,grill,massive,pos,quality-aesthetic,2
36,-,-,-,unknown,-1
36,front,looks very aggressive,neu,quality-aesthetic,2
36,laser lights,cool blue,pos,exterior-features,9
36,-,-,-,unknown,-1
36,design,new,pos,quality-aesthetic,2
36,backend,slab,neu,quality-aesthetic,2
36,backend,rather large,neu,quality-aesthetic,2
36,boot,all electric,pos,exterior-features,9
36,boot shape,nice big square,pos,exterior-features,9
36,car,run on flats,pos,exterior-features,9
36,lowering backseats,very easy to do,pos,exterior-features,9
36,-,-,-,unknown,-1
36,-,-,-,unknown,-1
36,interior,more luxury,pos,quality-aesthetic,2
36,interior,more technology,pos,user-experience,8
36,price,bumped up a bit,neg,cost,7
36,price,worth the money,pos,cost,7
36,Quality,absolutely brilliant,pos,quality-aesthetic,2
36,materials,soft touch,pos,quality-aesthetic,2
36,materials,softest,pos,quality-aesthetic,2
36,materials,feels great,pos,quality-aesthetic,2
36,materials,really sturdy,pos,quality-aesthetic,2
36,controls,easily laid out,pos,quality-aesthetic,2
36,ventilation controls,metallic,pos,quality-aesthetic,2
36,controls,nice,pos,quality-aesthetic,2
36,Trim,little bit confusing,neg,quality-aesthetic,2
36,Trim,not so keen,neg,quality-aesthetic,2
36,Trim,not ideal,neg,quality-aesthetic,2
36,crystal knob,not a fan,neg,quality-aesthetic,2
