,Unnamed: 0,id,segment_id,label_topic,aspect_lemmatized,opinion_lemmatized,sentiment
94,,16.0,4.0,1.0,cabin layout,ergonomically sound,pos
95,,16.0,4.0,1.0,cabin layout,glaring abscense basic creature comfort,neg
96,31.0,16.0,5.0,6.0,-,-,-
97,32.0,16.0,6.0,4.0,driving dynamic,clear advantage,pos
98,,16.0,6.0,4.0,ride,impeccabbly balanced,pos
99,,16.0,6.0,4.0,handling package,renowned,pos
100,,16.0,6.0,4.0,ride quality,befitting car,pos
101,,16.0,6.0,4.0,noise,make evident high speed,neg
102,,16.0,6.0,4.0,suspension,work harmoniously,pos
103,,16.0,6.0,4.0,chasis,work harmoniously,pos
104,,16.0,6.0,4.0,brake,easy modulate,pos
105,,16.0,6.0,4.0,steering,electrically assissted,pos
106,,16.0,6.0,4.0,steering feedback,noticeably better,pos
107,,16.0,6.0,4.0,steering response,noticeably better,pos
108,,16.0,6.0,4.0,steering,inclination towards understeer,neg
109,33.0,16.0,7.0,9.0,cargo area,larger,pos
110,34.0,16.0,8.0,3.0,rear seat,comparitively spacious,pos
111,,16.0,8.0,3.0,front quarter,ample headroom taller driver,pos
112,35.0,16.0,9.0,0.0,drive,wheel,neu
113,,16.0,9.0,0.0,ICO mode,save fuel,pos
114,,16.0,9.0,0.0,ICO mode,exceeds mpg rating three,pos
115,36.0,16.0,10.0,7.0,option,premium,pos
116,,16.0,10.0,7.0,steering,heated,pos
117,37.0,16.0,11.0,6.0,-,-,-
118,38.0,16.0,12.0,3.0,-,-,-
119,39.0,17.0,1.0,6.0,model,smaller,neu
120,,17.0,1.0,6.0,type,compact SUV,neu
121,40.0,17.0,2.0,2.0,exterior,sporting look offroad activity,pos
122,,17.0,2.0,2.0,look,agressive parking maneuver,pos
123,,17.0,2.0,2.0,roof,lower,neu
124,,17.0,2.0,2.0,roofline,athletic,pos
125,,17.0,2.0,2.0,grill,kidney,neu
126,,17.0,2.0,2.0,grill,longer,pos
127,,17.0,2.0,2.0,headlight,new,pos
128,,17.0,2.0,2.0,tail light,new,pos
129,,17.0,2.0,2.0,roof spoiler,downward sloping,pos
130,,17.0,2.0,2.0,look,aggressive,neu
131,,17.0,2.0,2.0,look,muscular,neu
132,,17.0,2.0,2.0,look,mean,neu
133,,17.0,2.0,2.0,interior fit finish,piano black,neu
134,,17.0,2.0,2.0,interior fit finish,nice,pos
135,,17.0,2.0,2.0,finish,fake,neg
136,,17.0,2.0,2.0,interior,badging everywhere,pos
137,,17.0,2.0,2.0,dash,dramatically sparse,pos
138,,17.0,2.0,2.0,dash,elegant,pos
139,,17.0,2.0,2.0,center stack,well thought,pos
140,,17.0,2.0,2.0,button,enough,pos
141,,17.0,2.0,2.0,technology,nice balance high low,pos
142,,17.0,2.0,2.0,display,touchscreen,neu
143,41.0,17.0,3.0,1.0,center console,good use,pos
144,,17.0,3.0,1.0,cup holder,integrated,pos
145,42.0,17.0,4.0,3.0,dash,make car feel brighter,pos
146,,17.0,4.0,3.0,visibility,improves,pos
147,43.0,17.0,5.0,1.0,head display,larger,pos
148,,17.0,5.0,1.0,steering wheel,sport,neu
149,,17.0,5.0,1.0,digital gauge cluster,optional,neu
150,44.0,17.0,6.0,3.0,seat,firm,neu
151,,17.0,6.0,3.0,seat,like feel,pos
152,,17.0,6.0,3.0,seat,little lacking snazzy look,neg
153,,17.0,6.0,3.0,leg room second row,okay,neu
154,,17.0,6.0,3.0,headroom,okay,neu
155,,17.0,6.0,3.0,headroom,larger person might issue,neg
156,,17.0,6.0,3.0,middle seat,really one,neg
157,45.0,17.0,7.0,9.0,boot capacity,,pos
158,46.0,17.0,8.0,3.0,acoustic,nice,pos
159,,17.0,8.0,3.0,wind noise,well controlled,pos
160,,17.0,8.0,3.0,city noise,well controlled,pos
161,,17.0,8.0,3.0,interior experience,really pleasent,pos
162,,17.0,8.0,3.0,acoustic,much improved,pos
163,47.0,17.0,9.0,4.0,-,-,-
164,48.0,17.0,10.0,0.0,engine,zero lag,pos
165,,17.0,10.0,0.0,eight speed automatic transmission,excellent,pos
166,,17.0,10.0,0.0,gear shift,expeditious,pos
167,,17.0,10.0,0.0,gear shift,well spaced,pos
168,,17.0,10.0,0.0,sport mode,little interesting,pos
169,,17.0,10.0,0.0,sport mode,gear held longer,pos
170,,17.0,10.0,0.0,sport mode,acceleration immediate,pos
171,,17.0,10.0,0.0,sport mode,lot BMW,pos
172,,17.0,10.0,0.0,sport mode,control,pos
173,,17.0,10.0,0.0,sport mode,quick acceleration,pos
174,,17.0,10.0,0.0,sport mode,situation simply hit,pos
175,49.0,17.0,11.0,4.0,ride,feel well,pos
176,,17.0,11.0,4.0,sitting,high,pos
177,,17.0,11.0,4.0,feel,like sedan,neu
178,,17.0,11.0,4.0,chasis,rigid firm right place,pos
179,,17.0,11.0,4.0,suspension,rigid comfortable,pos
180,,17.0,11.0,4.0,balance,strike nice,pos
181,,17.0,11.0,4.0,steering,nice resistance,pos
182,,17.0,11.0,4.0,steering,responsive,pos
183,,17.0,11.0,4.0,steering,quick,pos
184,,17.0,11.0,4.0,drive,really really great,pos
185,,17.0,11.0,4.0,inside,kind like Goldie lock,pos
186,50.0,17.0,12.0,7.0,X Drive System,enhanced traction handling,pos
187,,17.0,12.0,7.0,X Drive System,offroad capability,pos
188,51.0,17.0,13.0,4.0,-,-,-
189,52.0,17.0,14.0,7.0,-,-,-
190,53.0,17.0,15.0,2.0,price,pricier,neg
191,,17.0,15.0,2.0,downforce,improved,pos
192,,17.0,15.0,2.0,rear apron,diffuser style,neu
193,,17.0,15.0,2.0,trim,side skirt,neu
194,,17.0,15.0,2.0,intake,larger,pos
195,54.0,17.0,16.0,0.0,engine,pretty beefed number,pos
196,55.0,17.0,17.0,6.0,M performance version,plus move,pos
197,56.0,17.0,18.0,4.0,dynamic handling package,prolific,pos
198,,17.0,18.0,4.0,steering,variable,pos
199,,17.0,18.0,4.0,steering,sport,pos
200,,17.0,18.0,4.0,brake,sport,pos
201,,17.0,18.0,4.0,damper control,dynamic,pos
202,,17.0,18.0,4.0,ride quality,improved,pos
203,57.0,17.0,19.0,9.0,-,-,-
204,58.0,17.0,20.0,5.0,-,-,-
205,59.0,17.0,21.0,1.0,Android auto,wireless,pos
206,,17.0,21.0,1.0,Android auto,like,pos
207,60.0,17.0,22.0,7.0,-,-,-
208,61.0,17.0,23.0,6.0,drive,really satisfying,pos
209,,17.0,23.0,6.0,X3,luxurious,pos
210,62.0,18.0,1.0,6.0,look,straight ad sponsored sci fi film,pos
211,,18.0,1.0,6.0,technology,24 thinking,neu
212,,18.0,1.0,6.0,weight,lightweight,pos
213,,18.0,1.0,6.0,powertrain,sophisticated,pos
214,63.0,18.0,2.0,9.0,formula,oven guard,neu
215,,18.0,2.0,9.0,door,vertical opening,pos
216,,18.0,2.0,9.0,door,scissor,neu
217,,18.0,2.0,9.0,door,progressive,pos
218,64.0,18.0,3.0,2.0,look,futuristic,pos
219,,18.0,3.0,2.0,front apron port,reduce drag,pos
220,,18.0,3.0,2.0,hood vent,functional,pos
221,,18.0,3.0,2.0,rear balance,show,neg
222,65.0,18.0,4.0,2.0,current design,contemporary,pos
223,,18.0,4.0,2.0,accent,blue,neu
224,,18.0,4.0,2.0,accent,clear contrast,neu
225,,18.0,4.0,2.0,material,high quality,pos
226,,18.0,4.0,2.0,front seat,aesthetic shell type,pos
227,,18.0,4.0,2.0,glass,chemically hardened,pos
228,,18.0,4.0,2.0,glass,emphasize eye,pos
229,,18.0,4.0,2.0,weight,lightweight,pos
230,66.0,18.0,5.0,3.0,practical,surprisingly,pos
231,67.0,18.0,6.0,9.0,rear seat,suitable,neg
232,,18.0,6.0,9.0,cargo space,small cubby hole,neg
233,68.0,18.0,7.0,9.0,-,-,-
234,69.0,18.0,8.0,7.0,front seat,weight conscious,neu
235,,18.0,8.0,7.0,front seat,six way adjustable,neg
236,,18.0,8.0,7.0,front seat,lumbar support,neg
237,70.0,18.0,9.0,4.0,accelerates,BMW,pos
238,,18.0,9.0,4.0,handle,BMW,pos
239,,18.0,9.0,4.0,high speed,exceptionally composed,pos
240,,18.0,9.0,4.0,corner,carves surgeon precision,pos
241,,18.0,9.0,4.0,stereo system,truly unique,pos
242,,18.0,9.0,4.0,electric assisstant,criticism regarding feedback,pos
243,,18.0,9.0,4.0,electric steering,cracked code,pos
244,,18.0,9.0,4.0,steering,electromechanical,pos
245,,18.0,9.0,4.0,steering,responsive,pos
246,,18.0,9.0,4.0,steering,effortless,pos
247,,18.0,9.0,4.0,steering,hydraulically actuated,neu
248,71.0,18.0,10.0,0.0,exhaust note,tune,pos
249,,18.0,10.0,0.0,engine,better efficiency,pos
250,,18.0,10.0,0.0,drive system,hyper intelligent,pos
251,,18.0,10.0,0.0,transmission,lightweight,pos
252,,18.0,10.0,0.0,weight,lighter,pos
253,72.0,18.0,11.0,7.0,-,-,-
254,73.0,18.0,12.0,9.0,sound system,premium,pos
255,,18.0,12.0,9.0,cruise control,adaptive,pos
256,,18.0,12.0,9.0,windshield wiper,rain sensing,pos
257,74.0,18.0,13.0,2.0,leather,perforated,pos
258,,18.0,13.0,2.0,leather,exclusive color,pos
259,,18.0,13.0,2.0,seatbelt strap,blue,neu
260,,18.0,13.0,2.0,seatbelt strap,cosmetic variety,pos
261,75.0,18.0,14.0,7.0,price point,shortage alternative,neu
262,76.0,18.0,15.0,6.0,A8,everyone,neg
263,77.0,19.0,1.0,6.0,-,-,-
264,78.0,19.0,2.0,2.0,body structure,aluminium intensive,neu
265,,19.0,2.0,2.0,body structure,three inch wider,pos
266,,19.0,2.0,2.0,exhaust tip,quad,neu
267,,19.0,2.0,2.0,car,fender adornment,pos
268,79.0,19.0,3.0,0.0,chasis,modified,pos
269,,19.0,3.0,0.0,car,racy,pos
270,,19.0,3.0,0.0,engine,really special,pos
271,,19.0,3.0,0.0,power,lack,pos
272,,19.0,3.0,0.0,power,useable,pos
273,80.0,19.0,4.0,0.0,torque,enough pull,pos
274,,19.0,4.0,0.0,brake,still feel really good,pos
275,,19.0,4.0,0.0,brake,sign fading,pos
276,,19.0,4.0,0.0,brake,little squeaking,neg
277,,19.0,4.0,0.0,drive,magical,pos
278,,19.0,4.0,0.0,turn,delay,pos
279,,19.0,4.0,0.0,throttle,extremely predictable,pos
280,81.0,19.0,5.0,0.0,-,-,-
281,82.0,19.0,6.0,0.0,driving experience,really pleasent,pos
282,,19.0,6.0,0.0,sound,cabin fairly quiet,pos
283,83.0,19.0,7.0,3.0,power seat,comfortable,pos
284,,19.0,7.0,3.0,power seat,supportive,pos
285,84.0,19.0,8.0,4.0,steering wheel,offer ability,pos
286,85.0,19.0,9.0,3.0,comfort,impressive,pos
287,,19.0,9.0,3.0,ride,comfortable,pos
288,,19.0,9.0,3.0,race track,capable,pos
289,86.0,19.0,10.0,4.0,transmission,unrefined nature,neg
290,,19.0,10.0,4.0,transmission,cold,neg
291,,19.0,10.0,4.0,speed,absolutely brilliant,pos
292,,19.0,10.0,4.0,gear change,zero lag time,pos
293,,19.0,10.0,4.0,throttle,feel little bit partial engagement,pos
294,,19.0,10.0,4.0,gear change,pretty neat,pos
295,,19.0,10.0,4.0,manual driving,quiet taken,pos
296,,19.0,10.0,4.0,manual driving,responsive,pos
297,,19.0,10.0,4.0,clutch,light,pos
298,,19.0,10.0,4.0,clutch,easy use,pos
299,,19.0,10.0,4.0,steering,really good,pos
300,87.0,19.0,11.0,6.0,M two,refined nature,pos
301,,19.0,11.0,6.0,M two,return glory,pos
302,88.0,20.0,1.0,6.0,vehicle,coupe like,neu
303,89.0,20.0,2.0,2.0,car,proper coop,neg
304,,20.0,2.0,2.0,car,comparitively sporty,pos
305,,20.0,2.0,2.0,X two,lower,neu
306,,20.0,2.0,2.0,X two,le lengthy,neu
307,90.0,20.0,3.0,3.0,interior space,suffer,neg
308,,20.0,3.0,3.0,car,condensed form,neu
309,,20.0,3.0,3.0,seating position,preferred,pos
310,,20.0,3.0,3.0,seating position,knee touch,pos
311,,20.0,3.0,3.0,cutout design,thanks,pos
312,,20.0,3.0,3.0,front seat,little bit high,neu
313,,20.0,3.0,3.0,fron seat,slide foot underneath,pos
314,,20.0,3.0,3.0,back seat,recline little bit,pos
315,,20.0,3.0,3.0,back seat,comfortable,pos
316,,20.0,3.0,3.0,headliner,bad,neu
317,,20.0,3.0,3.0,middle spot,like extended trip,neg
318,,20.0,3.0,3.0,roof line,dipping,neg
319,,20.0,3.0,3.0,back seat,mind ducking,neg
320,,20.0,3.0,3.0,backseat,endurable,neg
321,91.0,20.0,4.0,9.0,underfloor storage,super deep,pos
322,,20.0,4.0,9.0,boot,sizeable square space,pos
323,,20.0,4.0,9.0,boot lip,high,neg
324,92.0,20.0,5.0,3.0,rear seat,lowered cargo area,neg
325,,20.0,5.0,3.0,steering,wish lower,neg
326,,20.0,5.0,3.0,rear seat,lowered,pos
327,93.0,20.0,6.0,2.0,feel,real BMW,pos
328,,20.0,6.0,2.0,material,pleasing,pos
329,,20.0,6.0,2.0,layout,stylish,pos
330,,20.0,6.0,2.0,upholstery,nice,pos
331,,20.0,6.0,2.0,upholstery,nice faux leather,pos
332,,20.0,6.0,2.0,seat,10 way power adjustable,pos
333,,20.0,6.0,2.0,side bolster,fancy,pos
334,94.0,20.0,7.0,1.0,Apple Carplay price,offensive,neg
335,95.0,20.0,8.0,8.0,Apple Carplay,wireless,pos
336,96.0,20.0,9.0,2.0,veering,superficial,neg
337,,20.0,9.0,2.0,look,cool,pos
338,,20.0,9.0,2.0,BMW badge,tempted remove,neu
339,97.0,20.0,10.0,4.0,vibe,squat,pos
340,,20.0,10.0,4.0,vibe,athletic,pos
341,,20.0,10.0,4.0,driving,athletic,pos
342,,20.0,10.0,4.0,corner handling,carry serious speed,pos
343,98.0,20.0,11.0,4.0,steering,little imprecise,neg
344,,20.0,11.0,4.0,brake pedal,demand finesse,neg
345,,20.0,11.0,4.0,brake pedal,touchy,neg
346,,20.0,11.0,4.0,drive,generally pleasure,pos
347,99.0,20.0,12.0,5.0,roof line,stylish,pos
348,,20.0,12.0,5.0,blind spot,massive,neg
349,100.0,20.0,13.0,9.0,-,-,-
350,101.0,20.0,14.0,5.0,visibility,issue,neg
351,,20.0,14.0,5.0,sport suspension,ride quality skews firmer side,pos
352,,20.0,14.0,5.0,driving assisstance package,happy note,pos
353,102.0,20.0,15.0,4.0,ride comfort,top priority,pos
354,,20.0,15.0,4.0,damper,adjustable,pos
355,,20.0,15.0,4.0,ICO pro mode,efficiency enhancing,pos
356,,20.0,15.0,4.0,dynamic cruise control,handy,pos
357,,20.0,15.0,4.0,drive,front wheel standard,neu
358,103.0,20.0,16.0,0.0,shift lever,mechanical,neu
359,,20.0,16.0,0.0,shift lever,blessedly simple,pos
360,,20.0,16.0,0.0,electronic shifter,comparitively tricky,neg
361,,20.0,16.0,0.0,automatic engine start stop system,intrusive,neu
362,,20.0,16.0,0.0,automatic engine start stop system,help save,pos
363,,20.0,16.0,0.0,switch,conveniently placed,pos
364,,20.0,16.0,0.0,engine,refined operation,pos
365,,20.0,16.0,0.0,acceleration,brisk,pos
366,,20.0,16.0,0.0,turbo lag,lag,pos
367,,20.0,16.0,0.0,fuel economy,good,pos
368,104.0,20.0,17.0,7.0,price,ain't cheap,neg
369,,20.0,17.0,7.0,fuel,recommends premium,neu
370,105.0,20.0,18.0,6.0,M6 port,loaded,pos
371,,20.0,18.0,6.0,drive,wheel,neu
372,,20.0,18.0,6.0,Mercedes-Benz G g l,powerful,pos
373,,20.0,18.0,6.0,BMW X3,decently equipped,neu
374,106.0,20.0,19.0,7.0,-,-,-
375,107.0,20.0,20.0,2.0,x two,swap practicaly style,neu
376,108.0,21.0,1.0,6.0,size,smallest,neu
377,,21.0,1.0,6.0,price,cheapest,pos
378,,21.0,1.0,6.0,proportion,sub compact,neu
379,,21.0,1.0,6.0,type,SUV,neu
380,109.0,21.0,2.0,9.0,size,small,neu
381,,21.0,2.0,9.0,cargo area,small,pos
382,,21.0,2.0,9.0,trunk,conveniently square,pos
383,,21.0,2.0,9.0,underfloor storage area,handy,pos
384,,21.0,2.0,9.0,rear seat,20 40 split,pos
385,,21.0,2.0,9.0,rear seat,handy,pos
386,,21.0,2.0,9.0,backseat,drop,pos
387,,21.0,2.0,9.0,power release,optional,neu
388,,21.0,2.0,9.0,cargo hold,fairly flat,pos
389,,21.0,2.0,9.0,cargo hold,surprisingly vast,pos
390,110.0,21.0,3.0,3.0,storage nook,throughout,pos
391,,21.0,3.0,3.0,front seat set,impressive,pos
392,,21.0,3.0,3.0,leg room,great,pos
393,,21.0,3.0,3.0,footspace,excellent,pos
394,,21.0,3.0,3.0,headroom,similarly good,pos
395,,21.0,3.0,3.0,middle,hump,neg
396,,21.0,3.0,3.0,middle seat,perfectly inhabitable,pos
397,111.0,21.0,4.0,3.0,centre armrest,adjustable,pos
398,,21.0,4.0,3.0,centre armrest,comfortable height,pos
399,,21.0,4.0,3.0,centre armrest,touch storage base,pos
400,,21.0,4.0,3.0,second row seat,sliding,pos
401,,21.0,4.0,3.0,second row seat,reclining,pos
402,,21.0,4.0,3.0,comfort,even better,pos
403,112.0,21.0,5.0,2.0,X1,proper BMW,pos
404,,21.0,5.0,2.0,plastic,high quality,pos
405,,21.0,5.0,2.0,material,soft,pos
406,,21.0,5.0,2.0,cabin layout,stylish,pos
407,113.0,21.0,6.0,4.0,X1,smaller,neu
408,,21.0,6.0,4.0,X1,cheaper,pos
409,,21.0,6.0,4.0,steering,slack,neg
410,,21.0,6.0,4.0,corner,adept,pos
411,,21.0,6.0,4.0,traffic,adept slogging,pos
412,,21.0,6.0,4.0,move,sporty,pos
413,,21.0,6.0,4.0,move,pleasing,pos
414,,21.0,6.0,4.0,drive,like BMW,neu
415,114.0,21.0,7.0,4.0,X1,definitely fun BMW,neg
416,,21.0,7.0,4.0,drive,pretty thrilling,pos
417,,21.0,7.0,4.0,SUV,small,neu
418,,21.0,7.0,4.0,SUV,luxury,pos
419,,21.0,7.0,4.0,type,SUV,neu
420,115.0,21.0,8.0,0.0,power,fairly well,pos
421,116.0,21.0,9.0,0.0,car,winning combination,pos
422,,21.0,9.0,0.0,acceleration,swift,pos
423,,21.0,9.0,0.0,operation,refined,pos
424,,21.0,9.0,0.0,fuel economy,good,pos
425,117.0,21.0,10.0,0.0,accleration,engine take moment spool,pos
426,,21.0,10.0,0.0,automatic engine start stop system,engine restarts jarring,neg
427,,21.0,10.0,0.0,powerful,plenty,pos
428,,21.0,10.0,0.0,drive,rear wheel,neu
429,,21.0,10.0,0.0,wheel drive,raise base price,neg
430,,21.0,10.0,0.0,wheel drive,plus traction suffers,pos
431,118.0,21.0,11.0,4.0,drive mode,multiple,pos
432,,21.0,11.0,4.0,X1,customized,pos
433,,21.0,11.0,4.0,sport mode,quicker throttle response,pos
434,,21.0,11.0,4.0,sport mode,heavy steering,pos
435,,21.0,11.0,4.0,ICO pro mode,efficiency enhancing,pos
436,,21.0,11.0,4.0,coasting,sound fun,pos
437,119.0,21.0,12.0,1.0,seat,eight way power,neu
438,,21.0,12.0,1.0,lift gate,power,neu
439,120.0,21.0,13.0,6.0,Mercedes-Benz G . L . A,seductive,pos
440,,21.0,13.0,6.0,Audi Q3,sophisticated,pos
441,,21.0,13.0,6.0,Lincoln M . K . C,well equipped,pos
442,121.0,21.0,14.0,9.0,backup camera,optional,neu
443,122.0,21.0,15.0,1.0,roof,moon,pos
444,,21.0,15.0,1.0,roof,panoramic,pos
445,,21.0,15.0,1.0,front seat,leather,pos
446,,21.0,15.0,1.0,front seat,heated,pos
447,123.0,21.0,16.0,5.0,-,-,-
448,124.0,21.0,17.0,7.0,option package,go nutty,pos
449,125.0,21.0,18.0,6.0,X1,much BMW,pos
450,,21.0,18.0,6.0,X1,smaller,neu
451,,21.0,18.0,6.0,parkability,appreciate,pos
452,126.0,22.0,1.0,6.0,-,-,-
453,127.0,22.0,2.0,6.0,BMW I A8,much racier,pos
454,,22.0,2.0,6.0,BMW I A8 price,expensive,neg
455,,22.0,2.0,6.0,car,electric,neu
456,128.0,22.0,3.0,2.0,BMW badge,important,pos
457,,22.0,3.0,2.0,plastic,reinforced,neu
458,129.0,22.0,4.0,0.0,-,-,-
459,130.0,22.0,5.0,7.0,-,-,-
460,131.0,22.0,6.0,0.0,engine,tiny,neu
461,,22.0,6.0,0.0,total range,double,pos
462,,22.0,6.0,0.0,pure electric range,little bit reduced,neg
463,,22.0,6.0,0.0,engine,add weight,neg
464,132.0,22.0,7.0,4.0,drive,like BMW,pos
465,,22.0,7.0,4.0,steering,variable assisst,pos
466,,22.0,7.0,4.0,steering,quick ratio,pos
467,,22.0,7.0,4.0,steering,nimble sense,pos
468,,22.0,7.0,4.0,steering,nicely supported,pos
469,,22.0,7.0,4.0,handling limit,higher expected,pos
470,,22.0,7.0,4.0,body roll,bit,neg
471,,22.0,7.0,4.0,car,tall,pos
472,,22.0,7.0,4.0,car,electric,pos
473,,22.0,7.0,4.0,drive,wierdly fun,pos
474,133.0,22.0,8.0,0.0,BMW I three,celebrates hard,pos
475,,22.0,8.0,0.0,engine,keep pulling,pos
476,,22.0,8.0,0.0,pull,nice,pos
477,134.0,22.0,9.0,0.0,power recovery,really aggressive,neu
478,,22.0,9.0,0.0,electric motor,really strange,neg
479,135.0,22.0,10.0,4.0,deceleration,shame,neg
480,,22.0,10.0,4.0,brake,feel almost normal,neu
481,136.0,22.0,11.0,2.0,window,big,pos
482,,22.0,11.0,2.0,turning circle,tight,neu
483,,22.0,11.0,2.0,length,short,neu
484,137.0,22.0,12.0,9.0,optional backup camera,easy maneuver,pos
485,,22.0,12.0,9.0,parking sensor,easy maneuver,pos
486,138.0,22.0,13.0,4.0,suspension,skillfully manages tarmac inconsistency,pos
487,139.0,22.0,14.0,2.0,car,electric,pos
488,140.0,22.0,15.0,0.0,-,-,-
489,141.0,22.0,16.0,2.0,BMW,traditional progressive balance pretty well,pos
490,,22.0,16.0,2.0,stance,tall,pos
491,,22.0,16.0,2.0,window,frameless,pos
492,,22.0,16.0,2.0,panel,contrasting,pos
493,,22.0,16.0,2.0,weirdness,general,neu
494,,22.0,16.0,2.0,car,utterly distinct,pos
495,,22.0,16.0,2.0,car,weird endearing way,pos
496,142.0,22.0,17.0,2.0,panel,reflex,neg
