,Unnamed: 0,id,segment_id,aspect_lemmatized,opinion_lemmatized,sentiment
94,,24,26,drive,luxurious term travelling bump,neg
95,,24,26,gearbox,brilliant,pos
96,42,24,27,long distance,great,pos
97,,24,27,engine,real real quick,pos
98,43,24,28,engine,super rapid,pos
99,,24,28,car,quite comfortable,neg
100,44,24,29,drive,shocked,pos
101,,24,29,grip corner,really impressive,pos
102,,24,29,wheel turn,feel like dart turn,pos
103,,24,29,steering,really really good,pos
104,,24,29,streering,sharp,pos
105,,24,29,balance,right,pos
106,,24,29,steering,fun,pos
107,45,24,30,-,-,-
108,46,24,31,-,-,-
109,47,24,32,slip diferential,limited,neu
110,,24,32,BMW,fun,pos
111,48,24,33,-,-,-
112,49,24,34,8 Siris,big,pos
113,,24,34,8 Siris,luxurious,pos
114,50,25,1,-,-,-
115,51,25,2,-,-,-
116,52,25,3,court,stunning,pos
117,53,25,4,car,fast,pos
118,,25,4,car,faster,pos
119,54,25,5,wheel drive,dead simple,neu
120,55,25,6,-,-,-
121,56,25,7,-,-,-
122,57,25,8,standing quarter,good job,pos
123,58,25,9,cost,almost double,neg
124,59,25,10,performance Power,impressive,pos
125,,25,10,performance Power,quiet impressive,neu
126,,25,10,carbon fibre engine cover,lovely,pos
127,,25,10,gearbox,mordern,pos
128,,25,10,talk converter,smoother,pos
129,,25,10,talk converter,strong enough,pos
130,,25,10,high pressure oil system,special,pos
131,60,25,11,sound,pretty awesome,pos
132,,25,11,sound,good,pos
133,61,25,12,look,good,pos
134,,25,12,look,agressive,pos
135,,25,12,look,powerful,pos
136,63,25,14,wheel arch,pronounced,pos
137,,25,14,track,wider,neu
138,,25,14,road holding,improved,pos
139,,25,14,suspension,stiffened,pos
140,,25,14,air breather,fake,neg
141,64,25,15,-,-,-
142,65,25,16,wooden wheel arch,squat,pos
143,,25,16,wooden wheel arch,purposeful,pos
144,,25,16,boot spoiler,tidy,pos
145,,25,16,boot spoiler,little,neg
146,,25,16,road holding,improved,pos
147,,25,16,interior,well built,pos
148,,25,16,entertainment system,excellent,pos
149,,25,16,seat,M6 port,neu
150,66,25,17,seat,look really cool,pos
151,,25,17,seat,great job hugging body,pos
152,67,25,18,blue red stiches,lovely,pos
153,68,25,19,set button,absolutely brilliant,pos
154,69,25,20,gear selector,look bit tacky,pos
155,70,25,21,customization,important,pos
156,71,25,22,car,dual purpose,pos
157,,25,22,car,family friendly,pos
158,,25,22,car,big,pos
159,,25,22,car,relaxed state,pos
160,,25,22,car,fast supercar,pos
161,72,25,23,-,-,-
162,73,25,24,steering,weight,neu
163,,25,24,exhaust,louder,neu
164,74,25,25,-,-,-
165,75,25,26,-,-,-
166,76,25,27,engine,high performance,pos
167,77,25,28,BMW driver,bad reputation,neg
168,78,25,29,driver,worst,neg
169,79,25,30,drive mode,great set,pos
170,,25,30,car,big old,neu
171,,25,30,handle,well,pos
172,,25,30,super sideways,great thing,pos
173,,25,30,car,fun,pos
174,80,25,31,life tire,long,pos
175,81,25,32,tire,overheated,neg
176,,25,32,tired,delaminated,neg
177,82,25,33,X drive system,switchable,neu
178,,25,33,X drive system,hooligan,neu
179,,25,33,car,far quicker,pos
180,,25,33,car,capable,pos
181,,25,33,car,incredible machine,pos
182,83,26,1,-,-,-
183,84,26,2,outside dimension,long,neu
184,,26,2,bill,huge,neu
185,,26,2,proportion,right,pos
186,,26,2,look,chunky,neg
187,,26,2,look,tall,neu
188,,26,2,space,maximize,neu
189,85,26,3,load,room,pos
190,,26,3,absolutely acre,headroom,pos
191,86,26,4,back,space,pos
192,87,26,5,room,enough,pos
193,,26,5,back seat,impressive,pos
194,,26,5,seat,comforting,neu
195,,26,5,seat,recline well,pos
196,,26,5,storage area,useful,pos
197,88,26,6,room,Loads,pos
198,,26,6,boot,biggest,pos
199,,26,6,boot,massive,pos
200,,26,6,boot shape,Nice,pos
201,,26,6,car,practical,pos
202,89,26,7,inside,luxurious,pos
203,,26,7,interior,lovely,pos
204,,26,7,soft touch plastic,lovely,pos
205,,26,7,Interior,nicely laid,pos
206,90,26,8,entertainment system,lovely,pos
207,91,26,9,infotainment system,easiest,pos
208,92,26,10,cupholders,decent,pos
209,,26,10,door bin,large,neu
210,,26,10,glovebox size,decent,neu
211,,26,10,inside look,smart,pos
212,93,26,11,drive,feel sporty,neg
213,,26,11,drive,easy,pos
214,,26,11,visibility,good,pos
215,94,26,12,windscreen,huge,pos
216,,26,12,back window,quite large,pos
217,95,26,13,car,comfy,pos
218,96,26,14,adaptive damper,definitely get,pos
219,,26,14,adaptive damper,expensive,neu
220,97,26,15,ride,comfy,pos
221,,26,15,ride,nice,pos
222,98,26,16,engine,really fast,pos
223,99,26,17,BMW X1,good,pos
224,100,26,18,-,-,-
225,101,26,19,gear selector,huge,pos
226,102,26,20,car,pretty luxurious,pos
227,103,26,21,option list,careful,neu
228,104,26,22,one Peace parcel shelf,annoying,neg
229,,26,22,boot,clutter,neg
230,105,26,23,diesel engine,little,neg
231,106,26,24,emergency braking,standard,neg
232,107,26,25,-,-,-
233,108,26,26,-,-,-
234,109,26,27,-,-,-
235,110,26,28,-,-,-
236,111,26,29,panoramic sunroof,massive,pos
237,112,26,30,storage(front passenger seat),easy,pos
238,113,26,31,SUV,small,neu
239,,26,31,SUV,premium,neu
240,114,27,1,car,widest,pos
241,115,27,2,boot,really big,pos
242,,27,2,boot,much bigger,pos
243,,27,2,boot,really really useful,pos
244,,27,2,boot,wide opening,pos
245,,27,2,boot,fit quite lot stuff,pos
246,116,27,3,seat sliding forward,heavy,neg
247,,27,3,seat pulling back,easy,pos
248,,27,3,back seat,great,neu
249,117,27,4,back,real story,neg
250,,27,4,front story jacket,way better,pos
251,118,27,5,-,-,-
252,119,27,6,nay,annoying,neg
253,,27,6,cockpit,driver oriented,pos
254,,27,6,quality,really strong,pos
255,,27,6,car,much llike three series,pos
256,,27,6,design,little bit boring,neg
257,,27,6,equipment,quite good,neu
258,120,27,7,car,better,pos
259,121,27,8,-,-,-
260,122,27,9,satellite navigation,lovely,pos
261,,27,9,windscreen,lovely,pos
262,,27,9,I drive,easy use,pos
263,,27,9,I drive,best market,pos
264,,27,9,glovebox,decent size,pos
265,,27,9,door bin,big,pos
266,,27,9,place front,enough,pos
267,123,27,10,force,genuinely good,pos
268,,27,10,drive,fun,pos
269,,27,10,car,feel like sport car,pos
270,,27,10,look,like soprts car,pos
271,,27,10,car,almost practical,neu
272,,27,10,car,A salute,pos
273,,27,10,adaptive sus[ension,essential,pos
274,,27,10,comfort mode,really really comfortable,pos
275,124,27,11,road noise,shame,neg
276,,27,11,wind whistle,shame,neg
277,125,27,12,turbo petrol,really quick,pos
278,,27,12,turbo petrol,decent economy,pos
279,126,27,13,-,-,-
280,127,27,14,BMW four Serious,pretty decent,pos
281,,27,14,BMW four Serious,rounder,pos
282,128,27,15,look,like sport,neu
283,,27,15,sound,like van,neu
284,129,27,16,phone cradle,pointless,neg
285,130,27,17,ride without port suspension,ride handle well,neg
286,,27,17,automatic gearbox,extra cost,neg
287,131,27,18,Manual model pedal offset,great,neg
288,,27,18,feature,cool,pos
289,,27,18,centre gravity,lowest,pos
290,,27,18,central hat,enough room,pos
291,132,27,19,door,high quality,pos
292,,27,19,seatbelt,automatic,neu
293,133,27,20,get car,creepily,pos
294,134,27,21,BMW A4 Siri's,little bit noisy,neg
295,135,27,22,-,-,-
296,136,27,23,adaptive suspension,comfy,pos
297,,27,23,adaptive suspension,firm,pos
298,,27,23,spend extra adaptive suspension,practical,pos
299,137,27,24,-,-,-
300,138,27,25,-,-,-
301,139,27,26,-,-,-
302,140,27,27,-,-,-
303,141,28,1,comfort,desirable,pos
304,,28,1,car,fun,pos
305,,28,1,car,surprisingly practical,pos
306,142,28,2,backseat,much room,pos
307,,28,2,room,Legendary,pos
308,,28,2,headroom,plently,pos
309,,28,2,middle seat,much comfort,neg
310,,28,2,middle seat,head hitting plastic,neg
311,143,28,3,boot,fit much stuff,pos
312,,28,3,boot volume,par,pos
313,,28,3,boot shape,practical,pos
314,,28,3,boot,quite good,neg
315,144,28,4,design,distinctive,pos
316,,28,4,sit,nice,pos
317,,28,4,sit,low,neu
318,,28,4,dash angle,towards,pos
319,,28,4,driving position,spot,pos
320,,28,4,build,quality,pos
321,,28,4,dash,like,pos
322,,28,4,build,really good,pos
323,,28,4,inside,feel expensive,pos
324,,28,4,space,best,neg
325,,28,4,space,sufficient,pos
326,,28,4,space,pretty good,pos
327,,28,4,equipment,impresseive,pos
328,146,28,6,I drive system,dead easy use,pos
329,,28,6,I drive system,best market,pos
330,,28,6,feature,cool,pos
331,147,28,7,-,-,-
332,148,28,8,servicing plan,really good,pos
333,,28,8,mileage,unlimited,pos
334,,28,8,automatic gearbox,economical,pos
335,149,28,9,emergency service,stunning,pos
336,150,28,10,-,-,-
337,151,28,11,high speed mobile internet,good,pos
338,,28,11,offset pedal,feel like foot almost outside car,pos
339,152,28,12,entry level petrol engine,lumber,neg
340,153,28,13,automatic gear selector,large,pos
341,,28,13,automatic gear selector,touch phallic,pos
342,154,28,14,option,easy get carried away,neu
343,,28,14,reductive sport end suspension,definitely spend,pos
344,155,28,15,steering,nice,neg
345,,28,15,automatic gearbox,brilliant,pos
346,,28,15,auto bend,best business,pos
347,156,28,16,engine,quick,pos
348,,28,16,engine,return good economy,pos
349,,28,16,mile per gallon,bad,neu
350,,28,16,diesel engine,little bit noisy,neg
351,,28,16,three series,road noise,neu
352,,28,16,three series,wind noise,neu
353,157,28,17,visibility,cannot fault,pos
354,,28,17,pillar,quite thin,pos
355,,28,17,view,good,pos
356,,28,17,view,really handy,pos
357,158,28,18,speed,suffer bit Tyrell,neg
358,159,28,19,adaptive suspension,spend extra,neg
359,160,28,20,adaptive suspension,handle brilliantly,pos
360,,28,20,drive,great fun,pos
361,161,28,21,adaptive suspension,surprisingly practical,pos
362,162,29,1,-,-,-
363,163,29,2,-,-,-
364,164,29,3,profile,coop like,neu
365,,29,3,room inside,le,neg
366,,29,3,profile,cooler,pos
367,165,29,4,-,-,-
368,166,29,5,backend,swoopy,pos
369,,29,5,backend capacity,le,neg
370,,29,5,boot,lowered tapered line,neg
371,,29,5,boot,can't stack thing high,neg
372,,29,5,boot lid,problem heavy item,neg
373,,29,5,boot,useful,pos
374,,29,5,boot,lot nice feature,pos
375,,29,5,tie tether,sturdy,pos
376,,29,5,storage jet,removable,neu
377,,29,5,space,decent,neu
378,,29,5,boot,pretty flat,pos
379,167,29,6,roofline,sloping,neg
380,,29,6,backseat,wide open,neg
381,,29,6,rearward facing child seat,trickier,neu
382,,29,6,get,dead easy,pos
383,,29,6,foot room,plenty,pos
384,,29,6,backseat head room,pretty tight,neg
385,,29,6,backseat people 6 4,cramped,neg
386,,29,6,window ledge,quite high,neg
387,,29,6,smaller people,struggle see,neg
388,168,29,7,seat back,big,neg
389,,29,7,seat back,much room,neg
390,,29,7,door bin,huge,pos
391,,29,7,digital climate control,useful,pos
392,,29,7,coat hook,neat,pos
393,,29,7,eading light,turn individually,pos
394,169,29,8,-,-,-
395,170,29,9,-,-,-
396,171,29,10,-,-,-
397,172,29,11,-,-,-
398,173,29,12,-,-,-
399,174,29,13,sport seat,lovely,pos
400,,29,13,screen,wide,pos
401,,29,13,screen,glorious,pos
402,175,29,14,traffic update,good,pos
403,,29,14,concierge service,really really good,pos
404,,29,14,system,intuitive,pos
405,,29,14,system,simple use,pos
406,,29,14,menu,easy,pos
407,,29,14,digital dollar,well worth,pos
408,,29,14,digital dollar,look nice,pos
409,,29,14,digital dollar,quite functionality,neg
410,176,29,15,design,alright,pos
411,,29,15,design,quite like,pos
412,,29,15,event,feel cheap,neg
413,,29,15,car,solid,pos
414,,29,15,quality,good,pos
415,,29,15,door bin,big,pos
416,177,29,16,storage steering,like,pos
417,,29,16,key,big,neu
418,,29,16,remote key operation,good,pos
419,,29,16,glove box size,big bag popcorn,neu
420,178,29,17,seating position,really good,pos
421,,29,17,extendable seat base,like,pos
422,,29,17,fly support,like,pos
423,,29,17,steering wheen adjustment,plenty,pos
424,,29,17,view,high,pos
425,179,29,18,-,-,-
426,180,29,19,-,-,-
427,181,29,20,-,-,-
428,182,29,21,sun roof,one touch open 90% way,neg
429,183,29,22,engine,quite rattling,neg
430,184,29,23,-,-,-
431,185,29,24,car,like pig angry bird,neg
432,186,29,25,-,-,-
433,187,29,26,aerodynamics,improved,pos
434,,29,26,cutaway cover,fit perfectly,pos
435,188,29,27,optional head display,brilliant,pos
436,189,29,28,weight distribution,perfect,pos
437,190,29,29,parking assistant Plus,brilliant,pos
438,191,29,30,view,good,pos
439,,29,30,car,higher car,pos
440,,29,30,blind spot,many,neg
441,,29,30,blind spot,huge,neg
442,192,29,31,automatic gearbox,love,pos
443,,29,31,speeding,smooth,pos
444,,29,31,car feel,sporty,pos
445,,29,31,suspension,firmer,pos
446,,29,31,adaptive suspension,well worth,pos
447,,29,31,corner handle,well,pos
448,,29,31,corner handle,lean,neg
449,,29,31,steering,quite sharp,neg
450,193,29,32,engine,generally pretty good,pos
451,,29,32,performace,enough,neu
452,,29,32,mile per gallon,good enough,neu
453,194,29,33,distance driving,quite comfortable,pos
454,,29,33,tire noise,quite lot,neg
455,195,29,34,-,-,-
456,196,29,35,-,-,-
457,197,29,36,BMW S4,good,pos
458,,29,36,BMW S4,fun,pos
459,198,30,1,car,combine comfort sporting,pos
460,199,30,2,back,love,pos
461,,30,2,headroom,absolutely acre,pos
462,,30,2,headroom,leading,pos
463,,30,2,car,good people six foot,pos
464,,30,2,carrying three back,good,neg
465,,30,2,seat,tighter middle,neg
466,,30,2,front,really really comfy,pos
467,200,30,3,cabin,really nice,pos
468,,30,3,cabin,cheap,pos
469,201,30,4,storage,alright,neu
470,,30,4,box,decent size,pos
471,,30,4,space,kind bit short,neg
472,,30,4,equipment,really good,pos
473,,30,4,satnav,standard,pos
474,202,30,5,leather seat,heated,pos
475,203,30,6,climate control,really really good,pos
476,204,30,7,-,-,-
477,205,30,8,upgraded professional satnav,lovely,pos
478,206,30,9,I drive system,slickest,pos
479,,30,9,design,stood test time,pos
480,,30,9,exterior,stood test time,pos
481,207,30,10,boot,decent size,pos
482,208,30,11,boot overall capacity,slightly le,neg
483,,30,11,load lip,low,neu
484,,30,11,boot shape,perfect,neg
485,,30,11,boot,practical enough,neu
486,209,30,12,-,-,-
487,210,30,13,-,-,-
488,211,30,14,-,-,-
489,212,30,15,-,-,-
490,213,30,16,-,-,-
491,214,30,17,-,-,-
492,215,30,18,-,-,-
493,216,30,19,pedal,slightly offset,neg
494,217,30,20,automatic emergency breaking,expensive option,neg
495,218,30,21,door bin,really small,neg
496,219,30,22,lumbar support,expensive option,neg
497,220,30,23,-,-,-
498,221,30,24,-,-,-
499,222,30,25,adaptive suspension,quite expensive,neg
500,,30,25,adaptive suspension,well-woth,pos
501,,30,25,adaptive suspension,lovely,pos
502,223,30,26,drive,lovely,pos
503,,30,26,dive,pretty quiet,pos
504,224,30,27,visibility,generally good,pos
505,225,30,28,engine,strong performer,pos
506,,30,28,petrol engine,economical,pos
507,,30,28,engine,really good,pos
508,,30,28,diesel engine,little bit noisy,neg
509,,30,28,manual gearbox,nice,neg
510,,30,28,automatic gearbox,favourite market,pos
511,226,30,29,-,-,-
512,227,30,30,adaptive suspension,fun,pos
513,228,30,31,entertainment system,brilliant,pos
514,229,30,32,-,-,-
515,230,31,1,BMW M3,absolute legend,pos
516,231,31,2,-,-,-
517,232,31,3,handling,precise,neu
518,,31,3,traction control,linient,neu
519,233,31,4,-,-,-
520,234,31,5,car,feel pretty much identical normal three series,neu
521,,31,5,quality,good,pos
522,,31,5,car,easy use,pos
523,235,31,6,infotainment system,fabulous,pos
524,,31,6,infotainment system,best,pos
525,,31,6,carbon fibre,tacky,neg
526,236,31,7,back seat,super comfy,pos
527,237,31,8,boot,big enough,neu
528,238,31,9,-,-,-
529,239,31,10,exhaust,louder,neg
530,240,31,11,front end grip,really strong,pos
531,241,31,12,-,-,-
532,242,31,13,tire noise,way loud,neg
533,,31,13,car,fantastic round performance,pos
534,,31,13,car,German,pos
535,,31,13,car,well-made,pos
536,243,34,1,BMW X3,really good rounder,pos
537,,34,1,car,economical,pos
538,,34,1,car,desirable,pos
539,,34,1,car,fun drive,pos
540,,34,1,road,well,pos
541,244,34,2,car,practical,pos
542,,34,2,get back,nice,pos
543,,34,2,get back,easy,pos
544,,34,2,door oening,quite wide,pos
545,,34,2,get,swoop,pos
546,,34,2,carrying rear passenger,brilliant,pos
547,,34,2,floor,big,neu
548,,34,2,floor,humping,neu
549,245,34,3,boot,absolutely massive,pos
550,,34,3,boot,large,pos
551,,34,3,boot shape,nice,pos
552,,34,3,boot shape,square,pos
553,,34,3,tether point,adjustable,pos
554,,34,3,net,lot,pos
555,,34,3,strap,lot,pos
556,,34,3,underfloor storage,great,pos
557,,34,3,Parcel Shelf,handy,pos
558,246,34,4,design,keen,neg
559,,34,4,design,desirable one least attractive model,neg
560,,34,4,look,sharp looking,neg
561,,34,4,interior design,bit dated,neg
562,,34,4,build quality,can't fault,neu
563,,34,4,car,solid,pos
564,,34,4,car storage,good,pos
565,,34,4,equipment,impressive,pos
566,247,34,5,-,-,-
567,248,34,6,I drive system,best business,pos
568,,34,6,tech feature,cool,pos
569,249,34,7,-,-,-
570,250,34,8,-,-,-
571,251,34,9,-,-,-
572,252,34,10,-,-,-
573,253,34,11,everything,great,pos
574,,34,11,BMW X3,reliable car,neg
575,254,34,12,pedal,far set right,neg
576,,34,12,foot,feel outside door,neg
577,255,34,13,-,-,-
578,256,34,14,phone cradle,annoying,neg
579,,34,14,phone cradle,loock cool,pos
580,,34,14,ride qualitty,absolutely knackered,neg
581,257,34,15,adaptive suspension,essential,pos
582,,34,15,suspension,fairly firm,neu
583,,34,15,ride,little bumpy,pos
584,,34,15,handling,well,pos
585,,34,15,handling,surprisingly grippy,neu
586,,34,15,adaptive susppension,best world,pos
587,258,34,16,Tyrell,quite lot,neg
588,,34,16,visibility,pretty good,pos
589,,34,16,blind spot,large,neg
590,259,34,17,three litre diesel engine,absolutely storming,pos
591,,34,17,two litre diesel engine,lower powered,neu
592,,34,17,two litre diesel engine,quick enough,pos
593,,34,17,automatic gearbox,brilliant,pos
594,260,34,18,-,-,-
595,261,34,19,inside,dated,neg
596,,34,19,hadling right,firm without adaptive suspension,neg
597,,34,19,handle,well,pos
598,262,34,20,-,-,-
599,263,35,1,-,-,-
600,264,35,2,-,-,-
601,265,35,3,boot capacity,1/4 le normal,neu
602,266,35,4,space backseat,like,pos
603,,35,4,knee room,load,pos
604,,35,4,headroom,load,pos
605,,35,4,backseat,cannot recline,neg
606,,35,4,floor,flat,pos
607,,35,4,backseat,absolutely fine,pos
608,267,35,5,-,-,-
609,268,35,6,front,spacious rear,neu
610,269,35,7,inside,dull,neg
611,,35,7,car,aged,neg
612,,35,7,material,soft touch,pos
613,,35,7,material,high quality,pos
614,,35,7,car,feel expensive,pos
615,270,35,8,storage space,good,pos
616,,35,8,door bin,huge,pos
617,,35,8,door bin,fit easily,pos
618,,35,8,equipment,pretty good,pos
619,271,35,9,leather seat,electrically heated,pos
620,272,35,10,satnav,premium,pos
621,,35,10,system,professional,pos
622,,35,10,screen,wide,pos
623,,35,10,satnav,lovely,pos
624,273,35,11,I drive,one best,pos
625,,35,11,I drive,absolutely love,pos
626,274,35,12,-,-,-
627,275,35,13,drive,really really nice,pos
628,,35,13,adaptive M6 port suspension comfort model,nice,pos
629,,35,13,adaptive M6 port suspension comfort model,relaxing,pos
630,,35,13,sport mode,improves grip,pos
631,,35,13,handling,well,pos
632,,35,13,handling,really well,pos
633,276,35,14,hybrid model,lot weight,neu
634,277,35,15,corner handling,feel combersome,neg
635,278,35,16,hybrid system,problem,neg
636,279,35,17,automatic gearbox,quicker,pos
637,280,35,18,X5,noisy,neg
638,,35,18,X5,quite loud,neg
639,,35,18,Tyrell,lot,neg
640,,35,18,wind whistle,annoying,neg
641,281,35,19,visibility,comforting,pos
642,,35,19,back window,large,pos
643,,35,19,camera angle,wide,pos
644,,35,19,pillar,obtrusive,pos
645,,35,19,blind spot,much,pos
646,282,35,20,X5,good drive,pos
647,283,35,21,-,-,-
648,284,35,22,phone Cradle,annoying,neg
649,285,35,23,-,-,-
650,286,35,24,-,-,-
651,287,35,25,Parcel Shelf,heavy,neg
652,,35,25,Parcel Shelf,standard,neg
653,288,35,26,wide retired,pretty,pos
654,289,35,27,-,-,-
655,290,35,28,traffic date,super accurate,pos
656,291,35,29,-,-,-
657,292,35,30,Automatic canister,prevent skid,pos
658,293,35,31,-,-,-
659,294,35,32,BMW X5,quite interesting,pos
660,295,35,33,hybrid version,completely silent low speed,pos
661,296,35,34,model,quite noisy high speed,pos
662,,35,34,intense,little bit dated,neg
663,297,35,35,car,hugely practical,pos
664,,35,35,diesel,hugely practical,pos
665,298,35,36,drive,good,pos
666,299,35,37,-,-,-
667,300,35,38,-,-,-
668,301,35,39,-,-,-
669,302,36,1,-,-,-
670,303,36,2,grill,absolutely huge,pos
671,,36,2,grill,distinctive,pos
672,,36,2,grill,like bug bonus teeth,pos
673,,36,2,grill,massive,pos
674,304,36,3,-,-,-
675,305,36,4,front,look agressive,neu
676,306,36,5,laser light,cool blue,pos
677,307,36,6,-,-,-
678,308,36,7,design,new,pos
679,309,36,8,backend,slab,neu
680,,36,8,backend,rather large,neu
681,310,36,9,boot,electric,pos
682,,36,9,boot shape,nice big square,pos
683,,36,9,car,run flat,pos
684,,36,9,lowering backseat,easy,pos
685,311,36,10,-,-,-
686,312,36,11,-,-,-
687,313,36,12,interior,luxury technology,pos
688,314,36,13,price,bumped bit,neg
689,315,36,14,price,worth money,pos
690,,36,14,Quality,absolutely brilliant,pos
691,,36,14,material,soft touch,pos
692,,36,14,material,softest,pos
693,,36,14,material,feel great,pos
694,,36,14,material,really sturdy,pos
695,,36,14,control,easily laid,pos
696,,36,14,ventillation control,metallic,pos
697,,36,14,control,nice,pos
698,,36,14,Trim,little bit confusing,neg
699,,36,14,Trim,keen,neg
700,,36,14,Trim,ideal,neg
701,,36,14,crystal knob,fan,neg
702,,36,14,crystal knob,naff,neg
703,316,36,15,S8,lovely,pos
704,,36,15,leather,two tone,pos
705,,36,15,leather,look really really good,pos
706,317,36,16,I drive seven,better ever,pos
707,,36,16,I drive seven,absolutely fabulous,pos
708,,36,16,I drive seven,dead easy control,pos
709,,36,16,I drive seven,little bit temperemental,neg
710,,36,16,graphic card,easier,pos
711,,36,16,map,lovely,pos
712,,36,16,graphic,sharp,pos
713,,36,16,graphic,high definition,pos
714,,36,16,digital driver display,quite good,neg
715,,36,16,satnav,full wide screen,neg
716,,36,16,rev counter,odd,neg
717,,36,16,infotainment system,like,pos
718,,36,16,reversing camera,good,pos
719,,36,16,gesture command,hard control,neg
720,318,36,17,suspension,unique,pos
721,,36,17,suspension,little bit firmer,neu
722,,36,17,comfort mode,comfortable,pos
723,,36,17,bump,hardly feel,pos
724,,36,17,comfort mode,jump around much,pos
725,,36,17,sport mode,good,pos
726,,36,17,sport mode,feel really sporting agile,pos
727,,36,17,corner handling,strong,pos
728,,36,17,corner handling,sturdy,pos
729,,36,17,Taxi drive,great,pos
730,,36,17,steering,highlight,pos
731,,36,17,steering,feel connected front wheel,pos
732,,36,17,change mode control,inconvenient,neg
733,319,36,18,engine,pretty quick diesel S60 lot,pos
734,,36,18,engine,quick,pos
735,,36,18,pickup,relentless,pos
736,,36,18,engine,make good noise,neg
737,320,36,19,noise,fake,neu
738,,36,19,gearbox,really good,pos
739,,36,19,gearbox,improved perfection,pos
740,,36,19,gearbox,well done,pos
741,,36,19,car,mordern,pos
742,,36,19,changing gearsusing paddle,sharp,pos
743,321,36,20,auto-breaking,safe,pos
744,,36,20,stop,safe,pos
745,,36,20,stop,steady,pos
746,322,36,21,rear,absolutely load room,pos
747,,36,21,footroom,load space leg,pos
748,,36,21,headroom,load . looking absolutely load,pos
749,,36,21,rear,really spacious,pos
750,,36,21,window lead,big,pos
751,,36,21,backseat,super comfy,pos
752,323,36,22,pocket backseat,tough really strong,pos
753,,36,22,BC import,nice,pos
754,,36,22,BC import,mordern,pos
755,324,36,23,seat,quite reclined,pos
756,,36,23,backseat,super quiet,pos
757,,36,23,backseat,really really comfortable,pos
