,gold outputs,predictions
10,"(pricier versions, plethora of automotive delights, positive); (front seats, massaging, positive); (front seats, ventilated, positive)","(pricier versions, plethora of automotive delights, positive); (front seats, massaging, positive); (front seats, ventilated, positive)"
11,"(audio systems, glorious sounding, positive); (audio systems, premium, positive); (steering system, adaptive, neutral); (steering system, works well untill it doesn't, negative)","(audio systems, glorious sounding, positive); (audio systems, premium, positive); (steering system, adaptive, neutral); (steering system, works well untill it doesn't, negative)"
12,"(safety technology, advanced, positive); (side collision avoidance system, automatically steers you away, positive); (adaptive steering, further personalized, positive)","(safety technology, advanced, positive); (side collision avoidance system, automatically steers you away, positive); (adaptive steering, further personalized, positive)"
13,"(trim, numerous upholstery, positive); (interior, real centrepieces, positive)","(trim, numerous upholstery, positive); (interior, real centrepieces, positive)"
14,"(I drive, completely revamped, positive); (I drive, touch screen, neutral); (remote gesture control, simplified, positive)","(I drive, completely revamped, positive); (I drive, touch screen, neutral); (remote gesture control, simplified, positive)"
15,"(None, None, None)","(None, None, None)"
16,"(None, None, None)","(None, None, None)"
17,"(Apple carplay, works nearly as good as the tether solution, positive)","(Apple carplay, works nearly as good as the tether solution, positive)"
18,"(Android auto, unrelated technology, negative)","(Android auto, unrelated technology, negative)"
19,"(camera system, coolest, positive)","(camera system, coolest, positive)"
20,"(None, None, None)","(None, None, None)"
21,"(Audi A6, well rounded, positive); (S90, sweetest, positive); (price, higher starting price, negative); (Mercedes-Benz e class, lot like flag ship sclass, neutral); (Mercedes-Benz e class, big fans, positive); (Mercedes-Benz e class, smaller, neutral)","(Audi A6, well rounded, positive); (S90, sweetest, positive); (price, higher starting price, negative); (Mercedes-Benz e class, lot like flag ship sclass, neutral); (Mercedes-Benz e class, big fans, positive); (Mercedes-Benz e class, smaller, neutral)"
22,"(Mercedes-Benz e class, similar concept as early predecessors, neutral); (Mercedes-Benz e class, not as engaging, negative)","(Mercedes-Benz e class, similar concept as early predecessors, neutral); (Mercedes-Benz e class, not as engaging, negative)"
23,"(technology, huge leap forward, positive); (interior sophistication, huge leap forward, positive)","(technology, huge leap forward, positive); (interior sophistication, huge leap forward, positive)"
24,"(nameplate, embracing change, positive); (nameplate, refreshing, positive)","(nameplate, embracing change, positive); (nameplate, refreshing, positive)"
25,"(None, None, None)","(None, None, None)"
26,"(character, all on its own, positive); (height, lower, positive); (length, longer, positive); (car, wider, positive); (design, more aggressively sophisticated spin, positive); (car, convertible, positive); (performance, high, positive)","(character, all on its own, positive); (height, lower, positive); (length, longer, positive); (car, wider, positive); (design, more aggressively sophisticated spin, positive); (car, convertible, positive); (performance, high, positive)"
27,"(hood, elongated, neutral); (vents, specially designed, positive); (vents, reduce drag, positive); (roofline, sweeping, neutral); (deck lid, short, neutral)","(hood, elongated, neutral); (vents, specially designed, positive); (vents, reduce drag, positive); (roofline, sweeping, neutral); (deck lid, short, neutral); (back, fastback fashion, neutral); (deck lid, elongated, neutral)"
28,"(stance, low, neutral); (centre of gravity, lowest, neutral); (exterior design, head turning, positive); (interior, shortcoming, neutral)","(stance, low, neutral); (centre of gravity, lowest, neutral); (exterior design, head turning, positive); (interior, shortcoming, neutral)"
29,"(cabin layout, elegant, positive); (cabin layout, ergonomically sound, positive); (cabin layout, glaring abscense of basic creature comforts, negative)","(cabin layout, elegant, positive); (cabin layout, ergonomically sound, positive); (cabin layout, glaring abscense of basic creature comforts, negative)"
30,"(None, None, None)","(None, None, None)"
31,"(driving dynamics, clear advantage, positive); (ride, impeccabbly balanced, positive); (handling package, renowned, positive); (ride quality, befitting of a car, positive); (noise, makes itself evident at high speed, negative); (suspension, work harmoniously, positive); (chasis, work harmoniously, positive); (brakes, easy to modulate, positive); (steering, electrically assissted, positive); (steering feedback, noticeably better, positive); (steering response, noticeably better, positive); (steering, some inclination towards understeer, negative)","(driving dynamics, clear advantage, positive); (ride, impeccabbly balanced, positive); (handling package, renowned, positive); (ride quality, befitting of a car, positive); (noise, easy to modulate, positive); (suspension, work harmoniously, positive); (chasis, work harmoniously, positive); (chasis, ride harmoniously, positive); (chasis, not too shy of responding, positive); (chasis"
32,"(cargo area, larger, positive)","(cargo area, larger, positive)"
33,"(rear seat, comparitively spacious, positive); (front quarters, ample headroom for taller drivers, positive)","(rear seat, comparitively spacious, positive); (front quarters, ample headroom for taller drivers, positive)"
34,"(drive, all wheel, neutral); (ICO mode, saves fuel, positive); (ICO mode, exceeds mpg ratings by three, positive)","(drive, all wheel, neutral); (ICO drive, saves fuel, positive); (fuel economy, fuel economy, positive); (ICO drive, value for money, positive)"
35,"(options, premium, positive); (steering, heated, positive)","(options, premium, positive); (steering, heated, positive)"
36,"(None, None, None)","(None, None, None)"
37,"(None, None, None)","(None, None, None)"
38,"(model, smaller, neutral); (type, compact SUV, neutral)","(model, smaller, neutral); (type, compact SUV, neutral)"
39,"(exterior, sporting look for offroad activities, positive); (look, agressive parking maneuvers, positive); (roof, lower, neutral); (roofline, more athletic, positive); (grill, kidney, neutral); (grill, longer, positive); (headlights, new, positive); (tail lights, new, positive); (roof spoiler, downward sloping, positive); (look, aggressive, neutral); (look, muscular, neutral); (look, mean, neutral); (interior fit and finish, piano black, neutral); (interior fit and finish, nice, positive); (finish, fake, negative); (interior, badging everywhere, positive); (dashes, dramatically sparse, positive); (dashes, elegant, positive); (center stack, well thought out, positive); (buttons, enough, positive); (technology, nice balance between high and low, positive); (display, touchscreen, neutral)","(exterior, sporting look for offroad activities, positive); (roof, lower, neutral); (roofline, more athletic, positive); (grill, kidney, neutral); (grill, longer, positive); (headlights, new, positive); (tail lights, new, positive); (interior fit, fake, negative); (center stack, well thought out, positive); (display, nice, positive); (balance between high and low tech, plenty of, positive)"
40,"(center console, good use, positive); (cup holders, most integrated, positive)","(center console, good use, positive); (cup holders, most integrated, positive)"
41,"(dash, makes car feels brighter, positive); (visibility, improves, positive)","(dash, makes car feels brighter, positive); (visibility, improves, positive)"
42,"(heads up display, larger, positive); (steering wheel, sport, neutral); (digital gauge cluster, optional, neutral)","(heads up display, larger, positive); (steering wheel, sport, neutral); (digital gauge cluster, optional, neutral)"
43,"(seats, firm, neutral); (seats, like how they feel, positive); (seats, little lacking in snazzy looks, negative); (leg room second row, okay, neutral); (headroom, okay, neutral); (headroom, larger person might have issues, negative); (middle seat, not really one, negative)","(seats, firm, neutral); (seats, like how they feel, positive); (seats, little lacking in snazzy looks, negative); (leg room second row, okay, neutral); (headroom, okay, neutral); (headroom, larger person might have issues, negative); (middle seat, not really one, negative)"
44,"(boot capacity, more, positive)","(boot capacity, more, positive)"
45,"(acoustics, nice, positive); (wind noise, well controlled, positive); (city noise, well controlled, positive); (interior experience, really pleasent, positive); (acoustics, much improved, positive)","(acoustics, nice, positive); (wind noise, well controlled, positive); (city noise, well controlled, positive); (interior experience, really pleasent, positive); (acoustics, much improved, positive)"
46,"(None, None, None)","(None, None, None)"
47,"(engine, zero lag, positive); (eight speed automatic transmission, excellent, positive); (gear shifts, expeditious, positive); (gear shifts, well spaced, positive); (sports mode, little more interesting, positive); (sports mode, gears held longer, positive); (sports mode, acceleration more immediate, positive); (sports mode, lots more BMW, positive); (sports mode, more control, positive); (sports mode, quick acceleration, positive); (sports mode, situations simply hit, positive)","(engine, zero lag, positive); (eight speed automatic transmission, excellent, positive); (gear shifts, expeditious, positive); (gear shifts, well spaced, positive); (sports mode, little more interesting, positive); (sports mode, gears held longer, positive); (sports mode, acceleration more immediate, positive); (sports mode, lots more BMW, positive); (sports mode, more control, positive); (sports mode, quick acceleration, positive); (sports mode, situations simply hit, positive)"
48,"(ride, feels well, positive); (sitting, up high, positive); (feels, more like sedan, neutral); (chasis, rigid but firm at right places, positive); (suspension, rigid but comfortable, positive); (balance, strikes nice, positive); (steering, nice resistance, positive); (steering, responsive, positive); (steering, quick, positive); (drive, really really great, positive); (inside, kind of like Goldie locks, positive)","(ride, feels well, positive); (sitting, up high, positive); (feels, more like sedan, neutral); (chasis, rigid but firm at right places, positive); (suspension, rigid but comfortable, positive); (balance, strikes nice, positive); (steering, nice resistance, positive); (steering, responsive, positive); (steering, quick, positive); (drive, really great, positive); (rear and all wheel drive, nice, positive)"
49,"(X Drive System, enhanced traction handling, positive); (X Drive System, offroad capabilities, positive)","(X Drive System, enhanced traction handling, positive); (X Drive System, offroad capabilities, positive)"
50,"(None, None, None)","(None, None, None)"
51,"(None, None, None)","(None, None, None)"
52,"(price, pricier, negative); (downforce, improved, positive); (rear apron, diffuser style, neutral); (trim, side skirt, neutral); (intakes, larger, positive)","(price, pricier, negative); (downforce, improved, positive); (rear apron, diffuser style, neutral); (trim, side skirt, neutral); (intakes, larger, positive)"
53,"(engine, pretty beefed up numbers, positive)","(engine, pretty beefed up numbers, positive)"
54,"(M performance version, plus move, positive)","(M performance version, plus move, positive)"
55,"(dynamic handling package, prolific, positive); (steering, variable, positive); (steering, sport, positive); (brakes, sport, positive); (damper control, dynamic, positive); (ride quality, improved, positive)","(dynamic handling package, prolific, positive); (steering, variable, positive); (steering, sport, positive); (brakes, sport, positive); (damper control, dynamic, positive); (ride quality, improved, positive)"
56,"(None, None, None)","(None, None, None)"
57,"(None, None, None)","(None, None, None)"
58,"(Android auto, wireless, positive); (Android auto, like, positive)","(Android auto auto, wireless, positive); (Android auto auto, like, positive)"
59,"(None, None, None)","(None, None, None)"
60,"(drive, really satisfying, positive); (X3, luxurious, positive)","(drive, really satisfying, positive); (X3, luxurious, positive)"
61,"(look, straight out of an ad sponsored sci fi film, positive); (technologies, 24 thinking, neutral); (weight, lightweight, positive); (powertrain, sophisticated, positive)","(look, straight out of an ad sponsored sci fi film, positive); (technologies, 24 thinking, neutral); (weight, lightweight, positive); (powertrain, sophisticated, positive); (chasis, aluminium, neutral); (car, supercar, positive); (technology, lightweight, positive); (powertrain, reinforced, positive)"
62,"(formula, oven guard, neutral); (doors, vertical opening, positive); (doors, scissor, neutral); (doors, progressive, positive)","(formula, oven guard, neutral); (doors, vertical opening, positive); (doors, scissor, neutral); (doors, progressive, positive)"
63,"(look, futuristic, positive); (front apron port, reduce drag, positive); (hood vent, functional, positive); (rear balance, just for show, negative)","(look, futuristic, positive); (front apron port, reduce drag, positive); (hood vent, functional, positive); (rear balance, just for show, negative)"
64,"(current design, most contemporary, positive); (accents, blue, neutral); (accents, clear contrast, neutral); (materials, high quality, positive); (front seats, aesthetic shell type, positive); (glass, chemically hardened, positive); (glass, further emphasize the eye, positive); (weight, lightweight, positive)","(current design, most contemporary, positive); (accents, blue, neutral); (accents, clear contrast, neutral); (materials, high quality, positive); (front seats, aesthetic shell type, positive); (glass, chemically hardened, positive); (glass, further emphasize the eye, positive); (weight, lightweight, positive)"
65,"(practical, not surprisingly most, positive)","(practical, not surprisingly most, positive)"
66,"(rear seats, aren't suitable, negative); (cargo space, small cubby hole, negative)","(rear seats, aren't suitable, negative); (cargo space, small cubby hole, negative)"
67,"(None, None, None)","(None, None, None)"
68,"(front seats, weight conscious, neutral); (front seats, only six way adjustable, negative); (front seats, no lumbar support, negative)","(front seats, weight conscious, neutral); (front seats, only six way adjustable, negative); (front seats, no lumbar support, negative)"
69,"(accelerates, as BMW should, positive); (handles, as BMW should, positive); (high speeds, exceptionally composed, positive); (corners, carves with a surgeon precision, positive); (stereo system, truly unique, positive); (electric assisstant, no criticism regarding feedback, positive); (electric steering, cracked the code, positive); (steering, electromechanical, positive); (steering, so responsive, positive); (steering, effortless, positive); (steering, hydraulically actuated, neutral)","(accelerates, exceptionally composed at high speeds, positive); (handles, expert precision, positive); (stereo system, truly unique, positive); (electric assisstant, no criticism regarding feedback, positive); (electric steering, so responsive, positive); (steering, effortless, positive); (hydraulically actuated, detracts, positive)"
70,"(exhaust note, tune, positive); (engine, better efficiency, positive); (drive system, hyper intelligent, positive); (transmission, lightweight, positive); (weight, lighter, positive)","(exhaust note, tune, positive); (exhaust note, efficiency, positive); (weight, lightweight, positive); (weight, less than £3300, positive); (weight, lighter, positive)"
71,"(None, None, None)","(None, None, None)"
72,"(sound system, premium, positive); (cruise control, adaptive, positive); (windshield wipers, rain sensing, positive)","(sound system, premium, positive); (cruise control, adaptive, positive); (windshield wipers, rain sensing, positive)"
73,"(leather, perforated, positive); (leather, exclusive colors, positive); (seatbelt straps, blue, neutral); (seatbelt straps, cosmetic variety, positive)","(leather, perforated, exclusive colors, exclusive colors, positive); (seatbelt straps, blue, neutral); (seatbelt straps, cosmetic variety, positive)"
74,"(price point, no shortage of alternatives, neutral)","(price point, no shortage of alternatives, neutral)"
75,"(A8, not for everyone, negative)","(A8, not for everyone, negative)"
76,"(None, None, None)","(None, None, None)"
77,"(body structure, aluminium intensive, neutral); (body structure, three inches wider, positive); (exhaust tips, quad, neutral); (car, fender adornments, positive)","(body structure, aluminium intensive, neutral); (body structure, three inches wider, positive); (exhaust tips, quad, neutral); (exhaust tips, fender adornments, positive)"
78,"(chasis, modified, positive); (car, racy, positive); (engine, really special, positive); (power, no lack, positive); (power, useable, positive)","(chasis, modified, positive); (car, racy, positive); (engine, really special, positive); (power, no lack, positive); (power, usable, positive); (power, just over 7000 rpm, positive)"
79,"(torque, enough to pull you out, positive); (brakes, still feel really good, positive); (brakes, no signs of fading, positive); (brakes, a little squeaking, negative); (drive, magical, positive); (turn, no delay, positive); (throttle, extremely predictable, positive)","(torque, enough to pull you out, positive); (brakes, still feel really good, positive); (brakes, no signs of fading, positive); (brakes, a little squeaking, negative); (chasis, magical, positive); (half throttle, extremely predictable, positive)"
80,"(None, None, None)","(None, None, None)"
81,"(driving experience, really pleasent, positive); (sound, cabin fairly quiet, positive)","(driving experience, really pleasent, positive); (sound, cabin fairly quiet, positive)"
82,"(power seats, comfortable, positive); (power seats, supportive, positive)","(power seats, comfortable, positive); (power seats, supportive, positive)"
83,"(steering wheel, offers more ability, positive)","(steering wheel, offers more ability, positive)"
84,"(comfort, most impressive, positive); (ride, comfortable, positive); (race track, capable, positive)","(comfort, most impressive, positive); (ride, comfortable, positive); (race track, capable, positive)"
85,"(transmission, unrefined nature, negative); (transmission, cold, negative); (speed, absolutely brilliant, positive); (gear change, zero lag time, positive); (throttle, feel a little bit of partial engagement, positive); (gear change, pretty neat, positive); (manual driving, quiet taken, positive); (manual driving, responsive, positive); (clutch, light, positive); (clutch, easy to use, positive); (steering, really good, positive)","(transmission, unrefined nature, negative); (transmission, cold, negative); (speed, absolutely brilliant, positive); (lag time, virtually zero, positive); (throttle, feel a little bit of partial engagement, positive); (drive, six speed manual, neutral); (car, responsive, positive); (car, light, positive); (car, easy to use, positive); (steering, really good, positive); (shifting, seamless, positive)"
86,"(M two, more refined nature, positive); (M two, return to glory, positive)","(M two, more refined nature, positive); (M two, return to glory, positive)"
87,"(vehicle, coupe like, neutral)","(vehicle, coupe like, neutral)"
88,"(car, not proper coop, negative); (car, comparitively sporty, positive); (X two, lower, neutral); (X two, less lengthy, neutral)","(car, not proper coop, negative); (car, comparitively sporty, positive); (X two, lower, neutral); (X two, less lengthy, neutral)"
89,"(interior space, suffer, negative); (car, condensed form, neutral); (seating position, preferred, positive); (seating position, knees don't touch, positive); (cutout design, thanks, positive); (front seat, little bit high, neutral); (fron seat, slide my feet underneath, positive); (back seats, recline a little bit, positive); (back seats, more comfortable, positive); (headliner, not bad, neutral); (middle spot, not like for extended trip, negative); (roof line, dipping, negative); (back seats, don't mind ducking, negative); (backseat, more than endurable, negative)","(interior space, suffer, negative); (car, condensed form, neutral); (seating position, preferred, positive); (seating position, knees don't touch, positive); (cutout design, thanks, positive); (cutout, comfortable, positive); (headliner, not bad, neutral); (middle spot, comfortable, positive); (middle spot, comfortable, positive); (middle spot, comfortable, positive); (middle spot, ducking to clear the roofliner,"
90,"(underfloor storage, super deep, positive); (boot, sizeable square space, positive); (boot lip, high, negative)","(underfloor storage, super deep, positive); (boot, sizeable square space, positive); (boot lip, high, negative)"
91,"(rear seats, not lowered from cargo area, negative); (steering, wish was lower, negative); (rear seats, can be lowered, positive)","(rear seats, not lowered from cargo area, negative); (steering, wish was lower, negative); (rear seats, can be lowered, positive)"
92,"(feels, real BMW, positive); (materials, pleasing, positive); (layout, stylish, positive); (upholstery, nice, positive); (upholstery, nice faux leather, positive); (seat, 10 way power adjustable, positive); (side bolsters, fancy, positive)","(feels, real BMW, positive); (materials, pleasing, positive); (layout, stylish, positive); (upholstery, nice, positive); (upholstery, nice faux leather, positive); (seat, 10 way power adjustable, positive); (side bolsters, fancy, positive)"
93,"(Apple Carplay price, offensive, negative)","(Apple Carplay price, offensive, negative)"
94,"(Apple Carplay, wireless, positive)","(Apple Carplay, wireless, positive)"
95,"(veering, too superficial, negative); (look, cool, positive); (BMW badge, tempted to remove, neutral)","(veering, too superficial, negative); (look, cool, positive); (BMW badge, tempted to remove, neutral)"
96,"(vibe, squat, positive); (vibe, athletic, positive); (driving, athletic, positive); (corner handling, can carry serious speed, positive)","(vibe, squat, positive); (vibe, athletic, positive); (driving, athletic, positive); (corner handling, can carry serious speed, positive)"
97,"(steering, a little imprecise, negative); (brake pedal, demands finesse, negative); (brake pedal, touchy, negative); (drive, generally pleasure, positive)","(steering, a little imprecise, negative); (brake pedal, demands finesse, negative); (brake pedal, touchy, negative); (brake pedal, touchy, negative); (drive, generally pleasure, positive)"
98,"(roof line, stylish, positive); (blind spot, massive, negative)","(roof line, stylish, positive); (blind spot, massive, negative)"
99,"(None, None, None)","(None, None, None)"
100,"(visibility, issues, negative); (sports suspension, ride quality skews to firmer side, positive); (driving assisstance package, happy note, positive)","(visibility, issues, negative); (sports suspension, ride quality skews to firmer side, positive); (driving assisstance package, happy note, positive); (sports suspension, full collision warning, positive); (sports suspension, lower, neutral)"
101,"(ride comfort, top priority, positive); (dampers, adjustable, positive); (ICO pro mode, efficiency enhancing, positive); (dynamic cruise control, handy, positive); (drive, front wheel standard, neutral)","(ride comfort, top priority, positive); (dampers, adjustable, positive); (ICO pro mode, efficiency enhancing, positive); (dynamic cruise control, handy, positive); (dynamic cruise control, automatic, neutral)"
102,"(shift lever, mechanical, neutral); (shift lever, blessedly simple, positive); (electronic shifter, comparitively tricky, negative); (automatic engine start stop system, intrusive, neutral); (automatic engine start stop system, help save you, positive); (off switch, conveniently placed, positive); (engine, refined operation, positive); (acceleration, brisk, positive); (turbo lag, off the lag, positive); (fuel economy, good, positive)","(shift lever, mechanical, neutral); (shift lever, blessedly simple, positive); (electronic shifter, comparitively tricky, negative); (automatic engine start stop system, intrusive, neutral); (automatic engine start stop system, help save you, positive); (automatic engine start stop system, clever, positive); (automatic engine start stop system, refined, positive); (automatic engine start stop system, smooth acceleration, positive); (automatic engine start stop system, some off the line, negative); (fuel economy, good,"
103,"(price, ain't cheap, negative); (fuel, recommends premium, neutral)","(price, ain't cheap, negative); (fuel, recommends premium, neutral)"
104,"(M6 port, loaded, positive); (drive, all wheel, neutral); (Mercedes-Benz G g l, more powerful, positive); (BMW X3, decently equipped, neutral)","(M6 port, loaded, positive); (drive, all wheel, neutral); (Mercedes-Benz G g l, more powerful, positive); (BMW X3, decently equipped, neutral)"
105,"(None, None, None)","(None, None, None)"
106,"(x two, swaps practicaly to up style, neutral)","(x two, swaps practicaly to up style, neutral)"
107,"(size, smallest, neutral); (price, cheapest, positive); (proportions, sub compact, neutral); (type, SUV, neutral)","(proportions, sub compact, neutral); (essence, luxury SUV, positive); (smallest, smallest, neutral); (price, cheapest, positive); (proportions, sub compact, neutral)"
108,"(size, small, neutral); (cargo area, not small, positive); (trunk, conveniently square, positive); (underfloor storage area, handy, positive); (rear seats, 20 40 split, positive); (rear seats, handy, positive); (backseats, drop, positive); (power release, optional, neutral); (cargo hold, fairly flat, positive); (cargo hold, surprisingly vast, positive)","(size, small, neutral); (cargo area, not small, positive); (trunk, conveniently square, positive); (underfloor storage area, handy, positive); (rear seats, 20 40 split, positive); (rear seats, handy, positive); (backseats, drop, positive); (cargo hold, surprisingly vast, positive); (backseats, fairly flat, positive)"
109,"(storage nooks, throughout, positive); (front seat set, impressive, positive); (leg room, great, positive); (footspace, excellent, positive); (headroom, similarly good, positive); (middle, hump, negative); (middle seat, perfectly inhabitable, positive)","(storage nooks, throughout, positive); (front seat set, impressive, positive); (leg room, great, positive); (footspace, excellent, positive); (headroom, similarly good, positive); (middle, hump, negative); (middle seat, perfectly inhabitable, positive)"
110,"(centre armrest, adjustable, positive); (centre armrest, comfortable height, positive); (centre armrest, touch of storage base, positive); (second row seat, sliding, positive); (second row seat, reclining, positive); (comfort, even better, positive)","(centre armrest, adjustable, positive); (centre armrest, comfortable height, positive); (centre armrest, touch of storage base, positive); (second row seat, sliding, positive); (second row seat, reclining, positive); (comfort, even better, positive)"
111,"(X1, proper BMW, positive); (plastic, high quality, positive); (materials, soft, positive); (cabin layout, stylish, positive)","(X1, proper BMW, positive); (plastic, high quality, positive); (materials, soft, positive); (cabin layout, stylish, positive)"
112,"(X1, smaller, neutral); (X1, cheaper, positive); (steering, under slack, negative); (corners, adept, positive); (traffic, adept slogging through, positive); (move, sporty, positive); (move, pleasing, positive); (drive, like BMW, neutral)","(X1, smaller, neutral); (X1, cheaper, positive); (steering, under slack, negative); (corners, adept, positive); (traffic, adept slogging through, positive); (move, sporty, positive); (move, pleasing, positive); (drive, like BMW, neutral)"
113,"(X1, definitely not the most fun BMW, negative); (drive, pretty thrilling, positive); (SUV, small, neutral); (SUV, luxury, positive); (type, SUV, neutral)","(X1, definitely not the most fun BMW, negative); (drive, pretty thrilling, positive); (SUV, small, neutral); (SUV, luxury, positive); (type, SUV, neutral)"
114,"(power, fairly well, positive)","(power, fairly well, positive); (none, not at all, positive); (engine, two litre turbocharged, neutral); (engine, eight speed automatic, neutral)"
115,"(car, winning combination, positive); (acceleration, swift, positive); (operation, refined, positive); (fuel economy, good, positive)","(car, winning combination, positive); (acceleration, swift, positive); (operation, refined, positive); (fuel economy, good, positive)"
116,"(accleration, engine takes a moment to spool up, positive); (automatic engine start stop system, engine restarts to be jarring, negative); (powerful, plenty, positive); (drive, rear wheel, neutral); (all wheel drive, raises base price, negative); (all wheel drive, pluses when traction suffers, positive)","(accleration, engine takes a moment to spool up, positive); (automatic engine start stop system, engine restarts to be jarring, negative); (rear wheel drive, pluses when traction suffers, negative); (base price, raises, negative)"
117,"(drive modes, multiple, positive); (X1, can be customized, positive); (sport mode, quicker throttle response, positive); (sport mode, heavy steering, positive); (ICO pro mode, efficiency enhancing, positive); (coasting, sounds fun, positive)","(drive modes, multiple, positive); (X1, can be customized, positive); (sport mode, quicker throttle response, positive); (sport mode, heavy steering, positive); (ICO pro mode, efficiency enhancing, positive); (coasting, sounds fun, positive)"
118,"(seats, eight way power, neutral); (lift gate, power, neutral)","(seats, eight way power, neutral); (lift gate, power, neutral)"
119,"(Mercedes-Benz G. L. A, seductive, positive); (Audi Q3, sophisticated, positive); (Lincoln M. K. C, well equipped, positive)","(Mercedes-Benz G. L. A, seductive, positive); (Audi Q3, sophisticated, positive); (Lincoln M. K. C, well equipped, positive)"
120,"(backup camera, optional, neutral)","(backup camera, optional, neutral)"
121,"(roof, moon, positive); (roof, panoramic, positive); (front seats, leather, positive); (front seats, heated, positive)","(roof, moon, positive); (roof, panoramic, positive); (front seats, leather, positive); (front seats, heated, positive)"
122,"(None, None, None)","(None, None, None)"
123,"(option packages, go nutty, positive)","(option packages, go nutty, positive)"
124,"(X1, very much BMW, positive); (X1, smaller, neutral); (parkability, appreciate, positive)","(X1, very much BMW, positive); (X1, smaller, neutral); (parkability, appreciate, positive)"
125,"(None, None, None)","(None, None, None)"
126,"(BMW I A8, much racier, positive); (BMW I A8 price, more expensive, negative); (car, electric, neutral)","(BMW I A8, much racier, positive); (BMW I A8 price, more expensive, negative); (car, electric, neutral)"
127,"(BMW badge, all important, positive); (plastic, reinforced, neutral)","(BMW badge, all important, positive); (plastic, reinforced, neutral)"
128,"(None, None, None)","(None, None, None)"
129,"(None, None, None)","(None, None, None)"
130,"(engine, tiny, neutral); (total range, double, positive); (pure electric range, little bit reduced, negative); (engine, adds weight, negative)","(engine, tiny, neutral); (total range, double, positive); (pure electric range, little bit reduced, negative); (engine, adds weight, negative)"
131,"(drive, like a BMW, positive); (steering, variable assisst, positive); (steering, quick ratio, positive); (steering, nimble sense, positive); (steering, nicely supported, positive); (handling limit, higher than expected, positive); (body roll, a bit more, negative); (car, tall, positive); (car, electric, positive); (drive, wierdly fun, positive)","(drive, like a BMW, positive); (steering, variable assisst, positive); (steering, quick ratio, positive); (steering, nimble sense, positive); (steering, nicely supported, positive); (handling limit, higher than expected, positive); (body roll, a bit more, negative); (car, tall, positive); (car, electric, positive); (drive, wierdly fun, positive)"
132,"(BMW I three, celebrates hard, positive); (engine, keeps pulling, positive); (pull, nice, positive)","(BMW I three, celebrates hard, positive); (engine, keeps pulling, positive); (pull, nice, positive)"
133,"(power recovery, really aggressive, neutral); (electric motor, really strange, negative)","(power recovery, really aggressive, neutral); (electric motor, really strange, negative)"
134,"(deceleration, shame, negative); (brake, feel almost normal, neutral)","(deceleration, shame, negative); (brake, feel almost normal, neutral)"
