,Unnamed: 0,id,segment_id,text,aspect,opinion,sentiment,,,,
65,,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",S90,sweetest,pos,,,,
66,,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",price,higher starting price,neg,,,,
67,,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Mercedes-Benz e class,lot like flag ship sclass,neu,,,,
68,,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Mercedes-Benz e class,big fans,pos,,,,
69,,15,23,"If you're thinking about buying a BMW five Siri's , you might also investigate the well rounded Audi A6 intensively , Sweetest of although S90 , where the resale value leading Lexus GS , each boasting a lower starting price in the five Siris . If , on the other hand , you're willing to spend slightly more , we're big fans of the Mercedes-Benz e class , which feels a lot like the flagship s class , but smaller .",Mercedes-Benz e class,smaller,neu,,,,
70,23,15,24,"That concept sounds familiar , though it may not be is engaging in some of its early predecessors .",Mercedes-Benz e class,similar concept as early predecessors,neu,,,,
71,,15,24,"That concept sounds familiar , though it may not be is engaging in some of its early predecessors .",Mercedes-Benz e class,not as engaging,neg,,,,
72,24,15,25,A7 Generation five Siri's represents a huge leap forward in terms of technology and interior sophistication .,technology,huge leap forward,pos,,,,
73,,15,25,A7 Generation five Siri's represents a huge leap forward in terms of technology and interior sophistication .,interior sophistication,huge leap forward,pos,,,,
74,25,15,26,"With a pedigree spanning nearly four decades , it's refreshing to see a legacy nameplate embracing change for all the right reasons .",nameplate,embracing change,pos,,,,
75,,15,26,"With a pedigree spanning nearly four decades , it's refreshing to see a legacy nameplate embracing change for all the right reasons .",nameplate,refreshing,pos,,,,
76,26,15,27,Metallica .,-,-,-,,,,
77,27,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",character,all on its own,pos,,,,
78,,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",height,lower,pos,,,,
79,,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",length,longer,pos,,,,
80,,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",car,wider,pos,,,,
81,,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",design,more aggressively sophisticated spin,pos,,,,
82,,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",car,convertible,pos,,,,
83,,16,1,"A8 seeing as the rest of BMW scoops have been assigned unique identities , it was only a matter of time before the three Siri's line followed suit . Enter the BMW four Siri's , the new name played under which the three Siri's coupe convertible and high performance M four variant will exist for the foreseeable future while sharing most major mechanicals and feature content with its four door counterparts , the new four Siri's takes on a character all its own , lower , longer and wider than his predecessor . Before Siri's puts amore aggressively sophisticated spin on classic BMW design .",performance,high,pos,,,,
84,28,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",hood,elongated,neu,,,,
85,,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",vents,specially designed,pos,,,,
86,,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",vents,reduce drag,pos,,,,
87,,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",roofline,sweeping,neu,,,,
88,,16,2,"Styling cues consist of an elongated hood , specially designed fender vents that reduce drag in a sweeping roof line that flows into a short deck lid and near fastback fashion .",deck lid,short,neu,,,,
89,29,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",stance,low,neu,,,,
90,,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",centre of gravity,lowest,neu,,,,
91,,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",exterior design,head turning,pos,,,,
92,,16,3,"This low slung stance also use the lowest centre of gravity of any vehicle in BMWs current lineup . All that , said the fours head turning exterior design is counteracted by its interior shortcomings .",interior,shortcoming,neu,,,,
93,30,16,4,"Cabin layout , well elegant and ergonomically sound is marked by a glaring absence of basic creature comforts . Chief among them are visors that don't extend lack of passive entry and a sink function for the dual zone climate control system . despite a starting president early $41,000 the entry level for 28 I still doesn't include a backup camera lumbar support for the driver's seat , where Bluetooth audio streaming a standard fare .",cabin layout,elegant,pos,,,,
94,,16,4,"Cabin layout , well elegant and ergonomically sound is marked by a glaring absence of basic creature comforts . Chief among them are visors that don't extend lack of passive entry and a sink function for the dual zone climate control system . despite a starting president early $41,000 the entry level for 28 I still doesn't include a backup camera lumbar support for the driver's seat , where Bluetooth audio streaming a standard fare .",cabin layout,ergonomically sound,pos,,,,
95,,16,4,"Cabin layout , well elegant and ergonomically sound is marked by a glaring absence of basic creature comforts . Chief among them are visors that don't extend lack of passive entry and a sink function for the dual zone climate control system . despite a starting president early $41,000 the entry level for 28 I still doesn't include a backup camera lumbar support for the driver's seat , where Bluetooth audio streaming a standard fare .",cabin layout,glaring abscense of basic creature comforts,neg,,,,
96,31,16,5,"To put our grievances into perspective , we're well aware of the fact that BMW built cars for profit . But nickel and dime ing car shoppers for common features is a strategy best left to exotic car makers .",-,-,-,,,,
97,32,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",driving dynamics,clear advantage,pos,,,,
98,,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",ride,impeccabbly balanced,pos,,,,
99,,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",handling package,renowned,pos,,,,
100,,16,6,"On a more positive note , the four Siri's holds a clear advantage over the competition . When it comes to driving dynamics , the suspension and chassis work together harmoniously to deliver the impeccably balance ride and handling package for which BMW is renowned when noise makes it self evident at highway speeds but overall ride qualities befitting of a car from the class above . On the track , our end sport equipped for 28 I performed . As expected , the brakes were easy to modulate and held up well , given the race type conditions , feedback and response from the electric assisted steering was also noticeably better than that of the Audi A5 Mercedes-Benz C class coupe . Though it took some effort detained the fourth inclination towards understeer . ",ride quality,befitting of a car,pos,,,,
