aspect,base_category,MAIN_CATEGORY
fitting a child seat,seats,INTERIOR / COMFORT / ERGONOMICS
a5 seats,seats,INTERIOR / COMFORT / ERGONOMICS
top down display,roof,EXTERIOR / STYLING / DESIGN
bmw three series new,model / generic car terms,GENERAL INFORMATION
tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
boxes,boot / cargo,FUNCTIONAL / UTILITY FEATURES
noise flow,audio,EMOTIONAL / SENSORY / VISUAL
m3,model / generic car terms,GENERAL INFORMATION
entry level,packages / trims / variants,GENERAL INFORMATION
storage drawer,storage & utility,FUNCTIONAL / UTILITY FEATURES
sporty suspension,suspension,HANDLING / DYNAMICS
seat belts,safety,SAFETY
metallic flack,exterior materials & finish,EXTERIOR / STYLING / DESIGN
technology price,value / cost,DISTANCE / MEASUREMENT /  COST
rev counter,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
qa8,model / generic car terms,GENERAL INFORMATION
car,generic description & miscellaneous,GENERAL INFORMATION
storage underneath,storage & utility,FUNCTIONAL / UTILITY FEATURES
content,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
performance figures,performance,POWERTRAIN / PERFORMANCE
cabriole price entry point,value / cost,DISTANCE / MEASUREMENT /  COST
looks,design,EMOTIONAL / SENSORY / VISUAL
bmw 3 40 i  engine,engine / power train,POWERTRAIN / PERFORMANCE
s4,model / generic car terms,GENERAL INFORMATION
rear following front,driving dynamics / handling,HANDLING / DYNAMICS
behaving,driving dynamics / handling,HANDLING / DYNAMICS
aero bits price,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
prices,value / cost,DISTANCE / MEASUREMENT /  COST
structural rigidity,chassis / structural,STRUCTURAL
sophistication,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
boot underfloor area,boot / cargo,FUNCTIONAL / UTILITY FEATURES
front face,front section,EXTERIOR / STYLING / DESIGN
shift operation,transmission,POWERTRAIN / PERFORMANCE
materials,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
storage bits,storage & utility,FUNCTIONAL / UTILITY FEATURES
beam span,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
car feels,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
electric motor,engine / power train,POWERTRAIN / PERFORMANCE
rear headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
air bags,safety,SAFETY
panoramic glass freeze,roof,EXTERIOR / STYLING / DESIGN
off switch,physical controls,INTERIOR / COMFORT / ERGONOMICS
headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
exhaust,exhaust,POWERTRAIN / PERFORMANCE
frame,build quality / construction,STRUCTURAL
launch control process,acceleration,POWERTRAIN / PERFORMANCE
wind whistles,audio,EMOTIONAL / SENSORY / VISUAL
air breather,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
carrying stuff,boot / cargo,FUNCTIONAL / UTILITY FEATURES
sand dunes,road terrain,HANDLING / DYNAMICS
surround cameras,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
display unit,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
new battery pack,fuel / energy / charging,POWERTRAIN / PERFORMANCE
rear seatbacks,seats,INTERIOR / COMFORT / ERGONOMICS
navigation system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
c e400,model / generic car terms,GENERAL INFORMATION
bmw i three,model / generic car terms,GENERAL INFORMATION
blind spot,safety,SAFETY
ferry three,passenger space,INTERIOR / COMFORT / ERGONOMICS
surround view parking,visibility & view,SAFETY
everything,functionality & features,FUNCTIONAL / UTILITY FEATURES
support adjustments,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
right on the road,road terrain,HANDLING / DYNAMICS
long distances,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
tyres,wheels & tyres,HANDLING / DYNAMICS
over six foot people,passenger space,INTERIOR / COMFORT / ERGONOMICS
ability,performance,POWERTRAIN / PERFORMANCE
volvo xc60 room,passenger space,INTERIOR / COMFORT / ERGONOMICS
woods,road terrain,HANDLING / DYNAMICS
a7 practicality,storage & utility,FUNCTIONAL / UTILITY FEATURES
backpacks,storage & utility,FUNCTIONAL / UTILITY FEATURES
upholstery,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
x6,model / generic car terms,GENERAL INFORMATION
driving position,drive,POWERTRAIN / PERFORMANCE
back headroom,passenger space,INTERIOR / COMFORT / ERGONOMICS
grill,grill,EXTERIOR / STYLING / DESIGN
towbar,storage & utility,FUNCTIONAL / UTILITY FEATURES
value for money,value / cost,DISTANCE / MEASUREMENT /  COST
horns,audio,EMOTIONAL / SENSORY / VISUAL
orange peel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
elements,design,EMOTIONAL / SENSORY / VISUAL
whole package,packages / trims / variants,GENERAL INFORMATION
2.1 litre turbo diesel four cylinder,engine / power train,POWERTRAIN / PERFORMANCE
satellite system,navigation / mapping,TECHNOLOGY / ELECTRONICS / SOFTWARE
out,body class,EXTERIOR / STYLING / DESIGN
exterior,exterior materials & finish,EXTERIOR / STYLING / DESIGN
carrying five once,passenger space,INTERIOR / COMFORT / ERGONOMICS
normal driving speed,drive,POWERTRAIN / PERFORMANCE
few things,generic description & miscellaneous,GENERAL INFORMATION
six speed manual,transmission,POWERTRAIN / PERFORMANCE
0 to 60 spread,acceleration,POWERTRAIN / PERFORMANCE
glove boxes,storage & utility,FUNCTIONAL / UTILITY FEATURES
does everything,functionality & features,FUNCTIONAL / UTILITY FEATURES
load cover,boot / cargo,FUNCTIONAL / UTILITY FEATURES
driving,drive,POWERTRAIN / PERFORMANCE
rear window shades,interior,INTERIOR / COMFORT / ERGONOMICS
edges,design,EMOTIONAL / SENSORY / VISUAL
highway efficiency,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
outside dimensions,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
storage space,passenger space,INTERIOR / COMFORT / ERGONOMICS
striping,design,EMOTIONAL / SENSORY / VISUAL
back get in,doors,EXTERIOR / STYLING / DESIGN
badges,exterior materials & finish,EXTERIOR / STYLING / DESIGN
audi r8,model / generic car terms,GENERAL INFORMATION
a4 driving position,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
1.5 l engine,engine / power train,POWERTRAIN / PERFORMANCE
back seats down,seats,INTERIOR / COMFORT / ERGONOMICS
vocal,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
gt -r,model / generic car terms,GENERAL INFORMATION
estate cars,body type,EXTERIOR / STYLING / DESIGN
gauge setup,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
coasting,driving dynamics / handling,HANDLING / DYNAMICS
amg a4 g5,model / generic car terms,GENERAL INFORMATION
a4 g5,model / generic car terms,GENERAL INFORMATION
start,engine / power train,POWERTRAIN / PERFORMANCE
boot height,boot / cargo,FUNCTIONAL / UTILITY FEATURES
signature on every windscreen,windscreen / wipers,SAFETY
latest version,packages / trims / variants,GENERAL INFORMATION
power band,engine / power train,POWERTRAIN / PERFORMANCE
downhill,road terrain,HANDLING / DYNAMICS
haunches,body class,EXTERIOR / STYLING / DESIGN
rear window,rear section,EXTERIOR / STYLING / DESIGN
sensations,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
smaller people,passenger space,INTERIOR / COMFORT / ERGONOMICS
turbulence,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
comfort level,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
learn to drive,drive,POWERTRAIN / PERFORMANCE
external panel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
four people,passenger space,INTERIOR / COMFORT / ERGONOMICS
mirrors,mirrors,SAFETY
stop,brake,HANDLING / DYNAMICS
protection,safety,SAFETY
vent,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
sailing mode,driving dynamics / handling,HANDLING / DYNAMICS
current design,design,EMOTIONAL / SENSORY / VISUAL
interface operation,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
money,value / cost,DISTANCE / MEASUREMENT /  COST
first generation drive,drive,POWERTRAIN / PERFORMANCE
storage jets,storage & utility,FUNCTIONAL / UTILITY FEATURES
electric car,fuel / energy / charging,POWERTRAIN / PERFORMANCE
backrest,seats,INTERIOR / COMFORT / ERGONOMICS
s5 sport back launch,acceleration,POWERTRAIN / PERFORMANCE
light,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
off roader,road terrain,HANDLING / DYNAMICS
material selection,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
long term reliability,value / cost,DISTANCE / MEASUREMENT /  COST
a8 reversing,driver assistance,SAFETY
tech features,functionality & features,FUNCTIONAL / UTILITY FEATURES
stop start system,engine / power train,POWERTRAIN / PERFORMANCE
front armrest,seats,INTERIOR / COMFORT / ERGONOMICS
engine start button,engine / power train,POWERTRAIN / PERFORMANCE
pricewise,value / cost,DISTANCE / MEASUREMENT /  COST
contrast,design,EMOTIONAL / SENSORY / VISUAL
digital dash,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
driver satisfaction,drive,POWERTRAIN / PERFORMANCE
offroad sound,audio,EMOTIONAL / SENSORY / VISUAL
get in the back,doors,EXTERIOR / STYLING / DESIGN
dash angles,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
manual sport mode,transmission,POWERTRAIN / PERFORMANCE
front bottom,front section,EXTERIOR / STYLING / DESIGN
back,rear section,EXTERIOR / STYLING / DESIGN
weirdness,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
shocks,driving dynamics / handling,HANDLING / DYNAMICS
fuel consumption,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
swiping zoom manoeuvres,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
s line indicators,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
emergency services button,functionality & features,FUNCTIONAL / UTILITY FEATURES
specifications,options & specifications,GENERAL INFORMATION
most laid back position,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
handles,doors,EXTERIOR / STYLING / DESIGN
tops,roof,EXTERIOR / STYLING / DESIGN
tail lamps,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
car tire pot,wheels & tyres,HANDLING / DYNAMICS
sedan,body type,EXTERIOR / STYLING / DESIGN
mercedes c 63 or a bmw m3,performance,POWERTRAIN / PERFORMANCE
automatic gear,transmission,POWERTRAIN / PERFORMANCE
scuff plates,exterior materials & finish,EXTERIOR / STYLING / DESIGN
door design,design,EMOTIONAL / SENSORY / VISUAL
road,road terrain,HANDLING / DYNAMICS
profiles,design,EMOTIONAL / SENSORY / VISUAL
rear wheel drive,drive,POWERTRAIN / PERFORMANCE
air breathers,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
left hand drive steering wheel,steering,HANDLING / DYNAMICS
stereo volume control,audio,EMOTIONAL / SENSORY / VISUAL
offroad travel,road terrain,HANDLING / DYNAMICS
canyon,road terrain,HANDLING / DYNAMICS
potholes,road terrain,HANDLING / DYNAMICS
dynamics,driving dynamics / handling,HANDLING / DYNAMICS
wheel arches,exterior materials & finish,EXTERIOR / STYLING / DESIGN
rs5,model / generic car terms,GENERAL INFORMATION
steering column,steering,HANDLING / DYNAMICS
gt three wet road,driving dynamics / handling,HANDLING / DYNAMICS
efficiency,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
back roofline,roof,EXTERIOR / STYLING / DESIGN
rear wheels,drive,POWERTRAIN / PERFORMANCE
roof rails,roof,EXTERIOR / STYLING / DESIGN
look over shoulder,design,EMOTIONAL / SENSORY / VISUAL
expense,value / cost,DISTANCE / MEASUREMENT /  COST
storage pack,storage & utility,FUNCTIONAL / UTILITY FEATURES
turbos,engine / power train,POWERTRAIN / PERFORMANCE
carbon trim price,value / cost,DISTANCE / MEASUREMENT /  COST
gearboxes,transmission,POWERTRAIN / PERFORMANCE
crackles,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
electronic system,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
turns in,cornering,HANDLING / DYNAMICS
automatic gear selector,transmission,POWERTRAIN / PERFORMANCE
hatchback tailgate,boot / cargo,FUNCTIONAL / UTILITY FEATURES
wheel look change,design,EMOTIONAL / SENSORY / VISUAL
dynamic gearbox shift,transmission,POWERTRAIN / PERFORMANCE
obstacles,road terrain,HANDLING / DYNAMICS
quattro system petrol,traction / stability,HANDLING / DYNAMICS
rs5 color,exterior materials & finish,EXTERIOR / STYLING / DESIGN
spaces,passenger space,INTERIOR / COMFORT / ERGONOMICS
g l e 63,model / generic car terms,GENERAL INFORMATION
seatbelt butler,seats,INTERIOR / COMFORT / ERGONOMICS
black box on white red,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
storage areas,storage & utility,FUNCTIONAL / UTILITY FEATURES
under floor support,chassis / structural,STRUCTURAL
front apron port,front section,EXTERIOR / STYLING / DESIGN
torque uplift,engine / power train,POWERTRAIN / PERFORMANCE
back view,visibility & view,SAFETY
dynamic downshift,transmission,POWERTRAIN / PERFORMANCE
motorways,engine / power train,POWERTRAIN / PERFORMANCE
a4 ultra,model / generic car terms,GENERAL INFORMATION
cooling ducts,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
big bulky child safe,safety,SAFETY
tail light color,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
backend,rear section,EXTERIOR / STYLING / DESIGN
audi g5,model / generic car terms,GENERAL INFORMATION
structural integrity,build quality / construction,STRUCTURAL
seat adjustment,seats,INTERIOR / COMFORT / ERGONOMICS
wood veneer,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
steering wheel in parking,steering,HANDLING / DYNAMICS
speed on,acceleration,POWERTRAIN / PERFORMANCE
cruiser,driver assistance,SAFETY
street limit,road terrain,HANDLING / DYNAMICS
interior quality,interior,INTERIOR / COMFORT / ERGONOMICS
air bladders,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
360 degree camera system,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
offset pedals,physical controls,INTERIOR / COMFORT / ERGONOMICS
open the bonnet,bonnet,EXTERIOR / STYLING / DESIGN
voice control system,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
integrated laser lights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
rear peasant blocker,visibility & view,SAFETY
attitude,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
high speed motorways,engine / power train,POWERTRAIN / PERFORMANCE
command,voice & commands,TECHNOLOGY / ELECTRONICS / SOFTWARE
race,performance,POWERTRAIN / PERFORMANCE
front passenger seat,seats,INTERIOR / COMFORT / ERGONOMICS
level,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
tire looks,design,EMOTIONAL / SENSORY / VISUAL
comfort mode ride,comfort & ergonomics,INTERIOR / COMFORT / ERGONOMICS
water porting,fuel / energy / charging,POWERTRAIN / PERFORMANCE
cushion,seats,INTERIOR / COMFORT / ERGONOMICS
audi q5,model / generic car terms,GENERAL INFORMATION
central locking,keys & lock,SAFETY
m 7 60,model / generic car terms,GENERAL INFORMATION
cruising ability,driver assistance,SAFETY
petrol tank,fuel / energy / charging,POWERTRAIN / PERFORMANCE
pillows,seats,INTERIOR / COMFORT / ERGONOMICS
central locking sound,audio,EMOTIONAL / SENSORY / VISUAL
premium plus trim level,packages / trims / variants,GENERAL INFORMATION
new audi rs three,model / generic car terms,GENERAL INFORMATION
lift,boot / cargo,FUNCTIONAL / UTILITY FEATURES
fake sound,audio,EMOTIONAL / SENSORY / VISUAL
side vents,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
six cylinder car,engine / power train,POWERTRAIN / PERFORMANCE
cargo area,boot / cargo,FUNCTIONAL / UTILITY FEATURES
roofline,roof,EXTERIOR / STYLING / DESIGN
s5 sport back torque,engine / power train,POWERTRAIN / PERFORMANCE
touch,gesture / motion controls,TECHNOLOGY / ELECTRONICS / SOFTWARE
damper suspension,suspension,HANDLING / DYNAMICS
f40 i x dr,model / generic car terms,GENERAL INFORMATION
cruising around,driver assistance,SAFETY
interface,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
upgraded sound system,audio,EMOTIONAL / SENSORY / VISUAL
pedal feel,physical controls,INTERIOR / COMFORT / ERGONOMICS
standing quarter,acceleration,POWERTRAIN / PERFORMANCE
value,value / cost,DISTANCE / MEASUREMENT /  COST
0 to 60,acceleration,POWERTRAIN / PERFORMANCE
volume knob,physical controls,INTERIOR / COMFORT / ERGONOMICS
rear passenger door bins,passenger space,INTERIOR / COMFORT / ERGONOMICS
nameplate,generic description & miscellaneous,GENERAL INFORMATION
audio system,audio,EMOTIONAL / SENSORY / VISUAL
steering control,steering,HANDLING / DYNAMICS
efficiency system,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
front track,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
launch,acceleration,POWERTRAIN / PERFORMANCE
i drive system,technology,TECHNOLOGY / ELECTRONICS / SOFTWARE
connection to front axle,driving dynamics / handling,HANDLING / DYNAMICS
six series gt,model / generic car terms,GENERAL INFORMATION
ceiling,roof,EXTERIOR / STYLING / DESIGN
stance,design,EMOTIONAL / SENSORY / VISUAL
v8 engine,engine / power train,POWERTRAIN / PERFORMANCE
overhangs,aerodynamics / airflow,EXTERIOR / STYLING / DESIGN
three people in the back,passenger space,INTERIOR / COMFORT / ERGONOMICS
controls,physical controls,INTERIOR / COMFORT / ERGONOMICS
rear view,visibility & view,SAFETY
fold seats down,seats,INTERIOR / COMFORT / ERGONOMICS
turn,cornering,HANDLING / DYNAMICS
uphill drive,drive,POWERTRAIN / PERFORMANCE
front area,front section,EXTERIOR / STYLING / DESIGN
underfloor compartment,storage & utility,FUNCTIONAL / UTILITY FEATURES
chassis,chassis / structural,STRUCTURAL
back trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
wood,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
rocks,road terrain,HANDLING / DYNAMICS
back knee room,passenger space,INTERIOR / COMFORT / ERGONOMICS
gauge display,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
speed transmission shifts,transmission,POWERTRAIN / PERFORMANCE
body kit,body class,EXTERIOR / STYLING / DESIGN
main entertainment screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
offroad mode,road terrain,HANDLING / DYNAMICS
sports plus,driving dynamics / handling,HANDLING / DYNAMICS
manoeuvring speeds,steering,HANDLING / DYNAMICS
velocity,performance,POWERTRAIN / PERFORMANCE
steering system,steering,HANDLING / DYNAMICS
center seat,seats,INTERIOR / COMFORT / ERGONOMICS
knee room,passenger space,INTERIOR / COMFORT / ERGONOMICS
diesel version,fuel / energy / charging,POWERTRAIN / PERFORMANCE
coat hook,storage & utility,FUNCTIONAL / UTILITY FEATURES
steel,exterior materials & finish,EXTERIOR / STYLING / DESIGN
screen,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
visibility,visibility & view,SAFETY
front end grip,traction / stability,HANDLING / DYNAMICS
feels,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
swivel wheel,wheels & tyres,HANDLING / DYNAMICS
visibility,visibility & view,SAFETY
hybrid system,fuel / energy / charging,POWERTRAIN / PERFORMANCE
mode,driving dynamics / handling,HANDLING / DYNAMICS
digital space,passenger space,INTERIOR / COMFORT / ERGONOMICS
storage nooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
plenty of things,generic description & miscellaneous,GENERAL INFORMATION
heat pump,climate / temperature control,INTERIOR / COMFORT / ERGONOMICS
paddle shifter,transmission,POWERTRAIN / PERFORMANCE
propulsion,engine / power train,POWERTRAIN / PERFORMANCE
paddle shift gearbox,transmission,POWERTRAIN / PERFORMANCE
junctions in efficiency mode,fuel / energy / charging,POWERTRAIN / PERFORMANCE
key,keys & lock,SAFETY
a3 looks,design,EMOTIONAL / SENSORY / VISUAL
rs6 everyday performance,performance,POWERTRAIN / PERFORMANCE
drive long way,drive,POWERTRAIN / PERFORMANCE
on track performance,performance,POWERTRAIN / PERFORMANCE
below body structure,body class,EXTERIOR / STYLING / DESIGN
car interaction,software / interaction,TECHNOLOGY / ELECTRONICS / SOFTWARE
tv chair,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
purple ambient lighting,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
virtual 360 degree cameras,cameras,TECHNOLOGY / ELECTRONICS / SOFTWARE
experience,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
goodies,functionality & features,FUNCTIONAL / UTILITY FEATURES
exteriors,exterior materials & finish,EXTERIOR / STYLING / DESIGN
magic sky control,roof,EXTERIOR / STYLING / DESIGN
adult occupant protection in the crash test .,safety,SAFETY
small,dimensions & measurements,DISTANCE / MEASUREMENT /  COST
speed,acceleration,POWERTRAIN / PERFORMANCE
top up,roof,EXTERIOR / STYLING / DESIGN
hooks,storage & utility,FUNCTIONAL / UTILITY FEATURES
control,physical controls,INTERIOR / COMFORT / ERGONOMICS
long haul,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
stereo system,audio,EMOTIONAL / SENSORY / VISUAL
buttons,physical controls,INTERIOR / COMFORT / ERGONOMICS
brightness,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
serious offroad,road terrain,HANDLING / DYNAMICS
driving modes,drive,POWERTRAIN / PERFORMANCE
laser beam headlights,lighting / indicators,FUNCTIONAL / UTILITY FEATURES
car start,functionality & features,FUNCTIONAL / UTILITY FEATURES
cover storage,storage & utility,FUNCTIONAL / UTILITY FEATURES
high speed,acceleration,POWERTRAIN / PERFORMANCE
fittings,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
carbon fibre trim,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
q3,model / generic car terms,GENERAL INFORMATION
surfacing treatment,exterior materials & finish,EXTERIOR / STYLING / DESIGN
false floor,boot / cargo,FUNCTIONAL / UTILITY FEATURES
stitching,interior materials & trim / finish,INTERIOR / COMFORT / ERGONOMICS
spirit,emotional & sensory experience,EMOTIONAL / SENSORY / VISUAL
oil,fuel / energy / charging,POWERTRAIN / PERFORMANCE
graphic,displays / instrumentation,TECHNOLOGY / ELECTRONICS / SOFTWARE
footspace,passenger space,INTERIOR / COMFORT / ERGONOMICS
take off,acceleration,POWERTRAIN / PERFORMANCE
lower section,boot / cargo,FUNCTIONAL / UTILITY FEATURES
exhaust noise (dynamic mode),exhaust,POWERTRAIN / PERFORMANCE
long distance,distance / efficiency / mileage,DISTANCE / MEASUREMENT /  COST
stability control,traction / stability,HANDLING / DYNAMICS
space in backseats,passenger space,INTERIOR / COMFORT / ERGONOMICS
m 135,model / generic car terms,GENERAL INFORMATION
